Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.057399794450154175,0.7104026103307156   ,0.029908171865759562,858996.0
Band Pull-Down Row                 ,0.014342551205854906,0.008406022396867894 ,0.048821267346597565,5981.0
Bicep Curl                         ,0.34167308946463504 ,0.3066567338902783   ,0.3857171541396158  ,14941.0
Box Jump (on bench)                ,0.03485359918360939 ,0.018710493046776237 ,0.2540045766590389  ,874.0
Burpee                             ,0.06986176641006539 ,0.04596949891067538  ,0.14546708031713199 ,11604.0
Butterfly sit-up                   ,0.0648127631287392  ,0.0883863819500403   ,0.051166180758017495,34300.0
Chest Press                        ,0.07656362329259526 ,0.0441918900850642   ,0.2862475735403912  ,6697.0
Crunch                             ,0.0719883665564235  ,0.04118747146917198  ,0.2854664217187181  ,9798.0
Dip                                ,0.11129244299378938 ,0.06721239664896238  ,0.3233667017913593  ,7592.0
Dumbbell Deadlift Row              ,0.03257986175976088 ,0.024542640022516184 ,0.048444444444444436,9000.0
Dumbbell Row (both)                ,0.029595728451563687,0.021611264593173515 ,0.046936997967676385,10333.0
Dumbbell Row (right)               ,0.014960182025028444,0.00796004842615012  ,0.1240566037735849  ,2120.0
Dumbbell Squat (hands at side)     ,0.16920067268421593 ,0.10203448061758802  ,0.4951290549362258  ,9957.0
Elliptical machine                 ,0.13758121509175886 ,0.12894265950912054  ,0.1474603707889191  ,32741.0
Punches                            ,0.36743637282993424 ,0.2700693756194252   ,0.5745914602003163  ,7588.0
Jump Rope                          ,0.3896521197416309  ,0.4915212176358673   ,0.3227593699076589  ,18410.0
Jumping Jacks                      ,0.5665297374531166  ,0.4181938035596573   ,0.8779407694436756  ,3613.0
Kettlebell Swing                   ,0.2985260687834568  ,0.20093780848963474  ,0.5804106073567151  ,7014.0
Lateral Raise                      ,0.09373477540680113 ,0.06068890103881903  ,0.20579007415858527 ,7012.0
Lawnmower (both)                   ,0.002266486510046637,0.0011700117001170011,0.036061026352288486,721.0
Lawnmower (right)                  ,0.030394779387989068,0.018015192696355143 ,0.09716218755872956 ,5321.0
Lunge (both legs)                  ,0.03746808581186379 ,0.033294048320565706 ,0.042838729244067016,13189.0
Ball Slam                          ,0.180654598646919   ,0.13352253530643962  ,0.2792143563656917  ,7077.0
Triceps Extension (standing - both),0.14940767973856212 ,0.1417910447761194   ,0.15788905676667386 ,9266.0
Plank                              ,0.1232024992300884  ,0.06657950527916133  ,0.8238589981447124  ,26950.0
Power Boat pose                    ,0.05693771915177826 ,0.033711197521913934 ,0.1830708661417323  ,5588.0
Pushups                            ,0.11930868838763575 ,0.07999859958687812  ,0.2345755055949081  ,9741.0
Rowing machine                     ,0.15869696217787388 ,0.17746858524596662  ,0.1435165891969867  ,31195.0
Running                            ,0.42530921570029306 ,0.4375919496263167   ,0.4136971821191132  ,35949.0
Russian Twist                      ,0.18958088523305916 ,0.1475691557181662   ,0.26503385105535643 ,10044.0
Seated Back Fly                    ,0.051684110371075176,0.03595255744996294  ,0.09189335498714304 ,7389.0
Shoulder Press                     ,0.045505259802358936,0.03353103529273592  ,0.07078219908268253 ,8067.0
Squat                              ,0.012774642209232013,0.01534782345462251  ,0.01094039963747788 ,46342.0
Triceps Kickback                   ,0.06182345720343711 ,0.05987894509295288  ,0.06389850057670128 ,13005.0
Triceps extension (lying)          ,0.2298001737619461  ,0.1972041006523765   ,0.2753057507155868  ,7686.0
Dumbbell Curl                      ,0.10891706505923923 ,0.0984814313637047   ,0.12182646703245605 ,10753.0
V-up                               ,0.19690544412607447 ,0.13901363434073716  ,0.3374251202985368  ,10183.0
Walk                               ,0.3248145928263491  ,0.2895956734483647   ,0.3697857577401799  ,60819.0
Walking lunge                      ,0.12052450478936112 ,0.11097790717588628  ,0.13186813186813187 ,9828.0
Wall Ball                          ,0.15505496728940446 ,0.09480021442414746  ,0.4255043494354988  ,5403.0
Wall Squat                         ,0.03142936067032934 ,0.019389532681966217 ,0.08291497975708502 ,12350.0
accuracy                           ,0.11465330712084568 ,0.11465330712084568  ,0.11465330712084568 ,0.11465330712084568
macro avg                          ,0.14036697339019635 ,0.13225635071697467  ,0.2412865424581993  ,1405437.0
weighted avg                       ,0.10012676992395167 ,0.4934953106498613   ,0.11465330712084568 ,1405437.0
