                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6401469277908097 ,0.9936099350832628  ,0.4721766189173239 ,186390.0
Walking                                    ,0.3492891613408112 ,0.21349703033443615 ,0.9596846443289733 ,5581.0
Jogging                                    ,0.7607794361525705 ,0.7179186228482003  ,0.8090828924162258 ,4536.0
Running                                    ,0.8049931815797755 ,0.7272554965883244  ,0.9013389711064129 ,4257.0
Jump up                                    ,0.3222632226322263 ,0.2517616912235746  ,0.44760820045558086,878.0
Jump front and back                        ,0.44863523573201   ,0.36188951160928745 ,0.5900783289817232 ,1532.0
Jump sideways                              ,0.271985494106981  ,0.45871559633027525 ,0.19329896907216496,1552.0
Jump leg/arms open/closed                  ,0.7839762611275966 ,0.7844418052256532  ,0.7835112692763938 ,1686.0
Jump rope                                  ,0.5387647831800263 ,0.44532947139753803 ,0.6818181818181818 ,902.0
Trunk twist (arms outstretched)            ,0.6576200417536535 ,0.8818589025755879  ,0.524300932090546  ,3004.0
Trunk twist (elbows bent)                  ,0.49535177321244117,0.3480645161290323  ,0.8587345801830482 ,2513.0
Waist bends forward                        ,0.6883861236802413 ,0.5620689655172414  ,0.8879377431906614 ,2570.0
Waist rotation                             ,0.3956277810021281 ,0.2496337890625     ,0.9529356943150047 ,2146.0
Waist bends (reach foot with opposite hand),0.8711227610310178 ,0.910918227501142   ,0.834658853076601  ,2389.0
Reach heels backwards                      ,0.6687938736439055 ,0.5735133163079168  ,0.8020408163265306 ,1960.0
Lateral bend                               ,0.10229773747689057,0.054001301236174366,0.9683333333333334 ,1800.0
Lateral bend with arm up                   ,0.36248048182020964,0.22663877266387727 ,0.9047884187082406 ,1796.0
Repetitive forward stretching              ,0.6250939143501127 ,0.5430809399477807  ,0.736283185840708  ,1130.0
Upper trunk and lower body opposite twist  ,0.49397927751330156,0.3887174966945791  ,0.6774193548387096 ,1302.0
Lateral elevation of arms                  ,0.6333113890717577 ,0.6981132075471698  ,0.5795180722891566 ,1660.0
Frontal elevation of arms                  ,0.36177036561898657,0.23359840954274355 ,0.801591813530415  ,1759.0
Frontal hand claps                         ,0.7025838372732272 ,0.6358208955223881  ,0.785012285012285  ,1628.0
Frontal crossing of arms                   ,0.6480532786885246 ,0.6167723061921014  ,0.6826767404209391 ,1853.0
Shoulders high-amplitude rotation          ,0.5431115276476101 ,0.4308550185873606  ,0.7344740177439797 ,1578.0
Shoulders low-amplitude rotation           ,0.2968506392266916 ,0.2194559704933149  ,0.45857418111753373,1038.0
Arms inner rotation                        ,0.31040738908131293,0.19690311780707262 ,0.7328660436137072 ,1284.0
Knees (alternating) to the breast          ,0.2610797743755036 ,0.2745762711864407  ,0.2488479262672811 ,651.0
Heels (alternatively) to the backside      ,0.4673123486682809 ,0.3995859213250518  ,0.5626822157434402 ,686.0
Knees bending (crouching)                  ,0.6440914644789666 ,0.5297157622739018  ,0.821460373998219  ,2246.0
Knees (alternating) bending forward        ,0.4405607476635514 ,0.29440419685236074 ,0.8749072011878248 ,2694.0
Rotation on the knees                      ,0.5036750483558994 ,0.3513221802482461  ,0.889344262295082  ,1464.0
Rowing                                     ,0.48412090251170714,0.3194740982132824  ,0.9989458889669712 ,2846.0
Elliptical bike                            ,0.6966856701130544 ,0.5741360089186176  ,0.8857493857493858 ,4070.0
Cycling                                    ,0.961761572155795  ,0.9510653242800281  ,0.9727011494252874 ,4176.0
accuracy                                   ,0.5636266923438307 ,0.5636266923438307  ,0.5636266923438307 ,0.5636266923438307
macro avg                                  ,0.5363812771781641 ,0.4829033552137196  ,0.7357465454599373 ,257557.0
weighted avg                               ,0.6229550045195633 ,0.8598438600620424  ,0.5636266923438307 ,257557.0
