Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.06393907171210493  ,0.7345101048861602   ,0.033424329028014635,859015.0
Band Pull-Down Row                 ,0.01349174855862375  ,0.007840690197780732 ,0.048311601471079914,5982.0
Bicep Curl                         ,0.3467665240133143   ,0.31187854164439216  ,0.3904430464462589  ,14942.0
Box Jump (on bench)                ,0.03491035463233552  ,0.01875265167585914  ,0.2522831050228311  ,876.0
Burpee                             ,0.06378762231121754  ,0.041943803447807786 ,0.13310933057637633 ,11607.0
Butterfly sit-up                   ,0.06118644687305823  ,0.08205480123523358  ,0.04878048780487805 ,34317.0
Chest Press                        ,0.07858337753478314  ,0.045505020673360895 ,0.2877633348274317  ,6693.0
Crunch                             ,0.07066300153834514  ,0.0403090069483406   ,0.2861227407331768  ,9793.0
Dip                                ,0.1132041378687266   ,0.06831316105113946  ,0.3301712779973649  ,7590.0
Dumbbell Deadlift Row              ,0.026177244808423518 ,0.019501034971129757 ,0.03980431398710251 ,8994.0
Dumbbell Row (both)                ,0.028359749802635576 ,0.020667374756594088 ,0.045173147610756435,10338.0
Dumbbell Row (right)               ,0.01429640096417588  ,0.007594489579653831 ,0.12164073550212165 ,2121.0
Dumbbell Squat (hands at side)     ,0.16298377365966107  ,0.0992934257877644   ,0.4545454545454545  ,9955.0
Elliptical machine                 ,0.13080890409128565  ,0.1162680221372414   ,0.14950673467517792 ,32741.0
Punches                            ,0.37176088257932105  ,0.27502214348981396  ,0.5734828496042217  ,7580.0
Jump Rope                          ,0.3976835247277154   ,0.5044661490942483   ,0.32820986313273953 ,18412.0
Jumping Jacks                      ,0.5692113336942789   ,0.42233529726834496  ,0.8727172108467073  ,3614.0
Kettlebell Swing                   ,0.3015737192603892   ,0.20410938208188548  ,0.5771859868983196  ,7022.0
Lateral Raise                      ,0.09505580067479884  ,0.061515851354188536 ,0.2090169781709231  ,7009.0
Lawnmower (both)                   ,0.0017673521850899746,0.0009099933818663136,0.030555555555555555,720.0
Lawnmower (right)                  ,0.031895486376743366 ,0.018907416451545384 ,0.1018796992481203  ,5320.0
Lunge (both legs)                  ,0.0281054121453124   ,0.02528651991995634  ,0.0316316468178715  ,13183.0
Ball Slam                          ,0.17994978145633778  ,0.13408634190284804  ,0.2734982332155477  ,7075.0
Triceps Extension (standing - both),0.15209574410991253  ,0.1513727165901079   ,0.15282571182053495 ,9272.0
Plank                              ,0.12489503715613028  ,0.06767522105478929  ,0.8084143355346145  ,26954.0
Power Boat pose                    ,0.054282812323665504 ,0.03222132904608789  ,0.1721546170365068  ,5588.0
Pushups                            ,0.1186816548137952   ,0.07892595606183889  ,0.2391371340523883  ,9735.0
Rowing machine                     ,0.1571100323065494   ,0.17035704919261174  ,0.14577455757886634 ,31192.0
Running                            ,0.429967798010886    ,0.4407700622242996   ,0.4196823454145921  ,35951.0
Russian Twist                      ,0.1929032258064516   ,0.15071408569028286  ,0.267894474863116   ,10045.0
Seated Back Fly                    ,0.05896514685729101  ,0.040589465096119534 ,0.10774228478613967 ,7388.0
Shoulder Press                     ,0.04815898072839457  ,0.03556633921174104  ,0.07455650663689369 ,8061.0
Squat                              ,0.016708021096993802 ,0.01977976559501668  ,0.014462096356415129,46328.0
Triceps Kickback                   ,0.06660613764299983  ,0.06311949339207049  ,0.07050049973091413 ,13007.0
Triceps extension (lying)          ,0.22709801409352975  ,0.19255839217816406  ,0.27673692427790786 ,7686.0
Dumbbell Curl                      ,0.10306275433711716  ,0.0955216769890424   ,0.1118965677611385  ,10751.0
V-up                               ,0.20355008991240792  ,0.14439140811455847  ,0.3448309748427673  ,10176.0
Walk                               ,0.3278019664946224   ,0.2918592113370302   ,0.3738408418283459  ,60820.0
Walking lunge                      ,0.11585395736339132  ,0.11180476730987514  ,0.12020746465981898 ,9833.0
Wall Ball                          ,0.16219181840002742  ,0.09950772078932976  ,0.4382876204595997  ,5396.0
Wall Squat                         ,0.02957733621397925  ,0.018209408194233688 ,0.07872357657730622 ,12347.0
accuracy                           ,0.11661350377713853  ,0.11661350377713853  ,0.11661350377713853 ,0.11661350377713853
macro avg                          ,0.1408700531496786   ,0.1333174461464477   ,0.23992502921794875 ,1405429.0
weighted avg                       ,0.10433224369217868  ,0.5082494392384405   ,0.11661350377713853 ,1405429.0
