Unnamed: 0                         ,f1-score          ,precision         ,recall             ,support
Noise                              ,0.8922348445030006,0.8952054160411664,0.8892839223328549 ,858999.0
Band Pull-Down Row                 ,0.5853016212657395,0.5762437206287474,0.5946488294314382 ,5980.0
Bicep Curl                         ,0.6540021767092115,0.6445845793784943,0.6636990427739474 ,14939.0
Box Jump (on bench)                ,0.2880703683342496,0.2775423728813559,0.29942857142857143,875.0
Burpee                             ,0.4993183367416496,0.4939728567815898,0.5047807735377724 ,11609.0
Butterfly sit-up                   ,0.6676112709797106,0.6691066670570668,0.6661225441613712 ,34306.0
Chest Press                        ,0.734760147601476 ,0.7263971983073106,0.7433179035388979 ,6697.0
Crunch                             ,0.7045233835931508,0.7054969802436278,0.70355247039608   ,9796.0
Dip                                ,0.6153746097814777,0.6078632917897983,0.6230738838403793 ,7593.0
Dumbbell Deadlift Row              ,0.5339221639525256,0.5304376439618296,0.5374527672816182 ,8998.0
Dumbbell Row (both)                ,0.5681427753388052,0.5605989264525849,0.5758924252684531 ,10337.0
Dumbbell Row (right)               ,0.4517919075144509,0.442481884057971 ,0.461502125649504  ,2117.0
Dumbbell Squat (hands at side)     ,0.6713631560408595,0.6728868267097035,0.6698463701174817 ,9959.0
Elliptical machine                 ,0.9037259542447964,0.8978146194423512,0.9097156470480438 ,32741.0
Punches                            ,0.8691687590855027,0.8711258278145695,0.8672204641350211 ,7584.0
Jump Rope                          ,0.8428005284015851,0.8368669022379269,0.8488188976377953 ,18415.0
Jumping Jacks                      ,0.912236987818383 ,0.9122369878183832,0.9122369878183832 ,3612.0
Kettlebell Swing                   ,0.7805752815436483,0.7855905284435458,0.775623663578047  ,7015.0
Lateral Raise                      ,0.5689274784712832,0.5679170218812163,0.5699415371453016 ,7013.0
Lawnmower (both)                   ,0.4962406015037594,0.4898785425101215,0.5027700831024929 ,722.0
Lawnmower (right)                  ,0.4993296303390154,0.5089808668488871,0.4900375939849624 ,5320.0
Lunge (both legs)                  ,0.4336719450253959,0.4272887842213718,0.4402487109493479 ,13188.0
Ball Slam                          ,0.4996078990518286,0.5040276179516686,0.4952650176678445 ,7075.0
Triceps Extension (standing - both),0.761015402780014 ,0.7569125653891321,0.7651629613641269 ,9266.0
Plank                              ,0.9130643611911624,0.909234731420162 ,0.9169263876521224 ,26952.0
Power Boat pose                    ,0.7939814814814814,0.7900425230333097,0.7979599141016464 ,5588.0
Pushups                            ,0.6987939596635251,0.6900520416333067,0.7077602135085198 ,9742.0
Rowing machine                     ,0.8116643321023812,0.8060956716936988,0.8173104664209008 ,31195.0
Running                            ,0.9119661312414394,0.9071591753598856,0.9168243017692222 ,35948.0
Russian Twist                      ,0.6418665198017324,0.6460391050191494,0.637747487812158  ,10051.0
Seated Back Fly                    ,0.5723693236383591,0.580250347705146 ,0.5646995127233352 ,7388.0
Shoulder Press                     ,0.7241166296021745,0.7214426390940424,0.7268105158730159 ,8064.0
Squat                              ,0.7466336580377804,0.7448138126530086,0.7484624182653921 ,46339.0
Triceps Kickback                   ,0.6543533614563144,0.647001352773185 ,0.6618743753363574 ,13007.0
Triceps extension (lying)          ,0.7175522931012082,0.7167142486374254,0.7183922996878251 ,7688.0
Dumbbell Curl                      ,0.6830505348579861,0.6773043160204828,0.6888950892857143 ,10752.0
V-up                               ,0.6298505990828855,0.6325014854426619,0.6272218403221055 ,10183.0
Walk                               ,0.7509366796433709,0.7424824416193889,0.7595856626109833 ,60820.0
Walking lunge                      ,0.4857099499215944,0.4828522578698582,0.488601669041319  ,9826.0
Wall Ball                          ,0.6745230078563411,0.6832133383857522,0.6660509789434799 ,5414.0
Wall Squat                         ,0.6916743644323066,0.6860261312938177,0.6974163764477201 ,12347.0
accuracy                           ,0.8269619910918845,0.8269619910918845,0.8269619910918845 ,0.8269619910918845
macro avg                          ,0.6716054736032576,0.6688947377684074,0.6744434805851598 ,1405460.0
weighted avg                       ,0.8273044284744512,0.8276964871957723,0.8269619910918845 ,1405460.0
