Unnamed: 0                         ,f1-score          ,precision         ,recall            ,support
Noise                              ,0.982487791185894 ,0.9829285401344184,0.9820474373272672,858986.0
Band Pull-Down Row                 ,0.9458087072338299,0.94165423504061  ,0.95              ,5980.0
Bicep Curl                         ,0.959679037111334 ,0.9587814817289064,0.9605782745465498,14941.0
Box Jump (on bench)                ,0.8866822429906541,0.906810035842294 ,0.8674285714285714,875.0
Burpee                             ,0.9236069244681768,0.9234478601567208,0.9237660435868724,11609.0
Butterfly sit-up                   ,0.9638997068218615,0.96464543251686  ,0.9631551332128492,34306.0
Chest Press                        ,0.951658485795032 ,0.9479922951548376,0.9553531431984472,6697.0
Crunch                             ,0.9631216526396328,0.9624834335814048,0.9637607186606778,9796.0
Dip                                ,0.9482735985296048,0.9452951184399948,0.951270907414724 ,7593.0
Dumbbell Deadlift Row              ,0.9354337696915908,0.9337763012181616,0.9370971326961548,8998.0
Dumbbell Row (both)                ,0.9068346880861909,0.901760091830878 ,0.9119667214859244,10337.0
Dumbbell Row (right)               ,0.9229336437718276,0.9100091827364556,0.9362305148795466,2117.0
Dumbbell Squat (hands at side)     ,0.9592696629213484,0.9584043299589056,0.960136559895572 ,9959.0
Elliptical machine                 ,0.9831769999237396,0.9819339507677308,0.9844232002687762,32741.0
Punches                            ,0.9782967214196188,0.9788778877887788,0.9777162447257384,7584.0
Jump Rope                          ,0.9758944568109018,0.9756825706996688,0.9761064349714906,18415.0
Jumping Jacks                      ,0.9829521829521828,0.9841798501248961,0.9817275747508306,3612.0
Kettlebell Swing                   ,0.9668571428571427,0.9689334287759483,0.9647897362794012,7015.0
Lateral Raise                      ,0.941159749857874 ,0.9380932143363082,0.9442463995437046,7013.0
Lawnmower (both)                   ,0.8828451882845187,0.8890449438202247,0.8767313019390581,722.0
Lawnmower (right)                  ,0.9350552124274752,0.9310473350726798,0.9390977443609022,5320.0
Lunge (both legs)                  ,0.9239907684158752,0.922072038057842 ,0.9259175007582652,13188.0
Ball Slam                          ,0.940525980009924 ,0.9434015927189988,0.9376678445229684,7075.0
Triceps Extension (standing - both),0.9682984688376104,0.9674639086403792,0.9691344701057629,9266.0
Plank                              ,0.9680576926642072,0.9673941235318092,0.9687221727515584,26952.0
Power Boat pose                    ,0.942162017645486 ,0.938398721817859 ,0.9459556191839656,5588.0
Pushups                            ,0.9551948384453888,0.9529988760600796,0.9574009443646068,9742.0
Rowing machine                     ,0.9823701782197244,0.9814115689787559,0.9833306619650584,31195.0
Running                            ,0.981923938605402 ,0.9823750522065988,0.981473239123178 ,35948.0
Russian Twist                      ,0.952200568210138 ,0.9540551338393928,0.950353198686698 ,10051.0
Seated Back Fly                    ,0.9371575458296691,0.9367139959432048,0.9376015159718464,7388.0
Shoulder Press                     ,0.9614313130687798,0.9599456051427864,0.962921626984127 ,8064.0
Squat                              ,0.9648210857796088,0.9643219005324768,0.965320788105052 ,46339.0
Triceps Kickback                   ,0.9277011184994426,0.9275941583397388,0.9278081033289768,13007.0
Triceps extension (lying)          ,0.9661973658599884,0.9638834951456312,0.968522372528616 ,7688.0
Dumbbell Curl                      ,0.9669686411149826,0.9660261765524925,0.9679129464285714,10752.0
V-up                               ,0.9630213205967796,0.9657317795773256,0.9603260335853874,10183.0
Walk                               ,0.965589754963569 ,0.9648209859316776,0.9663597500822098,60820.0
Walking lunge                      ,0.9334553403487368,0.9326493295408371,0.9342627454971   ,9827.0
Wall Ball                          ,0.9705228031145716,0.9723254086181278,0.9687268689859364,5404.0
Wall Squat                         ,0.8946600761688679,0.895095257397649 ,0.8942253178909857,12347.0
accuracy                           ,0.9734922871129326,0.9734922871129326,0.9734922871129326,0.9734922871129326
macro avg                          ,0.9502970337116874,0.9498648933731791,0.9507700857566812,1405440.0
weighted avg                       ,0.9735013788439446,0.9735139485812984,0.9734922871129326,1405440.0
