                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.8011536029331919 ,0.9926475243763454 ,0.6715947181854204,186754.0
Walking                                    ,0.5134010643444605 ,0.35164689508913777,0.9507256764020785,5581.0
Jogging                                    ,0.8051762787854087 ,0.7485790071996968 ,0.871031746031746 ,4536.0
Running                                    ,0.905676574739779  ,0.8336625839589096 ,0.9913084331688983,4257.0
Jump up                                    ,0.6210970464135022 ,0.4932975871313673 ,0.8382687927107062,878.0
Jump front and back                        ,0.8297442799461641 ,0.85625            ,0.8048302872062664,1532.0
Jump sideways                              ,0.8208537438768368 ,0.8981623277182236 ,0.7557989690721649,1552.0
Jump leg/arms open/closed                  ,0.9250777495052305 ,0.8838465694219341 ,0.970344009489917 ,1686.0
Jump rope                                  ,0.7817109144542772 ,0.7022968197879859 ,0.8813747228381374,902.0
Trunk twist (arms outstretched)            ,0.8695389266817839 ,0.79645527554694   ,0.9573901464713716,3004.0
Trunk twist (elbows bent)                  ,0.8529926496324816 ,0.7613245860668542 ,0.9697572622363708,2513.0
Waist bends forward                        ,0.8830068819481206 ,0.8078785921859865 ,0.9735408560311284,2570.0
Waist rotation                             ,0.8067420034476154 ,0.6848780487804879 ,0.9813606710158435,2146.0
Waist bends (reach foot with opposite hand),0.9545917328446346 ,0.929421094369548  ,0.981163666806195 ,2389.0
Reach heels backwards                      ,0.7866577121110365 ,0.7008376545672118 ,0.8964285714285715,1960.0
Lateral bend                               ,0.16510711062556405,0.09027164597725029,0.9655555555555555,1800.0
Lateral bend with arm up                   ,0.24811294380766   ,0.14186381074168797,0.9883073496659243,1796.0
Repetitive forward stretching              ,0.7847719562759141 ,0.6835193696651346 ,0.9212389380530973,1130.0
Upper trunk and lower body opposite twist  ,0.41488779419813904,0.27207465900933236,0.8732718894009217,1302.0
Lateral elevation of arms                  ,0.8465723612622417 ,0.7718253968253969 ,0.9373493975903614,1660.0
Frontal elevation of arms                  ,0.7496005478201323 ,0.6262395118230358 ,0.9334849346219443,1759.0
Frontal hand claps                         ,0.8089591567852438 ,0.7083525611444393 ,0.9428746928746928,1628.0
Frontal crossing of arms                   ,0.8770614692653673 ,0.8166589111214518 ,0.9471127900701565,1853.0
Shoulders high-amplitude rotation          ,0.8170395341710083 ,0.7910979228486646 ,0.8447401774397972,1578.0
Shoulders low-amplitude rotation           ,0.5567986230636833 ,0.5031104199066874 ,0.6233140655105973,1038.0
Arms inner rotation                        ,0.3940308517773307 ,0.25106837606837606,0.9151090342679128,1284.0
Knees (alternating) to the breast          ,0.8066070199587062 ,0.7306733167082294 ,0.9001536098310292,651.0
Heels (alternatively) to the backside      ,0.839425587467363  ,0.7600472813238771 ,0.9373177842565598,686.0
Knees bending (crouching)                  ,0.8165703275529866 ,0.7197690217391305 ,0.9434550311665183,2246.0
Knees (alternating) bending forward        ,0.47854192853295024,0.31560871624822356,0.9892353377876764,2694.0
Rotation on the knees                      ,0.8340649692712906 ,0.7296466973886329 ,0.9733606557377049,1464.0
Rowing                                     ,0.9561969439728354 ,0.9250985545335085 ,0.9894588896697118,2846.0
Elliptical bike                            ,0.8203544882790166 ,0.7672727272727272 ,0.8813267813267813,4070.0
Cycling                                    ,0.9669959046013008 ,0.9728550654386815 ,0.9612068965517241,4176.0
accuracy                                   ,0.7431888058746671 ,0.7431888058746671 ,0.7431888058746671,0.7431888058746671
macro avg                                  ,0.7452682553045076 ,0.6770070156466206 ,0.9106703629551024,257921.0
weighted avg                               ,0.7896919101812425 ,0.9073811027798218 ,0.7431888058746671,257921.0
