Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.29806936772811665 ,0.8938127236233528  ,0.17885744421509972 ,858969.0
Band Pull-Down Row                 ,0.3663366336633663  ,0.2561064891846922  ,0.6431556075547384  ,5983.0
Bicep Curl                         ,0.3710220082106368  ,0.3443731377492551  ,0.4021411843425895  ,14945.0
Box Jump (on bench)                ,0.32808616404308194 ,0.21631463947560087 ,0.6788571428571428  ,875.0
Burpee                             ,0.43277665865228415 ,0.3474540901502504  ,0.5736434108527132  ,11610.0
Butterfly sit-up                   ,0.5150348932676521  ,0.4598011819139677  ,0.5853502070333003  ,34294.0
Chest Press                        ,0.5075735447527644  ,0.3521510045741416  ,0.9085748431431132  ,6694.0
Crunch                             ,0.4528899445764054  ,0.3227290482183933  ,0.7590078595488415  ,9797.0
Dip                                ,0.3955221364264761  ,0.26580557443915703 ,0.7725237091675448  ,7592.0
Dumbbell Deadlift Row              ,0.2828571428571429  ,0.2539359632053777  ,0.319212808539026   ,8994.0
Dumbbell Row (both)                ,0.0877512582208911  ,0.064438599673499   ,0.13749395258829222 ,10335.0
Dumbbell Row (right)               ,0.1495129502378615  ,0.08902077151335312 ,0.4665409990574929  ,2122.0
Dumbbell Squat (hands at side)     ,0.24585766818083496 ,0.15668596636338572 ,0.570582329317269   ,9960.0
Elliptical machine                 ,0.8222112374361509  ,0.8067787641836675  ,0.8382456247518402  ,32741.0
Punches                            ,0.7404767756205457  ,0.6931216931216931  ,0.7947771036665787  ,7582.0
Jump Rope                          ,0.5498497321311903  ,0.4589710961643338  ,0.6856025634062889  ,18413.0
Jumping Jacks                      ,0.7110119651186372  ,0.5612293901072515  ,0.96984785615491    ,3615.0
Kettlebell Swing                   ,0.7316324120009449  ,0.6249621632529513  ,0.8822105113231733  ,7021.0
Lateral Raise                      ,0.3423661193800829  ,0.21813773415196905 ,0.7952666096378671  ,7014.0
Lawnmower (both)                   ,0.012958963282937363,0.010610079575596816,0.016643550624133148,721.0
Lawnmower (right)                  ,0.09601056694115948 ,0.05392747843828248 ,0.4371358767149032  ,5321.0
Lunge (both legs)                  ,0.13106137673787724 ,0.10447357751047437 ,0.1758016829656584  ,13191.0
Ball Slam                          ,0.4411058258371403  ,0.3308839115381898  ,0.6614406779661017  ,7080.0
Triceps Extension (standing - both),0.6692127179864723  ,0.5835807720086671  ,0.7842968075927523  ,9272.0
Plank                              ,0.1353622209255904  ,0.07378874168416047 ,0.8176826327310504  ,26953.0
Power Boat pose                    ,0.20479920013331115 ,0.11589146373087532 ,0.8795848989085704  ,5589.0
Pushups                            ,0.3821237585943469  ,0.30422089770100963 ,0.5136578352844526  ,9738.0
Rowing machine                     ,0.7231689131473412  ,0.6593014967925873  ,0.8007374158384097  ,31190.0
Running                            ,0.7857697560453097  ,0.7575123915737298  ,0.8162169680111265  ,35950.0
Russian Twist                      ,0.2294548820453806  ,0.15328564743632594 ,0.4560914967677772  ,10055.0
Seated Back Fly                    ,0.26436781609195403 ,0.19547164915012327 ,0.4082655826558266  ,7380.0
Shoulder Press                     ,0.5968555028699775  ,0.4997074801504388  ,0.7408921933085502  ,8070.0
Squat                              ,0.017362005747695964,0.10643985419198056 ,0.009451877427708243,46340.0
Triceps Kickback                   ,0.31892558119767106 ,0.3565862003421403  ,0.2884600599677097  ,13007.0
Triceps extension (lying)          ,0.6576631259484066  ,0.5381622516556291  ,0.8453836150845253  ,7690.0
Dumbbell Curl                      ,0.5738220635537804  ,0.4628499743399669  ,0.7547889157522782  ,10754.0
V-up                               ,0.5383760505660901  ,0.4163622690159003  ,0.7615445077618392  ,10178.0
Walk                               ,0.5493420877322945  ,0.4063980949226851  ,0.8474021703387044  ,60820.0
Walking lunge                      ,0.32798138452588715 ,0.20263082231167334 ,0.8599755948749237  ,9834.0
Wall Ball                          ,0.6747612349152291  ,0.5621761658031088  ,0.8437326421033142  ,5401.0
Wall Squat                         ,0.1796278244169298  ,0.1094911225811029  ,0.4997571243523316  ,12352.0
accuracy                           ,0.35312022836943824 ,0.35312022836943824 ,0.35312022836943824 ,0.35312022836943824
macro avg                          ,0.4107549139450694  ,0.3509654237444132  ,0.6141667291265969  ,1405442.0
weighted avg                       ,0.35625456295939306 ,0.6962884556342585  ,0.35312022836943824 ,1405442.0
