Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.308396299151889   ,0.8956737874512966 ,0.18626537891982006 ,858968.0
Band Pull-Down Row                 ,0.3750488854125929  ,0.2649720245907301 ,0.6415788593410269  ,5979.0
Bicep Curl                         ,0.3415769219295367  ,0.3082597458539737 ,0.3829687604522042  ,14949.0
Box Jump (on bench)                ,0.4345368916797488  ,0.2995670995670996 ,0.7908571428571428  ,875.0
Burpee                             ,0.4390432845937833  ,0.35105559283538945,0.5858890420399724  ,11608.0
Butterfly sit-up                   ,0.5192762787203405  ,0.4550861406781521 ,0.6045481049562682  ,34300.0
Chest Press                        ,0.5228688850589951  ,0.3712582365861312 ,0.8837765162832387  ,6694.0
Crunch                             ,0.4572485072591157  ,0.3252134172630853 ,0.7697724257577304  ,9799.0
Dip                                ,0.38436374450649297 ,0.25657314275630844,0.7657669519420671  ,7595.0
Dumbbell Deadlift Row              ,0.268059181897302   ,0.24838709677419354,0.2911153119092628  ,8993.0
Dumbbell Row (both)                ,0.11473669887059462 ,0.0798182506626278 ,0.20396710208030966 ,10335.0
Dumbbell Row (right)               ,0.13590692755156    ,0.07903436611055585,0.4846770391324847  ,2121.0
Dumbbell Squat (hands at side)     ,0.2596229379418696  ,0.17181661630438316,0.5309770057234662  ,9959.0
Elliptical machine                 ,0.8172265754000421  ,0.8035719557195572 ,0.8313532663470055  ,32743.0
Punches                            ,0.7291930713983945  ,0.6722679724015135 ,0.796650402215482   ,7583.0
Jump Rope                          ,0.5518021865391186  ,0.4546446164672766 ,0.7017705844014773  ,18412.0
Jumping Jacks                      ,0.6976605276256844  ,0.5448608303529777 ,0.9695628112894301  ,3614.0
Kettlebell Swing                   ,0.7037525064451446  ,0.5885960709151893 ,0.874928774928775   ,7020.0
Lateral Raise                      ,0.33301786348042106 ,0.2101138272065684 ,0.8023371811315377  ,7017.0
Lawnmower (both)                   ,0.01738122827346466 ,0.01492537313432836,0.02080443828016644 ,721.0
Lawnmower (right)                  ,0.0801438012927591  ,0.04435645952246965,0.4148496240601504  ,5320.0
Lunge (both legs)                  ,0.14669516986364686 ,0.11850088677307945,0.1924943138741471  ,13190.0
Ball Slam                          ,0.469272147379445   ,0.35389144170017234,0.6962847859867213  ,7079.0
Triceps Extension (standing - both),0.6593488027418832  ,0.5779473855147775 ,0.7674393530997304  ,9275.0
Plank                              ,0.13648132984726866 ,0.07459694838520158,0.8008682101513802  ,26952.0
Power Boat pose                    ,0.21638543516873887 ,0.12351718544053532,0.8720472440944882  ,5588.0
Pushups                            ,0.34187525569978056 ,0.2680352248206683 ,0.4718685831622176  ,9740.0
Rowing machine                     ,0.7215148547175972  ,0.6473345049794962 ,0.8148967551622419  ,31188.0
Running                            ,0.7834216842049742  ,0.7448035503848758 ,0.8262635253539541  ,35951.0
Russian Twist                      ,0.23466899401904665 ,0.15812231908122318,0.4548711314558663  ,10049.0
Seated Back Fly                    ,0.2307014028056112  ,0.16385789114097016,0.38965610614676416 ,7386.0
Shoulder Press                     ,0.6009591856709405  ,0.4964825745936767 ,0.7611255733234163  ,8067.0
Squat                              ,0.018483110261312937,0.11986566778610178,0.010013596046356044,46337.0
Triceps Kickback                   ,0.3201366383463257  ,0.3719344662664089 ,0.2810025370954102  ,13007.0
Triceps extension (lying)          ,0.6672121088157088  ,0.549759838206792  ,0.8484848484848485  ,7689.0
Dumbbell Curl                      ,0.5651824690064607  ,0.4525220892517616 ,0.7525341765088812  ,10753.0
V-up                               ,0.5503119162584147  ,0.4291210905293245 ,0.7668958742632613  ,10180.0
Walk                               ,0.5596437224344201  ,0.4156167465909182 ,0.8564288063137125  ,60820.0
Walking lunge                      ,0.33694301437954904 ,0.20902060594195096,0.8684290798169801  ,9835.0
Wall Ball                          ,0.6687687907897631  ,0.5532637709293861 ,0.8452270620945319  ,5395.0
Wall Squat                         ,0.1960186200212891  ,0.12193145432264695,0.4995546198072718  ,12349.0
accuracy                           ,0.35863131343676513 ,0.35863131343676513,0.35863131343676513 ,0.35863131343676513
macro avg                          ,0.4125582404258787  ,0.3509799577022872 ,0.6173366562510049  ,1405435.0
weighted avg                       ,0.36285694631960336 ,0.6971806434896951 ,0.35863131343676513 ,1405435.0
