                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7679199997380477 ,0.9853120352242267 ,0.6291163689039112 ,186390.0
Walking                                    ,0.5991966079000223 ,0.435064408976748  ,0.9621931553485038 ,5581.0
Jogging                                    ,0.8046600381641057 ,0.7389780483305664 ,0.8831569664902998 ,4536.0
Running                                    ,0.868925831202046  ,0.7952018724400234 ,0.9577167019027484 ,4257.0
Jump up                                    ,0.4631441617742988 ,0.32449725776965266,0.8086560364464692 ,878.0
Jump front and back                        ,0.7629063097514341 ,0.7453300124533001 ,0.7813315926892951 ,1532.0
Jump sideways                              ,0.8146666666666667 ,0.8439226519337016 ,0.7873711340206185 ,1552.0
Jump leg/arms open/closed                  ,0.8451443569553805 ,0.7580037664783428 ,0.9549228944246738 ,1686.0
Jump rope                                  ,0.6221871298855112 ,0.48313917841814835,0.8736141906873615 ,902.0
Trunk twist (arms outstretched)            ,0.8326271186440678 ,0.7633185349611543 ,0.9157789613848203 ,3004.0
Trunk twist (elbows bent)                  ,0.761005282535617  ,0.6365827530798072 ,0.9458814166335058 ,2513.0
Waist bends forward                        ,0.7905405405405407 ,0.6738891936368623 ,0.9560311284046693 ,2570.0
Waist rotation                             ,0.693021656926779  ,0.5490196078431373 ,0.9394221808014911 ,2146.0
Waist bends (reach foot with opposite hand),0.8852396410158487 ,0.8139044943820225 ,0.9702804520719966 ,2389.0
Reach heels backwards                      ,0.591058173657863  ,0.4466475345682233 ,0.8734693877551021 ,1960.0
Lateral bend                               ,0.17767481952375822,0.09837728194726167,0.9161111111111111 ,1800.0
Lateral bend with arm up                   ,0.23700939745715865,0.1352950457557589 ,0.9548997772828508 ,1796.0
Repetitive forward stretching              ,0.6673819742489271 ,0.5600240096038416 ,0.8256637168141593 ,1130.0
Upper trunk and lower body opposite twist  ,0.3182202196564349 ,0.19482758620689655,0.8678955453149002 ,1302.0
Lateral elevation of arms                  ,0.7699138156176548 ,0.6795758414015676 ,0.8879518072289156 ,1660.0
Frontal elevation of arms                  ,0.6578059071729957 ,0.5229788661522979 ,0.8862990335417851 ,1759.0
Frontal hand claps                         ,0.6514512527908708 ,0.5464003329171868 ,0.8065110565110565 ,1628.0
Frontal crossing of arms                   ,0.7064116985376828 ,0.6057098765432098 ,0.8472746896923907 ,1853.0
Shoulders high-amplitude rotation          ,0.6968145620022753 ,0.6320949432404541 ,0.7762991128010139 ,1578.0
Shoulders low-amplitude rotation           ,0.22833723653395788,0.16400336417157274,0.37572254335260113,1038.0
Arms inner rotation                        ,0.30514650068316385,0.18951536865924948,0.7827102803738317 ,1284.0
Knees (alternating) to the breast          ,0.6245847176079735 ,0.4883116883116883 ,0.8663594470046083 ,651.0
Heels (alternatively) to the backside      ,0.6015252621544327 ,0.4468838526912181 ,0.9198250728862973 ,686.0
Knees bending (crouching)                  ,0.7425445562025762 ,0.6150248465361006 ,0.9367764915405165 ,2246.0
Knees (alternating) bending forward        ,0.5442463875118658 ,0.3801385000736702 ,0.9576837416481069 ,2694.0
Rotation on the knees                      ,0.558262281770199  ,0.39716926632004623,0.9392076502732241 ,1464.0
Rowing                                     ,0.9016709511568123 ,0.8306690349319124 ,0.9859451862262825 ,2846.0
Elliptical bike                            ,0.8108656447249774 ,0.7490628904623073 ,0.8837837837837837 ,4070.0
Cycling                                    ,0.9503208937485144 ,0.9433695139216611 ,0.9573754789272031 ,4176.0
accuracy                                   ,0.7046595510896617 ,0.7046595510896617 ,0.7046595510896617 ,0.7046595510896617
macro avg                                  ,0.6544832821900136 ,0.5638895135395241 ,0.8709775910082385 ,257557.0
weighted avg                               ,0.7489987477430735 ,0.8799283919064947 ,0.7046595510896617 ,257557.0
