                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.8261440195992651 ,0.9922608636906147 ,0.7076710583373038,186793.0
Walking                                    ,0.361861505609599  ,0.22314187776941727,0.9564594158752912,5581.0
Jogging                                    ,0.7405773857257417 ,0.6790441176470589 ,0.814373897707231 ,4536.0
Running                                    ,0.8303823991618648 ,0.7494326777609682 ,0.930937279774489 ,4257.0
Jump up                                    ,0.5533190578158459 ,0.4433768016472203 ,0.7357630979498861,878.0
Jump front and back                        ,0.6743320933378423 ,0.6996491228070175 ,0.6507832898172323,1532.0
Jump sideways                              ,0.6428851430811446 ,0.8208208208208209 ,0.5283505154639175,1552.0
Jump leg/arms open/closed                  ,0.9243051448846837 ,0.9215801886792453 ,0.9270462633451957,1686.0
Jump rope                                  ,0.7100702576112412 ,0.6147607461476075 ,0.8403547671840355,902.0
Trunk twist (arms outstretched)            ,0.8019339242546334 ,0.7772571071540144 ,0.8282290279627164,3004.0
Trunk twist (elbows bent)                  ,0.5799205588275579 ,0.4421470342522974 ,0.8424194190210903,2513.0
Waist bends forward                        ,0.8630601678271735 ,0.7974265918838667 ,0.9404669260700389,2570.0
Waist rotation                             ,0.6136231884057971 ,0.44530921329406814,0.9864864864864865,2146.0
Waist bends (reach foot with opposite hand),0.9239715701055351 ,0.9516415261756876 ,0.8978652155713688,2389.0
Reach heels backwards                      ,0.3196286472148541 ,0.1962540716612378 ,0.8607142857142858,1960.0
Lateral bend                               ,0.346518668012109  ,0.21171393341553638,0.9538888888888889,1800.0
Lateral bend with arm up                   ,0.6656286492798754 ,0.5116696588868941 ,0.9521158129175946,1796.0
Repetitive forward stretching              ,0.7521008403361346 ,0.6222479721900348 ,0.9504424778761061,1130.0
Upper trunk and lower body opposite twist  ,0.6215443279313632 ,0.5300813008130081 ,0.7511520737327189,1302.0
Lateral elevation of arms                  ,0.829919857524488  ,0.818022235225278  ,0.8421686746987952,1660.0
Frontal elevation of arms                  ,0.6426627590537994 ,0.5086149768058317 ,0.8726549175667994,1759.0
Frontal hand claps                         ,0.7689873417721519 ,0.6737523105360443 ,0.8955773955773956,1628.0
Frontal crossing of arms                   ,0.8191823899371069 ,0.7962302598064187 ,0.843497031840259 ,1853.0
Shoulders high-amplitude rotation          ,0.7762583648530695 ,0.7175901022054868 ,0.8453738910012675,1578.0
Shoulders low-amplitude rotation           ,0.4737413980441868 ,0.379570516540917  ,0.630057803468208 ,1038.0
Arms inner rotation                        ,0.49620801733477793,0.34374061843290304,0.8917445482866043,1284.0
Knees (alternating) to the breast          ,0.8199052132701422 ,0.8439024390243902 ,0.7972350230414746,651.0
Heels (alternatively) to the backside      ,0.8377823408624231 ,0.7896774193548387 ,0.892128279883382 ,686.0
Knees bending (crouching)                  ,0.7445817297954223 ,0.6830174656261613 ,0.8183437221727515,2246.0
Knees (alternating) bending forward        ,0.5682535969119196 ,0.4148590947907771 ,0.9016332590942836,2694.0
Rotation on the knees                      ,0.6824034334763948 ,0.5241758241758242 ,0.9774590163934426,1464.0
Rowing                                     ,0.8936170212765957 ,0.8151796060254924 ,0.988756148981026 ,2846.0
Elliptical bike                            ,0.7384133611691023 ,0.6419237749546279 ,0.869041769041769 ,4070.0
Cycling                                    ,0.9613784907902555 ,0.9542344892663364 ,0.9686302681992337,4176.0
accuracy                                   ,0.7548806016436657 ,0.7548806016436657 ,0.7548806016436657,0.7548806016436657
macro avg                                  ,0.7001500842674734 ,0.633361963513763  ,0.8555829984983108,257960.0
weighted avg                               ,0.7914652874883945 ,0.8905618504790321 ,0.7548806016436657,257960.0
