Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.06632013789424372  ,0.8895168806181042   ,0.034444101674592414,859015.0
Band Pull-Down Row                 ,0.03850872268313476  ,0.021989503930089527 ,0.15479772651287196 ,5982.0
Bicep Curl                         ,0.33891336270190897  ,0.2819259983120864   ,0.4247757997590684  ,14942.0
Box Jump (on bench)                ,0.24578399712953     ,0.14580672626649638  ,0.7819634703196348  ,876.0
Burpee                             ,0.10915558884104097  ,0.06973183742793579  ,0.2511415525114155  ,11607.0
Butterfly sit-up                   ,0.24670785642112936  ,0.2858294311813925   ,0.2170061485561092  ,34317.0
Chest Press                        ,0.14306294326241134  ,0.11369440774988993  ,0.19288809203645602 ,6693.0
Crunch                             ,0.21645340657868292  ,0.1610587707492149   ,0.3299295415092413  ,9793.0
Dip                                ,0.17932335402214922  ,0.1165835904739299   ,0.3882740447957839  ,7590.0
Dumbbell Deadlift Row              ,0.12924986021679924  ,0.0771383668109109   ,0.3983766955748277  ,8994.0
Dumbbell Row (both)                ,0.014997044917257684 ,0.012130990797179395 ,0.019636293286902688,10338.0
Dumbbell Row (right)               ,0.07925304284999722  ,0.044921875          ,0.3361621876473362  ,2121.0
Dumbbell Squat (hands at side)     ,0.16994982078853044  ,0.09912200016723806  ,0.5953792064289302  ,9955.0
Elliptical machine                 ,0.3225883255512493   ,0.2845076994867009   ,0.3724382272991051  ,32741.0
Punches                            ,0.3946577937982346   ,0.3037200369869834   ,0.5633245382585752  ,7580.0
Jump Rope                          ,0.4027208962952502   ,0.3553626318850212   ,0.4646426243754073  ,18412.0
Jumping Jacks                      ,0.39434603685811415  ,0.2913802221047065   ,0.6098505810736027  ,3614.0
Kettlebell Swing                   ,0.31227353580604783  ,0.2031196434693178   ,0.6750213614354884  ,7022.0
Lateral Raise                      ,0.19303706416259056  ,0.11818589456152713  ,0.5264659723213012  ,7009.0
Lawnmower (both)                   ,0.0016169393647738211,0.0008315185111859037,0.029166666666666667,720.0
Lawnmower (right)                  ,0.04115328769964738  ,0.023128934483562603 ,0.18646616541353386 ,5320.0
Lunge (both legs)                  ,0.15126924677486478  ,0.13933431291126305  ,0.1654403398316013  ,13183.0
Ball Slam                          ,0.2673884179348381   ,0.2093227792436236   ,0.370035335689046   ,7075.0
Triceps Extension (standing - both),0.3132762018239311   ,0.2723723005817197   ,0.3686367558239862  ,9272.0
Plank                              ,0.12333880053726005  ,0.06769058011700144  ,0.6932922757290199  ,26954.0
Power Boat pose                    ,0.06991306462398933  ,0.03750472885711677  ,0.5144953471725126  ,5588.0
Pushups                            ,0.11603315232923693  ,0.09628675972353977  ,0.14596815613764766 ,9735.0
Rowing machine                     ,0.4125670024976847   ,0.3668463342815791   ,0.4713067453193127  ,31192.0
Running                            ,0.37352547805236586  ,0.32949279367373835  ,0.4311423882506745  ,35951.0
Russian Twist                      ,0.2004621606008088   ,0.13614152726753934  ,0.3799900447984072  ,10045.0
Seated Back Fly                    ,0.08287929589270747  ,0.06760683760683761  ,0.1070655116404981  ,7388.0
Shoulder Press                     ,0.13831786679196525  ,0.09060828748412912  ,0.29214737625604764 ,8061.0
Squat                              ,0.022958991012763386 ,0.03823514614881522  ,0.016404766016232083,46328.0
Triceps Kickback                   ,0.08333333333333334  ,0.12033676876179415  ,0.06373491197047744 ,13007.0
Triceps extension (lying)          ,0.2959761723996963   ,0.19081325301204816  ,0.6593806921675774  ,7686.0
Dumbbell Curl                      ,0.35210995714451176  ,0.300990099009901    ,0.4241465910147893  ,10751.0
V-up                               ,0.2812856909773209   ,0.19445071057974286  ,0.5082547169811321  ,10176.0
Walk                               ,0.4278551988049195   ,0.365605437101456    ,0.5156527458073003  ,60820.0
Walking lunge                      ,0.17306416846294145  ,0.10868150462059092  ,0.42459066409030816 ,9833.0
Wall Ball                          ,0.1248513291973384   ,0.07552599852214834  ,0.3598962194217939  ,5396.0
Wall Squat                         ,0.04369241467230689  ,0.03401452609735192  ,0.061067465781161415,12347.0
accuracy                           ,0.1604172106879821   ,0.1604172106879821   ,0.1604172106879821  ,0.1604172106879821
macro avg                          ,0.1974188039440856   ,0.17418408894086365  ,0.3542634157891799  ,1405429.0
weighted avg                       ,0.13353157443138836  ,0.622418303210766    ,0.1604172106879821  ,1405429.0
