Unnamed: 0                         ,f1-score           ,precision           ,recall             ,support
Noise                              ,0.8096715916001861 ,0.7787520792764817  ,0.8431478693940844 ,858981.0
Band Pull-Down Row                 ,0.1790629095674967 ,0.17558232931726908 ,0.1826842721042955 ,5983.0
Bicep Curl                         ,0.316233903314334  ,0.33343225997922543 ,0.3007226980728052 ,14944.0
Box Jump (on bench)                ,0.03034359660865685,0.024890190336749638,0.03885714285714285,875.0
Burpee                             ,0.2478857281592684 ,0.23376326032206365 ,0.26382428940568475,11610.0
Butterfly sit-up                   ,0.3706579789054015 ,0.3783521122483069  ,0.3632705429521199 ,34294.0
Chest Press                        ,0.3412025993254915 ,0.3796448837634999  ,0.3098296982372274 ,6694.0
Crunch                             ,0.2240139211136891 ,0.2594383984952304  ,0.1971011534143105 ,9797.0
Dip                                ,0.3470438783217744 ,0.3625017931430211  ,0.3328503688092729 ,7592.0
Dumbbell Deadlift Row              ,0.18945902019967487,0.19820257469030847 ,0.18145430286857905,8994.0
Dumbbell Row (both)                ,0.13315400134498992,0.1430635838150289  ,0.12452830188679245,10335.0
Dumbbell Row (right)               ,0.07961630695443644,0.0810546875        ,0.07822808671065032,2122.0
Dumbbell Squat (hands at side)     ,0.3024895351398987 ,0.33504148365056124 ,0.2757028112449799 ,9960.0
Elliptical machine                 ,0.6483525887890457 ,0.7374240772465348  ,0.5784795821752543 ,32741.0
Punches                            ,0.5712987603037579 ,0.5624281150159745  ,0.5804537061461356 ,7582.0
Jump Rope                          ,0.5534328856260949 ,0.5670731707317073  ,0.5404333894531038 ,18413.0
Jumping Jacks                      ,0.7285913528591352 ,0.7347398030942335  ,0.7225449515905947 ,3615.0
Kettlebell Swing                   ,0.5644031668696711 ,0.6062142273098937  ,0.5279874661729098 ,7021.0
Lateral Raise                      ,0.2181348331686555 ,0.23359921862282276 ,0.20459081836327345,7014.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                ,721.0
Lawnmower (right)                  ,0.1254390366281987 ,0.13458225667527993 ,0.11745912422476977,5321.0
Lunge (both legs)                  ,0.18583112372558536,0.18312969233034004 ,0.18861344856341444,13191.0
Ball Slam                          ,0.2300537804492249 ,0.20836676217765046 ,0.2567796610169492 ,7080.0
Triceps Extension (standing - both),0.5276926444833625 ,0.5356666666666666  ,0.5199525452976704 ,9272.0
Plank                              ,0.5915575819973525 ,0.6820251937984496  ,0.5222795236151819 ,26953.0
Power Boat pose                    ,0.4642538423401091 ,0.520685053380783   ,0.4188584719985686 ,5589.0
Pushups                            ,0.3965536286313929 ,0.4290152963671128  ,0.3686588621893613 ,9738.0
Rowing machine                     ,0.3965628929619327 ,0.48868332081142    ,0.3336646361013145 ,31190.0
Running                            ,0.6605771538276939 ,0.7167827615389623  ,0.6125452016689847 ,35950.0
Russian Twist                      ,0.2426022628372497 ,0.2677392243966863  ,0.22178020885131772,10055.0
Seated Back Fly                    ,0.1936887921653972 ,0.20843091334894612 ,0.18089430894308944,7380.0
Shoulder Press                     ,0.4484447710017144 ,0.4432340837569596  ,0.4537794299876085 ,8070.0
Squat                              ,0.4509618203549602 ,0.4722287819392623  ,0.4315278377211912 ,46340.0
Triceps Kickback                   ,0.2940727958585818 ,0.3075889858965749  ,0.281694472207273  ,13007.0
Triceps extension (lying)          ,0.3267209577504002 ,0.3515051669911637  ,0.30520156046814045,7690.0
Dumbbell Curl                      ,0.33818786042420096,0.3564070869386073  ,0.3217407476287893 ,10754.0
V-up                               ,0.3299436117403248 ,0.3238104247469492  ,0.3363136176066025 ,10178.0
Walk                               ,0.39880181660063774,0.4836184673072416  ,0.33929628411706675,60820.0
Walking lunge                      ,0.19726111709493765,0.1989859271523179  ,0.19556595138818264,9833.0
Wall Ball                          ,0.4028334898011437 ,0.3742467491278148  ,0.4361485862132693 ,5411.0
Wall Squat                         ,0.13634470310547508,0.15915721231766616 ,0.11925194300518135,12352.0
accuracy                           ,0.6599232138613496 ,0.6599232138613496  ,0.6599232138613496 ,0.6599232138613496
macro avg                          ,0.3461813229744277 ,0.3651484945420919  ,0.3319194603578816 ,1405462.0
weighted avg                       ,0.6503846769828234 ,0.6457820502533965  ,0.6599232138613496 ,1405462.0
