                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8867570581430493 ,0.8618848888798849 ,0.9131074004120879 ,186368.0
Walking                                    ,0.5474589350677984 ,0.711461318051576  ,0.4449023472495968 ,5581.0
Jogging                                    ,0.6016395390281573 ,0.6524091728935841 ,0.5582010582010583 ,4536.0
Running                                    ,0.7068479725591083 ,0.7386072708653354 ,0.6777073056142824 ,4257.0
Jump up                                    ,0.31450719822812845,0.30603448275862066,0.3234624145785877 ,878.0
Jump front and back                        ,0.4902370990237099 ,0.5261976047904192 ,0.45887728459530025,1532.0
Jump sideways                              ,0.37086092715231783,0.3814713896457766 ,0.36082474226804123,1552.0
Jump leg/arms open/closed                  ,0.5684803001876173 ,0.6011904761904762 ,0.5391459074733096 ,1686.0
Jump rope                                  ,0.39845261121856873,0.35334476843910806,0.4567627494456763 ,902.0
Trunk twist (arms outstretched)            ,0.6863280538867649 ,0.7573322619525914 ,0.627496671105193  ,3004.0
Trunk twist (elbows bent)                  ,0.6154182135837519 ,0.6819941916747337 ,0.5606844409072821 ,2513.0
Waist bends forward                        ,0.6258223684210527 ,0.6634699215344376 ,0.5922178988326848 ,2570.0
Waist rotation                             ,0.5583673469387755 ,0.671026814911707  ,0.47809878844361603,2146.0
Waist bends (reach foot with opposite hand),0.7434389140271492 ,0.8089611029049729 ,0.6877354541649225 ,2389.0
Reach heels backwards                      ,0.4863240156296964 ,0.5918068763716167 ,0.41275510204081634,1960.0
Lateral bend                               ,0.5586289837642814 ,0.608781127129751  ,0.5161111111111111 ,1800.0
Lateral bend with arm up                   ,0.5021204410517388 ,0.5100516944284894 ,0.49443207126948774,1796.0
Repetitive forward stretching              ,0.49670122525918947,0.53125            ,0.4663716814159292 ,1130.0
Upper trunk and lower body opposite twist  ,0.22302158273381292,0.26898047722342733,0.19047619047619047,1302.0
Lateral elevation of arms                  ,0.32788225674570726,0.510178117048346  ,0.24156626506024095,1660.0
Frontal elevation of arms                  ,0.37976983646274987,0.406351263771873  ,0.3564525298465037 ,1759.0
Frontal hand claps                         ,0.4234752589182969 ,0.5638406537282942 ,0.33906633906633904,1628.0
Frontal crossing of arms                   ,0.48099726360595924,0.5508356545961003 ,0.4268753372908797 ,1853.0
Shoulders high-amplitude rotation          ,0.42414564037048874,0.42755956213779783,0.4207858048162231 ,1578.0
Shoulders low-amplitude rotation           ,0.27325023969319273,0.2719465648854962 ,0.2745664739884393 ,1038.0
Arms inner rotation                        ,0.3018534863195057 ,0.34826883910386963,0.26635514018691586,1284.0
Knees (alternating) to the breast          ,0.33065595716198126,0.2930011862396204 ,0.3794162826420891 ,651.0
Heels (alternatively) to the backside      ,0.29994141769185706,0.2507345739471107 ,0.37317784256559766,686.0
Knees bending (crouching)                  ,0.5603335939536096 ,0.6756756756756757 ,0.4786286731967943 ,2246.0
Knees (alternating) bending forward        ,0.4877563209237507 ,0.5259768140832976 ,0.45471417965850036,2694.0
Rotation on the knees                      ,0.44146259644414626,0.4337508239947264 ,0.4494535519125683 ,1464.0
Rowing                                     ,0.8285291943828529 ,0.8737334372564303 ,0.7877723120168658 ,2846.0
Elliptical bike                            ,0.5062682031151069 ,0.5223412594721714 ,0.49115479115479116,4070.0
Cycling                                    ,0.810049986845567  ,0.8987157034442499 ,0.7373084291187739 ,4176.0
accuracy                                   ,0.8009435610693693 ,0.8009435610693693 ,0.8009435610693693 ,0.8009435610693693
macro avg                                  ,0.5075818834864542 ,0.5523284108832813 ,0.4775489580037263 ,257535.0
weighted avg                               ,0.7938921163414758 ,0.7924846142127409 ,0.8009435610693693 ,257535.0
