Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8145493749576235  ,0.7852662239864128 ,0.8461011029946742  ,859025.0
Band Pull-Down Row                 ,0.035781698810012315,0.03514428502337578,0.036442661317285185,5982.0
Bicep Curl                         ,0.35662281261974715 ,0.3410284597532674 ,0.3737116851827065  ,14942.0
Box Jump (on bench)                ,0.3448702101359704  ,0.37601078167115903,0.3184931506849315  ,876.0
Burpee                             ,0.18364463977397585 ,0.16862434243712618,0.20160248126130784 ,11607.0
Butterfly sit-up                   ,0.476353541566235   ,0.5544247958828309 ,0.4175555166987235  ,34314.0
Chest Press                        ,0.11272141706924314 ,0.13023893458676067,0.09935753772598237 ,6693.0
Crunch                             ,0.2660515186466743  ,0.3571305694133838 ,0.21198815480445216 ,9793.0
Dip                                ,0.3257734750524677  ,0.3350508285754073 ,0.31699604743083004 ,7590.0
Dumbbell Deadlift Row              ,0.15451281416367466 ,0.17430167597765364,0.13875917278185454 ,8994.0
Dumbbell Row (both)                ,0.09793590177406099 ,0.09788385351241666,0.0979880054169085  ,10338.0
Dumbbell Row (right)               ,0.07396449704142012 ,0.07751937984496124,0.07072135785007072 ,2121.0
Dumbbell Squat (hands at side)     ,0.2133115747756149  ,0.2540608079966681 ,0.1838272225012557  ,9955.0
Elliptical machine                 ,0.5667395423407666  ,0.5420279349856422 ,0.5938120399499099  ,32741.0
Punches                            ,0.4508541392904074  ,0.4490837696335079 ,0.4526385224274406  ,7580.0
Jump Rope                          ,0.4915060344334497  ,0.5190890419234022 ,0.4667064957636324  ,18412.0
Jumping Jacks                      ,0.6392800116127159  ,0.6723664122137405 ,0.6092971776425014  ,3614.0
Kettlebell Swing                   ,0.6107462686567163  ,0.6415804327375353 ,0.5827399601253204  ,7022.0
Lateral Raise                      ,0.297211155378486   ,0.3365818444324129 ,0.2660864602653731  ,7009.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,720.0
Lawnmower (right)                  ,0.08053548661283468 ,0.0926197458455523 ,0.0712406015037594  ,5320.0
Lunge (both legs)                  ,0.233362143474503   ,0.2312332439678284 ,0.23553060760069786 ,13183.0
Ball Slam                          ,0.4012665903119316  ,0.3833676622039135 ,0.4209187279151944  ,7075.0
Triceps Extension (standing - both),0.4425172337113631  ,0.4566314823313447 ,0.4292493528904228  ,9272.0
Plank                              ,0.4352747926933048  ,0.4664687168610817 ,0.4079913927431921  ,26954.0
Power Boat pose                    ,0.23266095606521134 ,0.2397039286392105 ,0.2260200429491768  ,5588.0
Pushups                            ,0.24597560296329304 ,0.2686785105865174 ,0.2268104776579353  ,9735.0
Rowing machine                     ,0.4620297197495407  ,0.5208123868892017 ,0.4151705565529623  ,31192.0
Running                            ,0.5490961530057828  ,0.5763914373088685 ,0.5242691441128202  ,35951.0
Russian Twist                      ,0.3235767127693792  ,0.3505633639214775 ,0.30044798407167744 ,10045.0
Seated Back Fly                    ,0.1879609802522008  ,0.2269680137904616 ,0.16039523551705467 ,7388.0
Shoulder Press                     ,0.1213176218532405  ,0.1317818181818182 ,0.11239300334946037 ,8061.0
Squat                              ,0.32910970720158006 ,0.3666463430798187 ,0.2985451562769815  ,46328.0
Triceps Kickback                   ,0.341848583372039   ,0.3791682278006744 ,0.3112170369800876  ,13007.0
Triceps extension (lying)          ,0.4123076923076923  ,0.4871431104805817 ,0.3574030705178246  ,7686.0
Dumbbell Curl                      ,0.3733672843872306  ,0.3786342769701607 ,0.3682448144358664  ,10751.0
V-up                               ,0.4397356339236164  ,0.4518403317781234 ,0.4282625786163522  ,10176.0
Walk                               ,0.5549856815314775  ,0.6307109520520711 ,0.4954949029924367  ,60820.0
Walking lunge                      ,0.2126316860908952  ,0.2128158109209454 ,0.2124478795891386  ,9833.0
Wall Ball                          ,0.20255844728716368 ,0.19346140883046847,0.2125532308831698  ,5401.0
Wall Squat                         ,0.1056390280096457  ,0.12354919188632173,0.09226407452409882 ,12345.0
accuracy                           ,0.6573433638884363  ,0.6573433638884363 ,0.6573433638884363  ,0.6573433638884363
macro avg                          ,0.321955813796907   ,0.3418683985101001 ,0.30711450303671883 ,1405439.0
weighted avg                       ,0.6471270629770137  ,0.6410553682611594 ,0.6573433638884363  ,1405439.0
