                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.7996206407098349 ,0.9852555958150989 ,0.6728474409237954,186708.0
Walking                                    ,0.5218063717909064 ,0.3662879062025042 ,0.9068267335602939,5581.0
Jogging                                    ,0.797963001454999  ,0.7548171451042076 ,0.8463403880070547,4536.0
Running                                    ,0.8743556701030928 ,0.8053412462908012 ,0.95630725863284  ,4257.0
Jump up                                    ,0.5630593978844589 ,0.4379746835443038 ,0.7881548974943052,878.0
Jump front and back                        ,0.7797283868830738 ,0.7915265635507733 ,0.7682767624020888,1532.0
Jump sideways                              ,0.7690079652425779 ,0.8776859504132232 ,0.6842783505154639,1552.0
Jump leg/arms open/closed                  ,0.8999447208402432 ,0.8426501035196687 ,0.9655990510083037,1686.0
Jump rope                                  ,0.6777469990766389 ,0.5806962025316456 ,0.8137472283813747,902.0
Trunk twist (arms outstretched)            ,0.8729508196721312 ,0.8290419161676646 ,0.9217709720372836,3004.0
Trunk twist (elbows bent)                  ,0.8201881331403763 ,0.7519071310116087 ,0.9021090330282531,2513.0
Waist bends forward                        ,0.8429810585944415 ,0.7733030204611887 ,0.9264591439688716,2570.0
Waist rotation                             ,0.78744053282588   ,0.6654872949501447 ,0.9641192917054986,2146.0
Waist bends (reach foot with opposite hand),0.922499011466983  ,0.8741101536155864 ,0.9765592298032649,2389.0
Reach heels backwards                      ,0.7206390328151987 ,0.624625748502994  ,0.851530612244898 ,1960.0
Lateral bend                               ,0.1662063284392111 ,0.09104422147900408,0.9527777777777777,1800.0
Lateral bend with arm up                   ,0.23883823032759202,0.13590591129218232,0.9844097995545658,1796.0
Repetitive forward stretching              ,0.7691125624279678 ,0.6795655125594026 ,0.8858407079646018,1130.0
Upper trunk and lower body opposite twist  ,0.3309418409403145 ,0.20651552676700324,0.8325652841781874,1302.0
Lateral elevation of arms                  ,0.7581552305961754 ,0.7109704641350211 ,0.8120481927710843,1660.0
Frontal elevation of arms                  ,0.7016470588235294 ,0.5985547972701726 ,0.8476407049459921,1759.0
Frontal hand claps                         ,0.7693920335429769 ,0.6709323583180987 ,0.9017199017199017,1628.0
Frontal crossing of arms                   ,0.8309397833207356 ,0.7793005671077504 ,0.8899082568807339,1853.0
Shoulders high-amplitude rotation          ,0.7595532039976486 ,0.7083333333333334 ,0.8187579214195184,1578.0
Shoulders low-amplitude rotation           ,0.43023758099352055,0.3899765074393109 ,0.4797687861271676,1038.0
Arms inner rotation                        ,0.37590999338186637,0.23865546218487396,0.8847352024922118,1284.0
Knees (alternating) to the breast          ,0.6582568807339448 ,0.52516010978957   ,0.8817204301075269,651.0
Heels (alternatively) to the backside      ,0.7673038892551086 ,0.7003610108303249 ,0.8483965014577259,686.0
Knees bending (crouching)                  ,0.7624513978892798 ,0.6526148969889065 ,0.9167408726625111,2246.0
Knees (alternating) bending forward        ,0.46970519081208173,0.31049736967957914,0.9639940608760208,2694.0
Rotation on the knees                      ,0.7701408450704226 ,0.6553211888782359 ,0.9337431693989071,1464.0
Rowing                                     ,0.9501605000844737 ,0.9150667100553206 ,0.9880534082923401,2846.0
Elliptical bike                            ,0.7368553459119498 ,0.7548969072164948 ,0.7196560196560197,4070.0
Cycling                                    ,0.8838489774514945 ,0.9765353418308227 ,0.8072318007662835,4176.0
accuracy                                   ,0.729496849248667  ,0.729496849248667  ,0.729496849248667 ,0.729496849248667
macro avg                                  ,0.6993996651912098 ,0.6370858487893182 ,0.8616069174341963,257875.0
weighted avg                               ,0.7779424810875087 ,0.8947948165802926 ,0.729496849248667 ,257875.0
