                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7970686777838645 ,0.9828462366182581 ,0.670357691957422  ,186669.0
Walking                                    ,0.5450643776824033 ,0.3890037522015468 ,0.9102311413725139 ,5581.0
Jogging                                    ,0.7985059140900602 ,0.7542140337122697 ,0.8483245149911817 ,4536.0
Running                                    ,0.8699849817635701 ,0.8005923000987167 ,0.9525487432464177 ,4257.0
Jump up                                    ,0.5452399685287176 ,0.41646634615384615,0.7892938496583144 ,878.0
Jump front and back                        ,0.7785058977719528 ,0.781578947368421  ,0.7754569190600522 ,1532.0
Jump sideways                              ,0.7788184438040345 ,0.8831699346405228 ,0.696520618556701  ,1552.0
Jump leg/arms open/closed                  ,0.889679715302491  ,0.826131164209456  ,0.9638196915776986 ,1686.0
Jump rope                                  ,0.6555002263467633 ,0.5539403213465952 ,0.802660753880266  ,902.0
Trunk twist (arms outstretched)            ,0.8540455616653574 ,0.8086878905087771 ,0.9047936085219707 ,3004.0
Trunk twist (elbows bent)                  ,0.801358841408904  ,0.7275974025974026 ,0.8917628332670116 ,2513.0
Waist bends forward                        ,0.8305055098828057 ,0.7543692405465523 ,0.9237354085603113 ,2570.0
Waist rotation                             ,0.7840393343419062 ,0.6597708465945258 ,0.9659832246039143 ,2146.0
Waist bends (reach foot with opposite hand),0.9105850127176679 ,0.8548861131520941 ,0.9740477187107577 ,2389.0
Reach heels backwards                      ,0.6942287513116475 ,0.5896613190730838 ,0.8438775510204082 ,1960.0
Lateral bend                               ,0.1663582351222363 ,0.09117113269990391,0.9488888888888889 ,1800.0
Lateral bend with arm up                   ,0.2376960519199567 ,0.1352723915050785 ,0.9788418708240535 ,1796.0
Repetitive forward stretching              ,0.745697896749522  ,0.6565656565656566 ,0.8628318584070797 ,1130.0
Upper trunk and lower body opposite twist  ,0.3062161034626617 ,0.1869587366276108 ,0.8456221198156681 ,1302.0
Lateral elevation of arms                  ,0.7552097804945818 ,0.7008767405879319 ,0.8186746987951807 ,1660.0
Frontal elevation of arms                  ,0.6748665583662102 ,0.5701960784313725 ,0.8266060261512223 ,1759.0
Frontal hand claps                         ,0.7506603275224512 ,0.6584800741427247 ,0.8728501228501229 ,1628.0
Frontal crossing of arms                   ,0.8150532309977717 ,0.7529734675205856 ,0.8882892606583918 ,1853.0
Shoulders high-amplitude rotation          ,0.7496322447778758 ,0.6996155958264689 ,0.8073510773130546 ,1578.0
Shoulders low-amplitude rotation           ,0.37289562289562284,0.3310911808669656 ,0.42678227360308285,1038.0
Arms inner rotation                        ,0.352359693877551  ,0.22153167602245388,0.8605919003115264 ,1284.0
Knees (alternating) to the breast          ,0.6333333333333333 ,0.4960835509138381 ,0.8755760368663594 ,651.0
Heels (alternatively) to the backside      ,0.7380352644836271 ,0.6496674057649667 ,0.8542274052478134 ,686.0
Knees bending (crouching)                  ,0.7615186140803538 ,0.6496855345911949 ,0.9198575244879786 ,2246.0
Knees (alternating) bending forward        ,0.5143884892086331 ,0.35192780968006565,0.955456570155902  ,2694.0
Rotation on the knees                      ,0.7285906040268457 ,0.6001769128704113 ,0.9269125683060109 ,1464.0
Rowing                                     ,0.9418663092645335 ,0.9000960614793467 ,0.9877020379479972 ,2846.0
Elliptical bike                            ,0.7344163203626748 ,0.7532937225523121 ,0.7164619164619165 ,4070.0
Cycling                                    ,0.8819989534275249 ,0.9720299884659747 ,0.8072318007662835 ,4176.0
accuracy                                   ,0.7264734172109403 ,0.7264734172109403 ,0.7264734172109403 ,0.7264734172109403
macro avg                                  ,0.6880566131992976 ,0.6223708695863803 ,0.8557108890248082 ,257836.0
weighted avg                               ,0.7743556896002047 ,0.8905016152755609 ,0.7264734172109403 ,257836.0
