Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.27544277651627824,0.8789967355685187  ,0.16330861553147155 ,859030.0
Band Pull-Down Row                 ,0.29760322624994273,0.20500031567649474 ,0.5427950518221331  ,5982.0
Bicep Curl                         ,0.30495235119512576,0.2859989450858583  ,0.3265961718645429  ,14942.0
Box Jump (on bench)                ,0.08326530612244898,0.05466237942122187 ,0.17465753424657535 ,876.0
Burpee                             ,0.36347410358565735,0.2884459732901659  ,0.4912552769880245  ,11607.0
Butterfly sit-up                   ,0.4394301857306005 ,0.37398457162734544 ,0.5326397388820889  ,34314.0
Chest Press                        ,0.4658809169622764 ,0.31279450932186026 ,0.9124458389362021  ,6693.0
Crunch                             ,0.4073047933982781 ,0.2875410111886935  ,0.6980496272847952  ,9793.0
Dip                                ,0.392971915607098  ,0.26737332446050005 ,0.7411067193675891  ,7590.0
Dumbbell Deadlift Row              ,0.27892328133458005,0.2501986404167035  ,0.31509895485879474 ,8994.0
Dumbbell Row (both)                ,0.02672206899022101,0.02121849934581034 ,0.03608047978332366 ,10338.0
Dumbbell Row (right)               ,0.13162551613718715,0.08013544018058691 ,0.3682225365393682  ,2121.0
Dumbbell Squat (hands at side)     ,0.19292251588804896,0.1170971762582198  ,0.5473631341034656  ,9955.0
Elliptical machine                 ,0.7825175364217991 ,0.7900323745486241  ,0.7751443144680981  ,32741.0
Punches                            ,0.7150133398011158 ,0.6615798922800719  ,0.7778364116094987  ,7580.0
Jump Rope                          ,0.5132210740601421 ,0.4330308801015645  ,0.6298609602433196  ,18412.0
Jumping Jacks                      ,0.709026622296173  ,0.5679773408863712  ,0.9432761483121196  ,3614.0
Kettlebell Swing                   ,0.7269756746944208 ,0.6320496632996633  ,0.8554542865280547  ,7022.0
Lateral Raise                      ,0.29707020801208417,0.1905684754521964  ,0.6734198887145099  ,7009.0
Lawnmower (both)                   ,0.01049082053203447,0.007183170856849668,0.019444444444444445,720.0
Lawnmower (right)                  ,0.08713866778382907,0.050143225843047166,0.3323308270676692  ,5320.0
Lunge (both legs)                  ,0.09055715406748628,0.06911007306264222 ,0.1313054691648335  ,13183.0
Ball Slam                          ,0.3258712208631433 ,0.2419465387251542  ,0.4989399293286219  ,7075.0
Triceps Extension (standing - both),0.6350026733202637 ,0.5409960522320073  ,0.7685504745470233  ,9272.0
Plank                              ,0.13219595939194848,0.07185013947721873 ,0.8256288491504044  ,26954.0
Power Boat pose                    ,0.1846159599132451 ,0.1030775012527142  ,0.8835003579098067  ,5588.0
Pushups                            ,0.4266949819097058 ,0.34569553304020895 ,0.5572675911658963  ,9735.0
Rowing machine                     ,0.6970869954612384 ,0.661986449473836   ,0.7361182354449859  ,31192.0
Running                            ,0.7558019562256675 ,0.7476864452912357  ,0.7640955745320019  ,35951.0
Russian Twist                      ,0.23228208379421045,0.159314632521649   ,0.42857142857142855 ,10045.0
Seated Back Fly                    ,0.2002823824713696 ,0.1631870472944184  ,0.2592041147807255  ,7388.0
Shoulder Press                     ,0.5448214935301149 ,0.4687891253800751  ,0.6502915271058182  ,8061.0
Squat                              ,0.01923340044174273,0.10180012414649288 ,0.010619927473666031,46328.0
Triceps Kickback                   ,0.3174881160870653 ,0.34687927107061506 ,0.29268855231798263 ,13007.0
Triceps extension (lying)          ,0.5249924570049281 ,0.4278688524590164  ,0.6791569086651054  ,7686.0
Dumbbell Curl                      ,0.5614979094710052 ,0.4609048585412439  ,0.7182587666263603  ,10751.0
V-up                               ,0.5971395000202584 ,0.5080317132023441  ,0.7241548742138365  ,10176.0
Walk                               ,0.5284522835117452 ,0.3916594637886874  ,0.8120848405129891  ,60820.0
Walking lunge                      ,0.29532234609791563,0.18425363542427986 ,0.7435167293806569  ,9833.0
Wall Ball                          ,0.6232715504560166 ,0.5173382173382174  ,0.7837587865334813  ,5406.0
Wall Squat                         ,0.15008748291848126,0.08908969616107708 ,0.4759821790198461  ,12345.0
accuracy                           ,0.3256340144679743 ,0.3256340144679743  ,0.3256340144679743  ,0.3256340144679743
macro avg                          ,0.3742602636165096 ,0.3257921442681342  ,0.5512215140985747  ,1405449.0
weighted avg                       ,0.3307104041401823 ,0.6790079703997748  ,0.3256340144679743  ,1405449.0
