Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.3004477757698291  ,0.8865992912455702  ,0.18087023537054156 ,858986.0
Band Pull-Down Row                 ,0.30760335357039603 ,0.2160552321646135  ,0.5337792642140469  ,5980.0
Bicep Curl                         ,0.3247822023935128  ,0.2954695041684949  ,0.3605515025768021  ,14941.0
Box Jump (on bench)                ,0.09594813614262562 ,0.0669683257918552  ,0.16914285714285715 ,875.0
Burpee                             ,0.4075077525705891  ,0.3280773678124672  ,0.5376862778878456  ,11609.0
Butterfly sit-up                   ,0.4990622940848496  ,0.44142568930733017 ,0.5740103771934939  ,34306.0
Chest Press                        ,0.4930165829781848  ,0.34360663451358664 ,0.8723308944303421  ,6697.0
Crunch                             ,0.4171041386888048  ,0.2975008707767329  ,0.6975296039199673  ,9796.0
Dip                                ,0.38117819930537    ,0.2553353317524943  ,0.7516133280653233  ,7593.0
Dumbbell Deadlift Row              ,0.2505335252369845  ,0.2263474127880908  ,0.2805067792842854  ,8998.0
Dumbbell Row (both)                ,0.08545335942596217 ,0.061610158621574235,0.13940214762503628 ,10337.0
Dumbbell Row (right)               ,0.1143935544748494  ,0.06758147512864494 ,0.3722248464808692  ,2117.0
Dumbbell Squat (hands at side)     ,0.21640550544116668 ,0.1388509670079636  ,0.4902098604277538  ,9959.0
Elliptical machine                 ,0.7611302676146594  ,0.760434133105698   ,0.7618276778351303  ,32741.0
Punches                            ,0.7091818506609503  ,0.6465798045602605  ,0.7852056962025317  ,7584.0
Jump Rope                          ,0.5196338437847549  ,0.4286369570586782  ,0.6596796090143905  ,18415.0
Jumping Jacks                      ,0.6834862385321101  ,0.5341334164588528  ,0.948781838316722   ,3612.0
Kettlebell Swing                   ,0.7117678476054835  ,0.6096990646604311  ,0.8548823948681397  ,7015.0
Lateral Raise                      ,0.3178116257382655  ,0.20320387963588665 ,0.7289319834592899  ,7013.0
Lawnmower (both)                   ,0.008906481939633844,0.006928406466512702,0.012465373961218836,722.0
Lawnmower (right)                  ,0.07921400061406203 ,0.04444699666934649 ,0.36372180451127817 ,5320.0
Lunge (both legs)                  ,0.09324271190248837 ,0.07404764028905345 ,0.12587200485289654 ,13188.0
Ball Slam                          ,0.3960689783052105  ,0.2946816582741257  ,0.6038162544169612  ,7075.0
Triceps Extension (standing - both),0.652226122298171   ,0.5700791215888907  ,0.7620332398014246  ,9266.0
Plank                              ,0.1337470965114952  ,0.07293751913520642 ,0.8043558919560699  ,26952.0
Power Boat pose                    ,0.20513468013468011 ,0.11623581035962988 ,0.8722261989978526  ,5588.0
Pushups                            ,0.3579442086112796  ,0.28373993510395384 ,0.4847053993019914  ,9742.0
Rowing machine                     ,0.6729925936789617  ,0.6202757502027575  ,0.7355024843724955  ,31195.0
Running                            ,0.753530184260049   ,0.7339839113807199  ,0.7741459886502726  ,35948.0
Russian Twist                      ,0.2094908816439824  ,0.13868471953578335 ,0.428017112725102   ,10051.0
Seated Back Fly                    ,0.1971830985915493  ,0.14399700785438224 ,0.3126691932864104  ,7388.0
Shoulder Press                     ,0.5693250321177983  ,0.4732216198455725  ,0.7144097222222222  ,8064.0
Squat                              ,0.015585235455424253,0.09080459770114943 ,0.00852413733572153 ,46339.0
Triceps Kickback                   ,0.29389683242650466 ,0.3255466267987292  ,0.2678557699700161  ,13007.0
Triceps extension (lying)          ,0.6110937986911811  ,0.5086460314715545  ,0.7652185223725286  ,7688.0
Dumbbell Curl                      ,0.5406215161649944  ,0.432208110516934   ,0.7216331845238095  ,10752.0
V-up                               ,0.5219656190310819  ,0.4037717601547389  ,0.7379946970440932  ,10183.0
Walk                               ,0.5431946308724832  ,0.4032926732041776  ,0.8317165406116409  ,60820.0
Walking lunge                      ,0.2898734931384426  ,0.1800819227162809  ,0.7426478070621756  ,9827.0
Wall Ball                          ,0.6320429001689563  ,0.5240589596784018  ,0.7960769800148039  ,5404.0
Wall Squat                         ,0.17410821163514484 ,0.10678168303202716 ,0.4712075807888556  ,12347.0
accuracy                           ,0.3401226662112933  ,0.3401226662112933  ,0.3401226662112933  ,0.3401226662112933
macro avg                          ,0.3792155210295835  ,0.3257699506960769  ,0.5618532454413465  ,1405440.0
weighted avg                       ,0.3478496869031098  ,0.6834203474717405  ,0.3401226662112933  ,1405440.0
