Unnamed: 0                         ,f1-score             ,precision            ,recall                ,support
Noise                              ,0.0005607820233294628,0.50418410041841     ,0.00028054703178912176,859036.0
Band Pull-Down Row                 ,0.0022165927802406584,0.020895522388059702 ,0.0011703728473499413 ,5981.0
Bicep Curl                         ,0.06500168495151085  ,0.07376561570493753  ,0.05809906291834002   ,14940.0
Box Jump (on bench)                ,0.0027640461383086163,0.0014493561514019734,0.029748283752860413  ,874.0
Burpee                             ,0.0610927520846532   ,0.03812373116785982  ,0.1536871123363198    ,11608.0
Butterfly sit-up                   ,0.0037821874514273866,0.017020284448589416 ,0.002127473552297963  ,34313.0
Chest Press                        ,0.028778208342831086 ,0.017779811991691017 ,0.07545196473927984   ,6693.0
Crunch                             ,0.005131421403728832 ,0.005809450038729667 ,0.004595118962524253  ,9793.0
Dip                                ,0.04577176988368438  ,0.030059044551798177 ,0.0959030430773284    ,7591.0
Dumbbell Deadlift Row              ,0.01817095038852361  ,0.014161490683229812 ,0.025347415230683717  ,8995.0
Dumbbell Row (both)                ,0.010691003911342895 ,0.016396720655868825 ,0.007931134539123707  ,10339.0
Dumbbell Row (right)               ,0.008109477952356815 ,0.00875752599890531  ,0.0075507314771118455 ,2119.0
Dumbbell Squat (hands at side)     ,0.081210368227834    ,0.05215925005001572  ,0.18330654881478506   ,9956.0
Elliptical machine                 ,0.236519794684149    ,0.2655786350148368   ,0.21319285387082      ,32745.0
Punches                            ,0.2877524709926945   ,0.2134251290877797   ,0.4415139126994593    ,7583.0
Jump Rope                          ,0.2126807920157976   ,0.20904369721449928  ,0.21644668947911572   ,18411.0
Jumping Jacks                      ,0.1302143195186262   ,0.0861513687600644   ,0.2665375034597288    ,3613.0
Kettlebell Swing                   ,0.057396875204288426 ,0.0372460017816994   ,0.12505341119498647   ,7021.0
Lateral Raise                      ,0.030217399495120763 ,0.020530411632193324 ,0.057212155799686124  ,7009.0
Lawnmower (both)                   ,0.0016900259331565607,0.0008631466158699923,0.04022191400832178   ,721.0
Lawnmower (right)                  ,0.010080931421269344 ,0.008101323596531264 ,0.013340849304772641  ,5322.0
Lunge (both legs)                  ,0.04115853658536585  ,0.034412439459597245 ,0.05119453924914676   ,13185.0
Ball Slam                          ,0.02717428788192289  ,0.01797035347776511  ,0.055704792874310766  ,7073.0
Triceps Extension (standing - both),0.03104757650212195  ,0.023699914748508098 ,0.04499838135318873   ,9267.0
Plank                              ,0.0982966238198884   ,0.05236890149774767  ,0.7991838248933407    ,26955.0
Power Boat pose                    ,0.033035390040181335 ,0.017674267019316344 ,0.2524167561761547    ,5586.0
Pushups                            ,0.027821726021672287 ,0.019610318562471068 ,0.047863599013968784  ,9736.0
Rowing machine                     ,0.050190361222026185 ,0.0909702936968779   ,0.03465521110505562   ,31193.0
Running                            ,0.2733017911456573   ,0.348127421437796    ,0.22495132127955492   ,35950.0
Russian Twist                      ,0.02350845948352627  ,0.016744894075859443 ,0.03943830295787272   ,10041.0
Seated Back Fly                    ,0.01740331491712707  ,0.017776523702031602 ,0.017045454545454544  ,7392.0
Shoulder Press                     ,0.033235766216599    ,0.022266267448235143 ,0.06550868486352357   ,8060.0
Squat                              ,0.003496576269069869 ,0.04889406286379512  ,0.001813119212588228  ,46329.0
Triceps Kickback                   ,0.006552006552006552 ,0.013712047012732615 ,0.004304381245196003  ,13010.0
Triceps extension (lying)          ,0.03174700739124421  ,0.01799839704498728  ,0.13445268775218014   ,7683.0
Dumbbell Curl                      ,0.04563139439934675  ,0.04718386808383828  ,0.044177827380952384  ,10752.0
V-up                               ,0.02867242087957255  ,0.017217209311509073 ,0.08567498526233051   ,10178.0
Walk                               ,0.22166766970344692  ,0.16192923412770602  ,0.3512495889510029    ,60820.0
Walking lunge                      ,0.03584076687524963  ,0.024273245329293803 ,0.06847085156170515   ,9829.0
Wall Ball                          ,0.013127517993753113 ,0.008695652173913044 ,0.026772525849335302  ,5416.0
Wall Squat                         ,0.03443590461669312  ,0.01974638974139367  ,0.13446739570676386   ,12345.0
accuracy                           ,0.06017020725554498  ,0.06017020725554498  ,0.06017020725554498   ,0.06017020725554498
macro avg                          ,0.057979974471252325 ,0.06494569070166697  ,0.10983078854464176   ,1405463.0
weighted avg                       ,0.036098427212052066 ,0.3440189012418909   ,0.06017020725554498   ,1405463.0
