Unnamed: 0                         ,f1-score              ,precision            ,recall               ,support
Noise                              ,0.039244978023175565  ,0.7875170842824601   ,0.020123914698630237 ,858978.0
Band Pull-Down Row                 ,0.02144933346697404   ,0.013401803607214428 ,0.05368790767686904  ,5979.0
Bicep Curl                         ,0.2732407908178596    ,0.2480226913216604   ,0.30416750284299954  ,14949.0
Box Jump (on bench)                ,0.01554367201426025   ,0.008288973384030418 ,0.12457142857142856  ,875.0
Burpee                             ,0.08804235037549027   ,0.055313694724978456 ,0.21562715368711236  ,11608.0
Butterfly sit-up                   ,0.05904869922733395   ,0.07528922631959509  ,0.04857142857142857  ,34300.0
Chest Press                        ,0.05397753643367678   ,0.03195230507170724  ,0.17373767553032565  ,6694.0
Crunch                             ,0.08078637236422571   ,0.048820473513881794 ,0.2340034697418104   ,9799.0
Dip                                ,0.10577929872053528   ,0.06561688105950192  ,0.2726793943383805   ,7595.0
Dumbbell Deadlift Row              ,0.08029107558971424   ,0.0634859063873804   ,0.10919604136550652  ,8993.0
Dumbbell Row (both)                ,0.02708440084913256   ,0.018108848864526232 ,0.05370101596516691  ,10335.0
Dumbbell Row (right)               ,0.029614325068870524  ,0.016294822604329497 ,0.1621876473361622   ,2121.0
Dumbbell Squat (hands at side)     ,0.12844084617393575   ,0.0738205670884556   ,0.4938246811928909   ,9959.0
Elliptical machine                 ,0.20231081722737107   ,0.2384742951907131   ,0.17567113581528876  ,32743.0
Punches                            ,0.39887981330221706   ,0.3086981650050571   ,0.5634972965844652   ,7583.0
Jump Rope                          ,0.33353112373202226   ,0.347605866069851    ,0.3205518140343254   ,18412.0
Jumping Jacks                      ,0.3285444783050355    ,0.2226593233674272   ,0.6264526840066409   ,3614.0
Kettlebell Swing                   ,0.27773218213453266   ,0.18045305234418327  ,0.6025641025641025   ,7020.0
Lateral Raise                      ,0.119353599810925     ,0.07528324388789505  ,0.2878723101040331   ,7017.0
Lawnmower (both)                   ,0.00017465723517596715,9.319664492078284e-05,0.0013869625520110955,721.0
Lawnmower (right)                  ,0.034015051660359716  ,0.02197922962800154  ,0.07518796992481203  ,5320.0
Lunge (both legs)                  ,0.09177693190743763   ,0.0762856568903174   ,0.11516300227445035  ,13190.0
Ball Slam                          ,0.11090496804782518   ,0.08730223123732253  ,0.15199886989687808  ,7079.0
Triceps Extension (standing - both),0.1682882402594518    ,0.14311621580776787  ,0.2042048517520216   ,9275.0
Plank                              ,0.11552678729964005   ,0.062279190379226926 ,0.7966384683882458   ,26952.0
Power Boat pose                    ,0.0501289776821614    ,0.026617867243387126 ,0.4294917680744452   ,5588.0
Pushups                            ,0.11333234903292487   ,0.0795440414507772   ,0.19702258726899385  ,9740.0
Rowing machine                     ,0.21532985451152506   ,0.2334932174173724   ,0.1997883801462101   ,31188.0
Running                            ,0.35658794523096965   ,0.4029013946317191   ,0.3198242051681455   ,35951.0
Russian Twist                      ,0.13142678098384938   ,0.09206640593822332  ,0.2295750820977212   ,10049.0
Seated Back Fly                    ,0.01873994825536676   ,0.019378163412870568 ,0.0181424316274032   ,7386.0
Shoulder Press                     ,0.06658282680081044   ,0.04635439466900141  ,0.11813561423081692  ,8067.0
Squat                              ,0.011649061032863851  ,0.018191815973972413 ,0.00856766730690377  ,46337.0
Triceps Kickback                   ,0.041663004306935036  ,0.04863034779932287  ,0.03644191589144307  ,13007.0
Triceps extension (lying)          ,0.13891119879875685   ,0.09494939851059768  ,0.25868123293016004  ,7689.0
Dumbbell Curl                      ,0.14352908625579305   ,0.11425582291724025  ,0.19296940388728728  ,10753.0
V-up                               ,0.14439252336448594   ,0.1027431421446384   ,0.24282907662082515  ,10180.0
Walk                               ,0.33189879741640804   ,0.2932341257330223   ,0.3823084511673792   ,60820.0
Walking lunge                      ,0.1213274149228493    ,0.09282518462616572  ,0.17508896797153026  ,9835.0
Wall Ball                          ,0.13192946847646836   ,0.08550756413067309  ,0.2886216466234968   ,5405.0
Wall Squat                         ,0.021494028459360104  ,0.01372910300197735  ,0.04947769050125516  ,12349.0
accuracy                           ,0.106409668043445     ,0.106409668043445    ,0.106409668043445    ,0.106409668043445
macro avg                          ,0.12737818525801722   ,0.12279475449471625  ,0.22766426465682935  ,1405455.0
weighted avg                       ,0.08704443206553886   ,0.5393883038372833   ,0.106409668043445    ,1405455.0
