                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7262306729370368 ,0.9853201744319486 ,0.5750274585442953 ,186645.0
Walking                                    ,0.3198540777839609 ,0.193274799178031  ,0.9268948217165383 ,5581.0
Jogging                                    ,0.6986128625472887 ,0.6674698795180722 ,0.7328042328042328 ,4536.0
Running                                    ,0.8179833267169512 ,0.7081972847568311 ,0.9680526192154099 ,4257.0
Jump up                                    ,0.5676255903821382 ,0.45554789800137835,0.7528473804100227 ,878.0
Jump front and back                        ,0.7107388573137899 ,0.6559911651021535 ,0.7754569190600522 ,1532.0
Jump sideways                              ,0.6783867631851085 ,0.7294292068198666 ,0.634020618556701  ,1552.0
Jump leg/arms open/closed                  ,0.8905573202425643 ,0.8677546426561621 ,0.9145907473309609 ,1686.0
Jump rope                                  ,0.6967370441458732 ,0.6142131979695431 ,0.8048780487804879 ,902.0
Trunk twist (arms outstretched)            ,0.6942628903413216 ,0.6158206647771193 ,0.7956058588548602 ,3004.0
Trunk twist (elbows bent)                  ,0.439647577092511  ,0.30394396223541953,0.7942697970553124 ,2513.0
Waist bends forward                        ,0.7719638242894057 ,0.6598564329099945 ,0.9299610894941635 ,2570.0
Waist rotation                             ,0.47867189301360386,0.3180147058823529 ,0.967381174277726  ,2146.0
Waist bends (reach foot with opposite hand),0.877200248498654  ,0.8680327868852459 ,0.8865634156550858 ,2389.0
Reach heels backwards                      ,0.21127019089574153,0.12880483437779766,0.5872448979591837 ,1960.0
Lateral bend                               ,0.40061728395061735,0.27735042735042736,0.7211111111111111 ,1800.0
Lateral bend with arm up                   ,0.45469522240527177,0.3607843137254902 ,0.6146993318485523 ,1796.0
Repetitive forward stretching              ,0.6277836691410392 ,0.5226603884638023 ,0.7858407079646018 ,1130.0
Upper trunk and lower body opposite twist  ,0.5982905982905983 ,0.47554347826086957,0.8064516129032258 ,1302.0
Lateral elevation of arms                  ,0.7842312746386333 ,0.6955710955710955 ,0.8987951807228916 ,1660.0
Frontal elevation of arms                  ,0.3222868707310903 ,0.2072555718236538 ,0.7242751563388289 ,1759.0
Frontal hand claps                         ,0.6004942339373971 ,0.4516728624535316 ,0.8955773955773956 ,1628.0
Frontal crossing of arms                   ,0.5350291010993748 ,0.44544149318018667,0.6697247706422018 ,1853.0
Shoulders high-amplitude rotation          ,0.7368721461187214 ,0.670301142263759  ,0.8181242078580482 ,1578.0
Shoulders low-amplitude rotation           ,0.20161673799334287,0.13383838383838384,0.40847784200385356,1038.0
Arms inner rotation                        ,0.18786902844873857,0.10895280786950566,0.6814641744548287 ,1284.0
Knees (alternating) to the breast          ,0.7619047619047619 ,0.7619047619047619 ,0.7619047619047619 ,651.0
Heels (alternatively) to the backside      ,0.7508486082824168 ,0.7026683608640406 ,0.8061224489795918 ,686.0
Knees bending (crouching)                  ,0.41006493506493513,0.3226877874297394 ,0.56233303650935   ,2246.0
Knees (alternating) bending forward        ,0.6063361272908084 ,0.4911392405063291 ,0.7921306607275427 ,2694.0
Rotation on the knees                      ,0.49484536082474223,0.3409971583570137 ,0.9016393442622951 ,1464.0
Rowing                                     ,0.806585540443808  ,0.6805991785455424 ,0.9898102600140548 ,2846.0
Elliptical bike                            ,0.49600896233020586,0.34684684684684686,0.8702702702702703 ,4070.0
Cycling                                    ,0.8794373744139318 ,0.8237139272271017 ,0.9432471264367817 ,4176.0
accuracy                                   ,0.6424254883403411 ,0.6424254883403411 ,0.6424254883403411 ,0.6424254883403411
macro avg                                  ,0.5951635581381289 ,0.5174000253524705 ,0.7852234847130947 ,257812.0
weighted avg                               ,0.6912742264505902 ,0.853278961548461  ,0.6424254883403411 ,257812.0
