Unnamed: 0                         ,f1-score              ,precision           ,recall              ,support
Noise                              ,0.06138467384192694   ,0.8944437164198663  ,0.03178295115097077 ,859014.0
Band Pull-Down Row                 ,0.025429353687878537  ,0.014516434593160937,0.1024398395721925  ,5984.0
Bicep Curl                         ,0.28792737946404307   ,0.2423590775988287  ,0.3545990092381845  ,14938.0
Box Jump (on bench)                ,0.029730119786404968  ,0.017013544763792538,0.11771428571428573 ,875.0
Burpee                             ,0.10238228029639072   ,0.06658893639072419 ,0.22137996382117325 ,11609.0
Butterfly sit-up                   ,0.1630872718354763    ,0.20439975410555894 ,0.13566682210305436 ,34312.0
Chest Press                        ,0.08274979293727883   ,0.05531786379423164 ,0.16415235250186708 ,6695.0
Crunch                             ,0.12714776632302405   ,0.0836941769534027  ,0.26444762099244434 ,9794.0
Dip                                ,0.17956216814787473   ,0.11445739520741333 ,0.41643619122876335 ,7593.0
Dumbbell Deadlift Row              ,0.11341217786500025   ,0.07386229861087754 ,0.2441356309060589  ,8995.0
Dumbbell Row (both)                ,0.021346765005696468  ,0.015466156920670781,0.03444272445820434 ,10336.0
Dumbbell Row (right)               ,0.058216823286729315  ,0.033126834039778286,0.23996221067548415 ,2117.0
Dumbbell Squat (hands at side)     ,0.15558990211231327   ,0.08957743908004016 ,0.591443205784875   ,9957.0
Elliptical machine                 ,0.2565432275624956    ,0.241569092969298   ,0.273496441552888   ,32739.0
Punches                            ,0.3870390429991052    ,0.3010476958018902  ,0.541798523206751   ,7584.0
Jump Rope                          ,0.35548938622610704   ,0.3186396900559621  ,0.4019767568154665  ,18414.0
Jumping Jacks                      ,0.3823690454462493    ,0.2851892186223795  ,0.5800110741971207  ,3612.0
Kettlebell Swing                   ,0.30660958681974443   ,0.1984800134363453  ,0.6735537190082644  ,7018.0
Lateral Raise                      ,0.17929670950430726   ,0.11178811678934948 ,0.4526525955504849  ,7012.0
Lawnmower (both)                   ,0.00047973135044375144,0.000254539283896148,0.004160887656033287,721.0
Lawnmower (right)                  ,0.03664851945292789   ,0.021339766190387827,0.12967487314414586 ,5321.0
Lunge (both legs)                  ,0.08770120331301766   ,0.07458401998830473 ,0.10641686893203883 ,13184.0
Ball Slam                          ,0.22366305306291825   ,0.17669234551712834 ,0.304648862512364   ,7077.0
Triceps Extension (standing - both),0.3418495024151778    ,0.37102071753410815 ,0.3169310456458401  ,9267.0
Plank                              ,0.12332426476924402   ,0.06723941204107657 ,0.7433956663698427  ,26952.0
Power Boat pose                    ,0.055640863517297454  ,0.02947399759699731 ,0.4958855098389982  ,5590.0
Pushups                            ,0.12432414931848353   ,0.0907629762692635  ,0.1972670296927977  ,9733.0
Rowing machine                     ,0.319692726254301     ,0.3191972132562079  ,0.320189780085914   ,31194.0
Running                            ,0.33495320874177337   ,0.33437751226679235 ,0.3355308909844502  ,35949.0
Russian Twist                      ,0.2020694201610823    ,0.1419196392624205  ,0.3507113720027858  ,10051.0
Seated Back Fly                    ,0.0421277851556736    ,0.028958312202048888,0.07726657645466847 ,7390.0
Shoulder Press                     ,0.12514095882478438   ,0.08295284657965979 ,0.2546514512527909  ,8062.0
Squat                              ,0.014632570810689359  ,0.0209396728427314  ,0.011245413339089143,46330.0
Triceps Kickback                   ,0.07269450285370982   ,0.08230492663492373 ,0.06509375960651706 ,13012.0
Triceps extension (lying)          ,0.2810012605798668    ,0.19431161585973306 ,0.5073481597086748  ,7689.0
Dumbbell Curl                      ,0.27170346062052503   ,0.22673803448061244 ,0.33891524793003996 ,10749.0
V-up                               ,0.2561722990719664    ,0.18223716990533131 ,0.4310548025928108  ,10182.0
Walk                               ,0.3512901345766664    ,0.2941189517694159  ,0.4360500485029842  ,60821.0
Walking lunge                      ,0.14437602111348494   ,0.09586754790039388 ,0.2922560293070113  ,9827.0
Wall Ball                          ,0.12393757837536575   ,0.07633555031109204 ,0.3292615213770128  ,5403.0
Wall Squat                         ,0.033615641990798834  ,0.024812842478968897,0.05209852536055745 ,12342.0
accuracy                           ,0.13663511317419974   ,0.13663511317419974 ,0.13663511317419974 ,0.13663511317419974
macro avg                          ,0.1668866421823962    ,0.15360919673963574 ,0.2912718595311196  ,1405444.0
weighted avg                       ,0.11543325101813233   ,0.6142329462024619  ,0.13663511317419974 ,1405444.0
