Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.06517038904414371 ,0.8881858474705793  ,0.03382618808417607 ,859009.0
Band Pull-Down Row                 ,0.027549847385737503,0.015628513604677312,0.11614304812834225 ,5984.0
Bicep Curl                         ,0.3001633068294381  ,0.2501003792103502  ,0.3752845093051279  ,14938.0
Box Jump (on bench)                ,0.15651841954571485 ,0.09395050412465628 ,0.4685714285714286  ,875.0
Burpee                             ,0.10580483451379526 ,0.06786184050275247 ,0.23998621758980104 ,11609.0
Butterfly sit-up                   ,0.20546481453213247 ,0.2457499898567777  ,0.17652716250874328 ,34312.0
Chest Press                        ,0.1023417172593235  ,0.0755388007681912  ,0.15862584017923825 ,6695.0
Crunch                             ,0.1701706653475142  ,0.122039911308204   ,0.2809883602205432  ,9794.0
Dip                                ,0.17741253247930386 ,0.11511468339541267 ,0.3866719346766759  ,7593.0
Dumbbell Deadlift Row              ,0.11016965812805944 ,0.0669182269774551  ,0.3115063924402446  ,8995.0
Dumbbell Row (both)                ,0.013700574998225315,0.010819598609709607,0.018672600619195047,10336.0
Dumbbell Row (right)               ,0.06500404110379862 ,0.03702729365340349 ,0.2659423712801134  ,2117.0
Dumbbell Squat (hands at side)     ,0.16162012268563908 ,0.09390511839856784 ,0.5794918148036557  ,9957.0
Elliptical machine                 ,0.27077888133821226 ,0.2463271180077587  ,0.3006200555911909  ,32739.0
Punches                            ,0.3807768511265724  ,0.2926552872016432  ,0.5448312236286921  ,7584.0
Jump Rope                          ,0.3784127882303013  ,0.334375            ,0.4358097100032584  ,18414.0
Jumping Jacks                      ,0.3796127146510778  ,0.2832606324972737  ,0.5753045404208195  ,3612.0
Kettlebell Swing                   ,0.3040452508818202  ,0.19565661936117126 ,0.6816756910800797  ,7018.0
Lateral Raise                      ,0.17642005798346394 ,0.10866402116402116 ,0.468625213918996   ,7012.0
Lawnmower (both)                   ,0.002429452438796487,0.001257071024512885,0.036061026352288486,721.0
Lawnmower (right)                  ,0.034461274035879265,0.019454686590335727,0.15072354820522454 ,5321.0
Lunge (both legs)                  ,0.09575942350332596 ,0.08813775510204082 ,0.1048240291262136  ,13184.0
Ball Slam                          ,0.2366156541454115  ,0.1862124898621249  ,0.32443125618199803 ,7077.0
Triceps Extension (standing - both),0.3304206462101199  ,0.3121820101756744  ,0.3509226286824215  ,9267.0
Plank                              ,0.12365380564243005 ,0.06774430670127804 ,0.7078138913624221  ,26952.0
Power Boat pose                    ,0.06476168834857696 ,0.0345768880800728  ,0.5098389982110912  ,5590.0
Pushups                            ,0.10775668808847706 ,0.08466913275791205 ,0.1481557587588616  ,9733.0
Rowing machine                     ,0.34999405328258804 ,0.32633767673967284 ,0.37734820798871577 ,31194.0
Running                            ,0.3420627304409313  ,0.3132009156704511  ,0.37678377701744137 ,35949.0
Russian Twist                      ,0.19056852764536367 ,0.1306499261447563  ,0.3520047756442145  ,10051.0
Seated Back Fly                    ,0.03747032892505934 ,0.02728058264411801 ,0.0598105548037889  ,7390.0
Shoulder Press                     ,0.14112343966712898 ,0.09199126045355233 ,0.3029025055817415  ,8062.0
Squat                              ,0.0197169379713396  ,0.03117270987913575 ,0.014418303475070147,46330.0
Triceps Kickback                   ,0.07812807881773401 ,0.10880900109769484 ,0.06094374423608976 ,13012.0
Triceps extension (lying)          ,0.28019780150555923 ,0.18487115544472152 ,0.57848875016257    ,7689.0
Dumbbell Curl                      ,0.30052171244437625 ,0.2556955414844311  ,0.3644059912550005  ,10749.0
V-up                               ,0.2696233120113717  ,0.18973312527507705 ,0.4657238263602436  ,10182.0
Walk                               ,0.38310599171466103 ,0.32449734121459706 ,0.4675523256769866  ,60821.0
Walking lunge                      ,0.14716439339554918 ,0.09284667643532704 ,0.35463518876564565 ,9827.0
Wall Ball                          ,0.12041513569264485 ,0.07288902762603403 ,0.34605409410892923 ,5398.0
Wall Squat                         ,0.03941672362724994 ,0.03039086517347387 ,0.05606870847512559 ,12342.0
accuracy                           ,0.14568524740400474 ,0.14568524740400474 ,0.14568524740400474 ,0.14568524740400474
macro avg                          ,0.17674403091753288 ,0.1589848666265756  ,0.31534185837761963 ,1405434.0
weighted avg                       ,0.1227400701867993  ,0.6136096838895627  ,0.14568524740400474 ,1405434.0
