                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.9320092338516487 ,0.9340026189436927 ,0.9300243393602226 ,11504.0
Walking                                    ,0.739568345323741  ,0.7321937321937322 ,0.747093023255814  ,344.0
Jogging                                    ,0.823321554770318  ,0.8146853146853147 ,0.8321428571428572 ,280.0
Running                                    ,0.9157088122605364 ,0.9157088122605364 ,0.9157088122605364 ,261.0
Jump up                                    ,0.27999999999999997,0.2916666666666667 ,0.2692307692307692 ,52.0
Jump front and back                        ,0.4                ,0.3939393939393939 ,0.40625            ,96.0
Jump sideways                              ,0.3673469387755102 ,0.36               ,0.375              ,96.0
Jump leg/arms open/closed                  ,0.7200000000000001 ,0.7578947368421053 ,0.6857142857142857 ,105.0
Jump rope                                  ,0.45378151260504196,0.47368421052631576,0.43548387096774194,62.0
Trunk twist (arms outstretched)            ,0.830188679245283  ,0.8461538461538461 ,0.8148148148148148 ,189.0
Trunk twist (elbows bent)                  ,0.8403908794788273 ,0.8431372549019608 ,0.8376623376623377 ,154.0
Waist bends forward                        ,0.7702265372168285 ,0.7933333333333333 ,0.7484276729559748 ,159.0
Waist rotation                             ,0.8134328358208956 ,0.8074074074074075 ,0.8195488721804511 ,133.0
Waist bends (reach foot with opposite hand),0.8571428571428572 ,0.8431372549019608 ,0.8716216216216216 ,148.0
Reach heels backwards                      ,0.7346938775510204 ,0.72               ,0.75               ,120.0
Lateral bend                               ,0.5539906103286385 ,0.5619047619047619 ,0.5462962962962963 ,108.0
Lateral bend with arm up                   ,0.6666666666666666 ,0.6495726495726496 ,0.6846846846846847 ,111.0
Repetitive forward stretching              ,0.7074829931972789 ,0.7027027027027027 ,0.7123287671232876 ,73.0
Upper trunk and lower body opposite twist  ,0.575              ,0.5974025974025974 ,0.5542168674698795 ,83.0
Lateral elevation of arms                  ,0.7821782178217823 ,0.79               ,0.7745098039215687 ,102.0
Frontal elevation of arms                  ,0.6724890829694324 ,0.6416666666666667 ,0.7064220183486238 ,109.0
Frontal hand claps                         ,0.7414634146341463 ,0.7378640776699029 ,0.7450980392156863 ,102.0
Frontal crossing of arms                   ,0.7878787878787878 ,0.7777777777777778 ,0.7982456140350878 ,114.0
Shoulders high-amplitude rotation          ,0.6231155778894472 ,0.62               ,0.6262626262626263 ,99.0
Shoulders low-amplitude rotation           ,0.4615384615384615 ,0.45454545454545453,0.46875            ,64.0
Arms inner rotation                        ,0.654320987654321  ,0.6235294117647059 ,0.6883116883116883 ,77.0
Knees (alternating) to the breast          ,0.13333333333333333,0.14285714285714285,0.125              ,40.0
Heels (alternatively) to the backside      ,0.55               ,0.55               ,0.55               ,40.0
Knees bending (crouching)                  ,0.7854545454545455 ,0.7883211678832117 ,0.782608695652174  ,138.0
Knees (alternating) bending forward        ,0.7371601208459213 ,0.7349397590361446 ,0.7393939393939394 ,165.0
Rotation on the knees                      ,0.7083333333333334 ,0.6732673267326733 ,0.7472527472527473 ,91.0
Rowing                                     ,0.8774928774928774 ,0.8700564971751412 ,0.8850574712643678 ,174.0
Elliptical bike                            ,0.8368522072936659 ,0.8134328358208955 ,0.8616600790513834 ,253.0
Cycling                                    ,0.9003831417624522 ,0.8867924528301887 ,0.914396887159533  ,257.0
accuracy                                   ,0.8790165377601711 ,0.8790165377601711 ,0.8790165377601711 ,0.8790165377601711
macro avg                                  ,0.6833219536511059 ,0.6806934666205554 ,0.686741750076794  ,15903.0
weighted avg                               ,0.8791233626267704 ,0.879422292450236  ,0.8790165377601711 ,15903.0
