                                           ,f1-score            ,precision          ,recall              ,support
No activity                                ,0.903637713437268   ,0.9075454816582165 ,0.8997634535777647  ,6764.0
Walking                                    ,0.705607476635514   ,0.6741071428571429 ,0.7401960784313726  ,204.0
Jogging                                    ,0.8095238095238095  ,0.8                ,0.8192771084337349  ,166.0
Running                                    ,0.8617363344051447  ,0.8535031847133758 ,0.8701298701298701  ,154.0
Jump up                                    ,0.029411764705882356,0.02857142857142857,0.030303030303030304,33.0
Jump front and back                        ,0.35714285714285715 ,0.35714285714285715,0.35714285714285715 ,56.0
Jump sideways                              ,0.3564356435643564  ,0.391304347826087  ,0.32727272727272727 ,55.0
Jump leg/arms open/closed                  ,0.6611570247933884  ,0.6896551724137931 ,0.6349206349206349  ,63.0
Jump rope                                  ,0.2647058823529411  ,0.2571428571428571 ,0.2727272727272727  ,33.0
Trunk twist (arms outstretched)            ,0.787878787878788   ,0.7711864406779662 ,0.8053097345132744  ,113.0
Trunk twist (elbows bent)                  ,0.7111111111111111  ,0.7111111111111111 ,0.7111111111111111  ,90.0
Waist bends forward                        ,0.711340206185567   ,0.69               ,0.7340425531914894  ,94.0
Waist rotation                             ,0.7341772151898733  ,0.7160493827160493 ,0.7532467532467533  ,77.0
Waist bends (reach foot with opposite hand),0.8414634146341463  ,0.8734177215189873 ,0.8117647058823529  ,85.0
Reach heels backwards                      ,0.7248322147651006  ,0.6923076923076923 ,0.7605633802816901  ,71.0
Lateral bend                               ,0.44285714285714284 ,0.4246575342465753 ,0.4626865671641791  ,67.0
Lateral bend with arm up                   ,0.5669291338582677  ,0.5901639344262295 ,0.5454545454545454  ,66.0
Repetitive forward stretching              ,0.5128205128205128  ,0.5405405405405406 ,0.4878048780487805  ,41.0
Upper trunk and lower body opposite twist  ,0.4719101123595505  ,0.5384615384615384 ,0.42                ,50.0
Lateral elevation of arms                  ,0.6446280991735538  ,0.65               ,0.639344262295082   ,61.0
Frontal elevation of arms                  ,0.6068965517241379  ,0.5432098765432098 ,0.6875              ,64.0
Frontal hand claps                         ,0.5203252032520326  ,0.5                ,0.5423728813559322  ,59.0
Frontal crossing of arms                   ,0.6929133858267716  ,0.7213114754098361 ,0.6666666666666666  ,66.0
Shoulders high-amplitude rotation          ,0.5811965811965812  ,0.5862068965517241 ,0.576271186440678   ,59.0
Shoulders low-amplitude rotation           ,0.15384615384615385 ,0.15384615384615385,0.15384615384615385 ,39.0
Arms inner rotation                        ,0.4799999999999999  ,0.43636363636363634,0.5333333333333333  ,45.0
Knees (alternating) to the breast          ,0.17241379310344826 ,0.16129032258064516,0.18518518518518517 ,27.0
Heels (alternatively) to the backside      ,0.16                ,0.16               ,0.16                ,25.0
Knees bending (crouching)                  ,0.6451612903225806  ,0.6578947368421053 ,0.6329113924050633  ,79.0
Knees (alternating) bending forward        ,0.5989304812834225  ,0.6292134831460674 ,0.5714285714285714  ,98.0
Rotation on the knees                      ,0.6607142857142857  ,0.6379310344827587 ,0.6851851851851852  ,54.0
Rowing                                     ,0.8544600938967136  ,0.8425925925925926 ,0.8666666666666667  ,105.0
Elliptical bike                            ,0.8052805280528054  ,0.782051282051282  ,0.8299319727891157  ,147.0
Cycling                                    ,0.8947368421052632  ,0.8774193548387097 ,0.912751677852349   ,149.0
accuracy                                   ,0.8368415428998824  ,0.8368415428998824 ,0.8368415428998824  ,0.8368415428998824
macro avg                                  ,0.5860641661093816  ,0.5837117415759168 ,0.5907974234495125  ,9359.0
weighted avg                               ,0.8373991428191164  ,0.8385692310012405 ,0.8368415428998824  ,9359.0
