                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9722150793758204,0.9831928172561042,0.9614797762132934,37357.0
Walking                                    ,0.7829518547750592,0.7000705716302047,0.8880931065353626,1117.0
Jogging                                    ,0.9077172153264975,0.8899470899470899,0.9262114537444934,908.0
Running                                    ,0.963435867672664 ,0.9507445589919816,0.9764705882352941,850.0
Jump up                                    ,0.7864583333333333,0.7330097087378641,0.848314606741573 ,178.0
Jump front and back                        ,0.8077544426494346,0.8012820512820513,0.8143322475570033,307.0
Jump sideways                              ,0.8676716917922948,0.8900343642611683,0.8464052287581699,306.0
Jump leg/arms open/closed                  ,0.9362962962962964,0.9349112426035503,0.9376854599406528,337.0
Jump rope                                  ,0.8914285714285715,0.9122807017543859,0.8715083798882681,179.0
Trunk twist (arms outstretched)            ,0.9801652892561984,0.9721311475409836,0.9883333333333333,600.0
Trunk twist (elbows bent)                  ,0.9376218323586744,0.921455938697318 ,0.9543650793650794,504.0
Waist bends forward                        ,0.9437148217636023,0.9145454545454546,0.9748062015503876,516.0
Waist rotation                             ,0.9438202247191011,0.9090909090909091,0.9813084112149533,428.0
Waist bends (reach foot with opposite hand),0.9781477627471383,0.9690721649484536,0.9873949579831933,476.0
Reach heels backwards                      ,0.9493201483312731,0.9230769230769231,0.9770992366412213,393.0
Lateral bend                               ,0.9090909090909091,0.8690176322418136,0.9530386740331491,362.0
Lateral bend with arm up                   ,0.9147496617050068,0.896551724137931 ,0.9337016574585635,362.0
Repetitive forward stretching              ,0.9490022172949002,0.9469026548672567,0.9511111111111111,225.0
Upper trunk and lower body opposite twist  ,0.9021113243761997,0.9003831417624522,0.9038461538461539,260.0
Lateral elevation of arms                  ,0.9307228915662651,0.9251497005988024,0.9363636363636364,330.0
Frontal elevation of arms                  ,0.9161118508655127,0.8557213930348259,0.9856733524355301,349.0
Frontal hand claps                         ,0.9359165424739195,0.9101449275362319,0.9631901840490797,326.0
Frontal crossing of arms                   ,0.946949602122016 ,0.9321148825065274,0.9622641509433962,371.0
Shoulders high-amplitude rotation          ,0.9245283018867925,0.91875           ,0.930379746835443 ,316.0
Shoulders low-amplitude rotation           ,0.8135593220338982,0.8115942028985508,0.8155339805825242,206.0
Arms inner rotation                        ,0.919925512104283 ,0.8821428571428571,0.9610894941634242,257.0
Knees (alternating) to the breast          ,0.7420814479638009,0.9010989010989011,0.6307692307692307,130.0
Heels (alternatively) to the backside      ,0.7983870967741936,0.8918918918918919,0.7226277372262774,137.0
Knees bending (crouching)                  ,0.9473684210526316,0.9149377593360996,0.9821826280623608,449.0
Knees (alternating) bending forward        ,0.9480286738351253,0.9168110918544194,0.9814471243042672,539.0
Rotation on the knees                      ,0.9384359400998336,0.912621359223301 ,0.9657534246575342,292.0
Rowing                                     ,0.9496644295302014,0.9114331723027376,0.9912434325744308,571.0
Elliptical bike                            ,0.930011862396204 ,0.9001148105625718,0.9619631901840491,815.0
Cycling                                    ,0.9734199645599527,0.9570267131242741,0.9903846153846154,832.0
accuracy                                   ,0.9564020548609092,0.9564020548609092,0.9564020548609092,0.9564020548609092
macro avg                                  ,0.9099642765752237,0.8988016017789966,0.9251873997849135,51585.0
weighted avg                               ,0.9570542462196012,0.9589080577548574,0.9564020548609092,51585.0
