                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6718787205333756 ,0.990753745318352  ,0.5082862975861655 ,16654.0
Walking                                    ,0.42048997772828506,0.2701774470520893 ,0.9477911646586346 ,498.0
Jogging                                    ,0.7022471910112359 ,0.56732223903177   ,0.9213759213759214 ,407.0
Running                                    ,0.9246753246753247 ,0.9198966408268734 ,0.9295039164490861 ,383.0
Jump up                                    ,0.18686868686868688,0.11635220125786164,0.47435897435897434,78.0
Jump front and back                        ,0.4181360201511335 ,0.3229571984435798 ,0.5928571428571429 ,140.0
Jump sideways                              ,0.28461538461538466,0.30833333333333335,0.2642857142857143 ,140.0
Jump leg/arms open/closed                  ,0.8987341772151899 ,0.8606060606060606 ,0.9403973509933775 ,151.0
Jump rope                                  ,0.30288461538461536,0.1875             ,0.7875             ,80.0
Trunk twist (arms outstretched)            ,0.704119850187266  ,0.6988847583643123 ,0.7094339622641509 ,265.0
Trunk twist (elbows bent)                  ,0.43271221532091103,0.28243243243243243,0.9247787610619469 ,226.0
Waist bends forward                        ,0.6385737439222041 ,0.5077319587628866 ,0.8602620087336245 ,229.0
Waist rotation                             ,0.48780487804878053,0.3231292517006803 ,0.9947643979057592 ,191.0
Waist bends (reach foot with opposite hand),0.8517745302713987 ,0.769811320754717  ,0.9532710280373832 ,214.0
Reach heels backwards                      ,0.6915887850467289 ,0.5873015873015873 ,0.8409090909090909 ,176.0
Lateral bend                               ,0.13460703430308293,0.07236227824463119,0.9627329192546584 ,161.0
Lateral bend with arm up                   ,0.27941176470588236,0.16326530612244897,0.9681528662420382 ,157.0
Repetitive forward stretching              ,0.6888888888888889 ,0.5502958579881657 ,0.9207920792079208 ,101.0
Upper trunk and lower body opposite twist  ,0.4780487804878049 ,0.3356164383561644 ,0.8305084745762712 ,118.0
Lateral elevation of arms                  ,0.6578947368421052 ,0.6369426751592356 ,0.6802721088435374 ,147.0
Frontal elevation of arms                  ,0.4749455337690632 ,0.36212624584717606,0.689873417721519  ,158.0
Frontal hand claps                         ,0.7633136094674556 ,0.671875           ,0.8835616438356164 ,146.0
Frontal crossing of arms                   ,0.6057906458797327 ,0.47719298245614034,0.8292682926829268 ,164.0
Shoulders high-amplitude rotation          ,0.39568345323741005,0.2637889688249401 ,0.7913669064748201 ,139.0
Shoulders low-amplitude rotation           ,0.21232876712328766,0.15656565656565657,0.32978723404255317,94.0
Arms inner rotation                        ,0.48395061728395067,0.3402777777777778 ,0.8376068376068376 ,117.0
Knees (alternating) to the breast          ,0.19314641744548286,0.1183206106870229 ,0.5254237288135594 ,59.0
Heels (alternatively) to the backside      ,0.625              ,0.5102040816326531 ,0.8064516129032258 ,62.0
Knees bending (crouching)                  ,0.7201834862385321 ,0.6680851063829787 ,0.7810945273631841 ,201.0
Knees (alternating) bending forward        ,0.5994475138121547 ,0.4492753623188406 ,0.9004149377593361 ,241.0
Rotation on the knees                      ,0.8090614886731392 ,0.702247191011236  ,0.9541984732824428 ,131.0
Rowing                                     ,0.7697063369397218 ,0.631979695431472  ,0.9841897233201581 ,253.0
Elliptical bike                            ,0.7513691128148959 ,0.6236363636363637 ,0.9449035812672176 ,363.0
Cycling                                    ,0.9034749034749034 ,0.8645320197044335 ,0.9460916442048517 ,371.0
accuracy                                   ,0.6039539430805996 ,0.6039539430805996 ,0.6039539430805996 ,0.6039539430805996
macro avg                                  ,0.5636281527167063 ,0.47975822921570216,0.800484315908225  ,23015.0
weighted avg                               ,0.6557987397615692 ,0.8597158022346337 ,0.6039539430805996 ,23015.0
