                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.297837548281598   ,0.9878436506452216  ,0.1753535621804661 ,30122.0
Walking                                    ,0.21535032734364118 ,0.12306957490845406 ,0.8608017817371938 ,898.0
Jogging                                    ,0.44991789819376027 ,0.3214076246334311  ,0.7496580027359782 ,731.0
Running                                    ,0.8240469208211143  ,0.8301329394387001  ,0.8180494905385735 ,687.0
Jump up                                    ,0.2732919254658385  ,0.1749502982107356  ,0.624113475177305  ,141.0
Jump front and back                        ,0.21957040572792363 ,0.26900584795321636 ,0.18548387096774194,248.0
Jump sideways                              ,0.05504587155963303 ,0.04455445544554455 ,0.072              ,250.0
Jump leg/arms open/closed                  ,0.8049645390070922  ,0.7827586206896552  ,0.8284671532846716 ,274.0
Jump rope                                  ,0.2445714285714286  ,0.14657534246575343 ,0.7379310344827587 ,145.0
Trunk twist (arms outstretched)            ,0.6045340050377833  ,0.7717041800643086  ,0.4968944099378882 ,483.0
Trunk twist (elbows bent)                  ,0.39476678043230945 ,0.2564671101256467  ,0.8567901234567902 ,405.0
Waist bends forward                        ,0.5747348119575699  ,0.478330658105939   ,0.7198067632850241 ,414.0
Waist rotation                             ,0.40745192307692313 ,0.2572078907435508  ,0.9797687861271677 ,346.0
Waist bends (reach foot with opposite hand),0.8793774319066148  ,0.875968992248062   ,0.8828125          ,384.0
Reach heels backwards                      ,0.6592797783933518  ,0.5819070904645477  ,0.7603833865814696 ,313.0
Lateral bend                               ,0.21376949410422214 ,0.12013681060282172 ,0.9689655172413794 ,290.0
Lateral bend with arm up                   ,0.44368600682593856 ,0.29545454545454547 ,0.8904109589041096 ,292.0
Repetitive forward stretching              ,0.7377398720682303  ,0.5986159169550173  ,0.9611111111111111 ,180.0
Upper trunk and lower body opposite twist  ,0.27720207253886014 ,0.19073083778966132 ,0.5071090047393365 ,211.0
Lateral elevation of arms                  ,0.5688073394495412  ,0.7425149700598802  ,0.46096654275092935,269.0
Frontal elevation of arms                  ,0.3797709923664122  ,0.2604712041884817  ,0.7007042253521126 ,284.0
Frontal hand claps                         ,0.6698872785829307  ,0.5777777777777777  ,0.7969348659003831 ,261.0
Frontal crossing of arms                   ,0.5145888594164456  ,0.42543859649122806 ,0.6510067114093959 ,298.0
Shoulders high-amplitude rotation          ,0.5483870967741936  ,0.5032894736842105  ,0.6023622047244095 ,254.0
Shoulders low-amplitude rotation           ,0.19827586206896547 ,0.13092979127134724 ,0.40828402366863903,169.0
Arms inner rotation                        ,0.4153498871331828  ,0.2709867452135493  ,0.8888888888888888 ,207.0
Knees (alternating) to the breast          ,0.055622732769044746,0.031767955801104975,0.22330097087378642,103.0
Heels (alternatively) to the backside      ,0.6523605150214592  ,0.6129032258064516  ,0.6972477064220184 ,109.0
Knees bending (crouching)                  ,0.5426515930113053  ,0.43278688524590164 ,0.7272727272727273 ,363.0
Knees (alternating) bending forward        ,0.606931530008453   ,0.4825268817204301  ,0.8177676537585421 ,439.0
Rotation on the knees                      ,0.621438263229308   ,0.4589178356713427  ,0.9621848739495799 ,238.0
Rowing                                     ,0.3075370121130552  ,0.18170974155069583 ,1.0                ,457.0
Elliptical bike                            ,0.4806902218570255  ,0.3293918918918919  ,0.8890577507598785 ,658.0
Cycling                                    ,0.1676968556839559  ,0.0921849608509381  ,0.9271916790490342 ,673.0
accuracy                                   ,0.3370756803538802  ,0.3370756803538802  ,0.3370756803538802 ,0.3370756803538802
macro avg                                  ,0.45020985531762087 ,0.4011888330638248  ,0.7008553458020379 ,41596.0
weighted avg                               ,0.34344595275652706 ,0.8228792618625637  ,0.3370756803538802 ,41596.0
