                                           ,f1-score            ,precision          ,recall             ,support
No activity                                ,0.29760442260442255 ,0.9857578840284842 ,0.17525773195876287,5529.0
Walking                                    ,0.23204419889502761 ,0.13695652173913042,0.7590361445783133 ,166.0
Jogging                                    ,0.4568764568764569  ,0.33447098976109213,0.7205882352941176 ,136.0
Running                                    ,0.7857142857142857  ,0.7795275590551181 ,0.792              ,125.0
Jump up                                    ,0.14893617021276595 ,0.08695652173913043,0.5185185185185185 ,27.0
Jump front and back                        ,0.26086956521739135 ,0.375              ,0.2                ,45.0
Jump sideways                              ,0.033057851239669415,0.02702702702702703,0.0425531914893617 ,47.0
Jump leg/arms open/closed                  ,0.7547169811320756  ,0.7142857142857143 ,0.8                ,50.0
Jump rope                                  ,0.15319148936170213 ,0.08571428571428572,0.72               ,25.0
Trunk twist (arms outstretched)            ,0.5866666666666667  ,0.7333333333333333 ,0.4888888888888889 ,90.0
Trunk twist (elbows bent)                  ,0.45283018867924524 ,0.3125             ,0.821917808219178  ,73.0
Waist bends forward                        ,0.5454545454545455  ,0.4222222222222222 ,0.7702702702702703 ,74.0
Waist rotation                             ,0.40277777777777785 ,0.25892857142857145,0.90625            ,64.0
Waist bends (reach foot with opposite hand),0.8169014084507042  ,0.8169014084507042 ,0.8169014084507042 ,71.0
Reach heels backwards                      ,0.6000000000000001  ,0.5342465753424658 ,0.6842105263157895 ,57.0
Lateral bend                               ,0.19569471624266144 ,0.10940919037199125,0.9259259259259259 ,54.0
Lateral bend with arm up                   ,0.42857142857142855 ,0.28846153846153844,0.8333333333333334 ,54.0
Repetitive forward stretching              ,0.425               ,0.3541666666666667 ,0.53125            ,32.0
Upper trunk and lower body opposite twist  ,0.18390804597701146 ,0.11851851851851852,0.41025641025641024,39.0
Lateral elevation of arms                  ,0.5063291139240507  ,0.6451612903225806 ,0.4166666666666667 ,48.0
Frontal elevation of arms                  ,0.28888888888888886 ,0.20155038759689922,0.5098039215686274 ,51.0
Frontal hand claps                         ,0.5289256198347106  ,0.43243243243243246,0.6808510638297872 ,47.0
Frontal crossing of arms                   ,0.5034013605442177  ,0.3978494623655914 ,0.6851851851851852 ,54.0
Shoulders high-amplitude rotation          ,0.4509803921568628  ,0.42592592592592593,0.4791666666666667 ,48.0
Shoulders low-amplitude rotation           ,0.11347517730496455 ,0.07142857142857142,0.27586206896551724,29.0
Arms inner rotation                        ,0.3411764705882353  ,0.21804511278195488,0.7837837837837838 ,37.0
Knees (alternating) to the breast          ,0.022222222222222223,0.01195219123505976,0.15789473684210525,19.0
Heels (alternatively) to the backside      ,0.43478260869565216 ,0.37037037037037035,0.5263157894736842 ,19.0
Knees bending (crouching)                  ,0.5027322404371585  ,0.39655172413793105,0.6865671641791045 ,67.0
Knees (alternating) bending forward        ,0.5728155339805825  ,0.47580645161290325,0.7195121951219512 ,82.0
Rotation on the knees                      ,0.5223880597014925  ,0.3888888888888889 ,0.7954545454545454 ,44.0
Rowing                                     ,0.31851851851851853 ,0.1894273127753304 ,1.0                ,86.0
Elliptical bike                            ,0.513317191283293   ,0.36177474402730375,0.8833333333333333 ,120.0
Cycling                                    ,0.16290909090909092 ,0.08945686900958466,0.9105691056910569 ,123.0
accuracy                                   ,0.3211477987421384  ,0.3211477987421384 ,0.3211477987421384 ,0.3211477987421384
macro avg                                  ,0.3983434908254053  ,0.3573825371487448 ,0.6302389594194585 ,7632.0
weighted avg                               ,0.33436536820260293 ,0.8138228723026675 ,0.3211477987421384 ,7632.0
