                                           ,f1-score           ,precision           ,recall              ,support
No activity                                ,0.860667273780942  ,0.8499018966644866  ,0.8717088713734698  ,5963.0
Walking                                    ,0.34899328859060397,0.4482758620689655  ,0.2857142857142857  ,182.0
Jogging                                    ,0.5555555555555556 ,0.6                 ,0.5172413793103449  ,145.0
Running                                    ,0.7468879668049793 ,0.8653846153846154  ,0.656934306569343   ,137.0
Jump up                                    ,0.09302325581395349,0.07017543859649122 ,0.13793103448275862 ,29.0
Jump front and back                        ,0.24761904761904763,0.23636363636363636 ,0.26                ,50.0
Jump sideways                              ,0.05797101449275362,0.047058823529411764,0.07547169811320754 ,53.0
Jump leg/arms open/closed                  ,0.4999999999999999 ,0.5319148936170213  ,0.4716981132075472  ,53.0
Jump rope                                  ,0.20779220779220778,0.16326530612244897 ,0.2857142857142857  ,28.0
Trunk twist (arms outstretched)            ,0.450261780104712  ,0.4574468085106383  ,0.44329896907216493 ,97.0
Trunk twist (elbows bent)                  ,0.547945205479452  ,0.6153846153846154  ,0.49382716049382713 ,81.0
Waist bends forward                        ,0.3466666666666666 ,0.37681159420289856 ,0.32098765432098764 ,81.0
Waist rotation                             ,0.5245901639344261 ,0.5925925925925926  ,0.47058823529411764 ,68.0
Waist bends (reach foot with opposite hand),0.5798816568047337 ,0.5444444444444444  ,0.620253164556962   ,79.0
Reach heels backwards                      ,0.43636363636363634,0.4897959183673469  ,0.39344262295081966 ,61.0
Lateral bend                               ,0.17391304347826086,0.17543859649122806 ,0.1724137931034483  ,58.0
Lateral bend with arm up                   ,0.25641025641025644,0.2542372881355932  ,0.25862068965517243 ,58.0
Repetitive forward stretching              ,0.13793103448275862,0.11764705882352941 ,0.16666666666666666 ,36.0
Upper trunk and lower body opposite twist  ,0.13157894736842105,0.14285714285714285 ,0.12195121951219512 ,41.0
Lateral elevation of arms                  ,0.38834951456310685,0.4166666666666667  ,0.36363636363636365 ,55.0
Frontal elevation of arms                  ,0.23655913978494622,0.28205128205128205 ,0.2037037037037037  ,54.0
Frontal hand claps                         ,0.3302752293577982 ,0.3103448275862069  ,0.35294117647058826 ,51.0
Frontal crossing of arms                   ,0.5272727272727272 ,0.5576923076923077  ,0.5                 ,58.0
Shoulders high-amplitude rotation          ,0.3137254901960784 ,0.32                ,0.3076923076923077  ,52.0
Shoulders low-amplitude rotation           ,0.16666666666666669,0.1346153846153846  ,0.21875             ,32.0
Arms inner rotation                        ,0.3516483516483517 ,0.3404255319148936  ,0.36363636363636365 ,44.0
Knees (alternating) to the breast          ,0.05               ,0.05263157894736842 ,0.047619047619047616,21.0
Heels (alternatively) to the backside      ,0.20408163265306123,0.19230769230769232 ,0.21739130434782608 ,23.0
Knees bending (crouching)                  ,0.48226950354609927,0.4722222222222222  ,0.4927536231884058  ,69.0
Knees (alternating) bending forward        ,0.4025157232704403 ,0.4383561643835616  ,0.37209302325581395 ,86.0
Rotation on the knees                      ,0.4509803921568628 ,0.42592592592592593 ,0.4791666666666667  ,48.0
Rowing                                     ,0.7209302325581395 ,0.7560975609756098  ,0.6888888888888889  ,90.0
Elliptical bike                            ,0.5022421524663677 ,0.6021505376344086  ,0.4307692307692308  ,130.0
Cycling                                    ,0.7029288702928871 ,0.8                 ,0.6268656716417911  ,134.0
accuracy                                   ,0.7436643627985934 ,0.7436643627985934  ,0.7436643627985934  ,0.7436643627985934
macro avg                                  ,0.3833675772934382 ,0.40236718279648936 ,0.3732462212243707  ,8247.0
weighted avg                               ,0.7429263425284739 ,0.7456273474334637  ,0.7436643627985934  ,8247.0
