                                           ,f1-score            ,precision          ,recall             ,support
No activity                                ,0.6666666666666667  ,0.960838861545046  ,0.510401273161305  ,8797.0
Walking                                    ,0.48667439165701043 ,0.35               ,0.7984790874524715 ,263.0
Jogging                                    ,0.6966731898238748  ,0.5993265993265994 ,0.8317757009345794 ,214.0
Running                                    ,0.9216152019002375  ,0.8738738738738738 ,0.9748743718592965 ,199.0
Jump up                                    ,0.061002178649237467,0.03357314148681055,0.3333333333333333 ,42.0
Jump front and back                        ,0.36036036036036034 ,0.25806451612903225,0.5970149253731343 ,67.0
Jump sideways                              ,0.2261904761904762  ,0.1958762886597938 ,0.2676056338028169 ,71.0
Jump leg/arms open/closed                  ,0.8928571428571429  ,0.8620689655172413 ,0.9259259259259259 ,81.0
Jump rope                                  ,0.19760479041916168 ,0.1134020618556701 ,0.7674418604651163 ,43.0
Trunk twist (arms outstretched)            ,0.6950354609929078  ,0.6853146853146853 ,0.7050359712230215 ,139.0
Trunk twist (elbows bent)                  ,0.4485125858123569  ,0.3072100313479624 ,0.8305084745762712 ,118.0
Waist bends forward                        ,0.627831715210356   ,0.5105263157894737 ,0.8151260504201681 ,119.0
Waist rotation                             ,0.49104859335038364 ,0.33217993079584773,0.9411764705882353 ,102.0
Waist bends (reach foot with opposite hand),0.813953488372093   ,0.7241379310344828 ,0.9292035398230089 ,113.0
Reach heels backwards                      ,0.672566371681416   ,0.5671641791044776 ,0.8260869565217391 ,92.0
Lateral bend                               ,0.13355592654424042 ,0.07194244604316546,0.9302325581395349 ,86.0
Lateral bend with arm up                   ,0.2883211678832117  ,0.17062634989200864,0.9294117647058824 ,85.0
Repetitive forward stretching              ,0.5031446540880503  ,0.37383177570093457,0.7692307692307693 ,52.0
Upper trunk and lower body opposite twist  ,0.3644067796610169  ,0.24855491329479767,0.6825396825396826 ,63.0
Lateral elevation of arms                  ,0.5389221556886228  ,0.5232558139534884 ,0.5555555555555556 ,81.0
Frontal elevation of arms                  ,0.303951367781155   ,0.20491803278688525,0.5882352941176471 ,85.0
Frontal hand claps                         ,0.6380368098159509  ,0.6046511627906976 ,0.6753246753246753 ,77.0
Frontal crossing of arms                   ,0.4347826086956522  ,0.3546099290780142 ,0.5617977528089888 ,89.0
Shoulders high-amplitude rotation          ,0.2915451895043732  ,0.1865671641791045 ,0.6666666666666666 ,75.0
Shoulders low-amplitude rotation           ,0.186046511627907   ,0.13008130081300814,0.32653061224489793,49.0
Arms inner rotation                        ,0.3788546255506608  ,0.2606060606060606 ,0.6935483870967742 ,62.0
Knees (alternating) to the breast          ,0.20168067226890754 ,0.13333333333333333,0.41379310344827586,29.0
Heels (alternatively) to the backside      ,0.48275862068965525 ,0.38181818181818183,0.65625            ,32.0
Knees bending (crouching)                  ,0.5836575875486382  ,0.5033557046979866 ,0.6944444444444444 ,108.0
Knees (alternating) bending forward        ,0.6233766233766235  ,0.5245901639344263 ,0.768              ,125.0
Rotation on the knees                      ,0.718562874251497   ,0.6                ,0.8955223880597015 ,67.0
Rowing                                     ,0.7647058823529411  ,0.6280193236714976 ,0.9774436090225563 ,133.0
Elliptical bike                            ,0.7447916666666665  ,0.7486910994764397 ,0.7409326424870466 ,193.0
Cycling                                    ,0.7813411078717201  ,0.9178082191780822 ,0.6802030456852792 ,197.0
accuracy                                   ,0.579683898584129   ,0.579683898584129  ,0.579683898584129  ,0.579683898584129
macro avg                                  ,0.506501042523858   ,0.439435834030268  ,0.7135191919717294 ,12148.0
weighted avg                               ,0.6407304137997059  ,0.8338372511072066 ,0.579683898584129  ,12148.0
