                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.9417818673411539 ,0.9449549313030542 ,0.9386300417246175,11504.0
Walking                                    ,0.75               ,0.7255434782608695 ,0.7761627906976745,344.0
Jogging                                    ,0.8462929475587703 ,0.8571428571428571 ,0.8357142857142857,280.0
Running                                    ,0.9073724007561437 ,0.8955223880597015 ,0.9195402298850575,261.0
Jump up                                    ,0.4554455445544554 ,0.46938775510204084,0.4423076923076923,52.0
Jump front and back                        ,0.6951871657754011 ,0.7142857142857143 ,0.6770833333333334,96.0
Jump sideways                              ,0.7363184079601991 ,0.7047619047619048 ,0.7708333333333334,96.0
Jump leg/arms open/closed                  ,0.8073394495412844 ,0.7787610619469026 ,0.8380952380952381,105.0
Jump rope                                  ,0.6666666666666667 ,0.65625            ,0.6774193548387096,62.0
Trunk twist (arms outstretched)            ,0.8930481283422459 ,0.9027027027027027 ,0.8835978835978836,189.0
Trunk twist (elbows bent)                  ,0.8627450980392157 ,0.868421052631579  ,0.8571428571428571,154.0
Waist bends forward                        ,0.8095238095238095 ,0.768361581920904  ,0.8553459119496856,159.0
Waist rotation                             ,0.8357142857142857 ,0.7959183673469388 ,0.8796992481203008,133.0
Waist bends (reach foot with opposite hand),0.8940397350993379 ,0.8766233766233766 ,0.9121621621621622,148.0
Reach heels backwards                      ,0.825910931174089  ,0.8031496062992126 ,0.85              ,120.0
Lateral bend                               ,0.6846846846846847 ,0.6666666666666666 ,0.7037037037037037,108.0
Lateral bend with arm up                   ,0.663594470046083  ,0.6792452830188679 ,0.6486486486486487,111.0
Repetitive forward stretching              ,0.7586206896551725 ,0.7638888888888888 ,0.7534246575342466,73.0
Upper trunk and lower body opposite twist  ,0.679245283018868  ,0.7105263157894737 ,0.6506024096385542,83.0
Lateral elevation of arms                  ,0.7632850241545894 ,0.7523809523809524 ,0.7745098039215687,102.0
Frontal elevation of arms                  ,0.75               ,0.7304347826086957 ,0.7706422018348624,109.0
Frontal hand claps                         ,0.7378640776699028 ,0.7307692307692307 ,0.7450980392156863,102.0
Frontal crossing of arms                   ,0.810126582278481  ,0.7804878048780488 ,0.8421052631578947,114.0
Shoulders high-amplitude rotation          ,0.7040816326530613 ,0.711340206185567  ,0.696969696969697 ,99.0
Shoulders low-amplitude rotation           ,0.6015037593984963 ,0.5797101449275363 ,0.625             ,64.0
Arms inner rotation                        ,0.6410256410256411 ,0.6329113924050633 ,0.6493506493506493,77.0
Knees (alternating) to the breast          ,0.43037974683544306,0.4358974358974359 ,0.425             ,40.0
Heels (alternatively) to the backside      ,0.463768115942029  ,0.5517241379310345 ,0.4               ,40.0
Knees bending (crouching)                  ,0.808664259927798  ,0.8057553956834532 ,0.8115942028985508,138.0
Knees (alternating) bending forward        ,0.8518518518518519 ,0.8679245283018868 ,0.8363636363636363,165.0
Rotation on the knees                      ,0.6702702702702702 ,0.6595744680851063 ,0.6813186813186813,91.0
Rowing                                     ,0.9159420289855073 ,0.9239766081871345 ,0.9080459770114943,174.0
Elliptical bike                            ,0.893280632411067  ,0.8932806324110671 ,0.8932806324110671,253.0
Cycling                                    ,0.9689922480620156 ,0.9652509652509652 ,0.9727626459143969,257.0
accuracy                                   ,0.9023454694082877 ,0.9023454694082877 ,0.9023454694082877,0.9023454694082877
macro avg                                  ,0.756604924615236  ,0.7530450770192598 ,0.761828094494005 ,15903.0
weighted avg                               ,0.9025753638925861 ,0.9031442030362216 ,0.9023454694082877,15903.0
