                                           ,f1-score           ,precision         ,recall             ,support
No activity                                ,0.9445335043283103 ,0.9520423991726991,0.9371421300419901 ,7859.0
Walking                                    ,0.7578558225508318 ,0.6655844155844156,0.8798283261802575 ,233.0
Jogging                                    ,0.8944723618090452 ,0.8640776699029126,0.9270833333333334 ,192.0
Running                                    ,0.9293478260869564 ,0.9095744680851063,0.95               ,180.0
Jump up                                    ,0.39285714285714285,0.5789473684210527,0.2972972972972973 ,37.0
Jump front and back                        ,0.726027397260274  ,0.654320987654321 ,0.8153846153846154 ,65.0
Jump sideways                              ,0.7424242424242423 ,0.765625          ,0.7205882352941176 ,68.0
Jump leg/arms open/closed                  ,0.8333333333333333 ,0.821917808219178 ,0.8450704225352113 ,71.0
Jump rope                                  ,0.6857142857142857 ,0.75              ,0.631578947368421  ,38.0
Trunk twist (arms outstretched)            ,0.9411764705882352 ,0.9375            ,0.9448818897637795 ,127.0
Trunk twist (elbows bent)                  ,0.9140271493212669 ,0.8706896551724138,0.9619047619047619 ,105.0
Waist bends forward                        ,0.8583690987124463 ,0.7874015748031497,0.9433962264150944 ,106.0
Waist rotation                             ,0.9090909090909092 ,0.85              ,0.9770114942528736 ,87.0
Waist bends (reach foot with opposite hand),0.8923076923076922 ,0.925531914893617 ,0.8613861386138614 ,101.0
Reach heels backwards                      ,0.8941176470588234 ,0.8539325842696629,0.9382716049382716 ,81.0
Lateral bend                               ,0.713375796178344  ,0.6829268292682927,0.7466666666666667 ,75.0
Lateral bend with arm up                   ,0.624113475177305  ,0.6567164179104478,0.5945945945945946 ,74.0
Repetitive forward stretching              ,0.7311827956989247 ,0.7727272727272727,0.6938775510204082 ,49.0
Upper trunk and lower body opposite twist  ,0.7572815533980584 ,0.8125            ,0.7090909090909091 ,55.0
Lateral elevation of arms                  ,0.776978417266187  ,0.8181818181818182,0.7397260273972602 ,73.0
Frontal elevation of arms                  ,0.896551724137931  ,0.9027777777777778,0.8904109589041096 ,73.0
Frontal hand claps                         ,0.832214765100671  ,0.7948717948717948,0.8732394366197183 ,71.0
Frontal crossing of arms                   ,0.8427672955974842 ,0.8271604938271605,0.8589743589743589 ,78.0
Shoulders high-amplitude rotation          ,0.7384615384615384 ,0.75              ,0.7272727272727273 ,66.0
Shoulders low-amplitude rotation           ,0.5599999999999999 ,0.65625           ,0.4883720930232558 ,43.0
Arms inner rotation                        ,0.7130434782608696 ,0.6949152542372882,0.7321428571428571 ,56.0
Knees (alternating) to the breast          ,0.12121212121212122,0.3333333333333333,0.07407407407407407,27.0
Heels (alternatively) to the backside      ,0.47058823529411764,0.5714285714285714,0.4                ,30.0
Knees bending (crouching)                  ,0.8686868686868687 ,0.8514851485148515,0.8865979381443299 ,97.0
Knees (alternating) bending forward        ,0.9090909090909091 ,0.8898305084745762,0.9292035398230089 ,113.0
Rotation on the knees                      ,0.7751937984496124 ,0.746268656716418 ,0.8064516129032258 ,62.0
Rowing                                     ,0.9169960474308301 ,0.8854961832061069,0.9508196721311475 ,122.0
Elliptical bike                            ,0.9131652661064426 ,0.8858695652173914,0.9421965317919075 ,173.0
Cycling                                    ,0.9803921568627451 ,0.9668508287292817,0.9943181818181818 ,176.0
accuracy                                   ,0.9136518457148117 ,0.9136518457148117,0.9136518457148117 ,0.9136518457148117
macro avg                                  ,0.7781456213486694 ,0.7849040088412033,0.7843780927857832 ,10863.0
weighted avg                               ,0.9128235027491141 ,0.9143717477091899,0.9136518457148117 ,10863.0
