                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.9332611553630809 ,0.9350689601735627 ,0.9314603272615004 ,6478.0
Walking                                    ,0.7783018867924529 ,0.7142857142857143 ,0.8549222797927462 ,193.0
Jogging                                    ,0.8875739644970413 ,0.8426966292134831 ,0.9375             ,160.0
Running                                    ,0.9078947368421052 ,0.8903225806451613 ,0.9261744966442953 ,149.0
Jump up                                    ,0.18867924528301888,0.23809523809523808,0.15625            ,32.0
Jump front and back                        ,0.46296296296296297,0.4807692307692308 ,0.44642857142857145,56.0
Jump sideways                              ,0.5660377358490566 ,0.5660377358490566 ,0.5660377358490566 ,53.0
Jump leg/arms open/closed                  ,0.7563025210084034 ,0.7627118644067796 ,0.75               ,60.0
Jump rope                                  ,0.5862068965517241 ,0.68               ,0.5151515151515151 ,33.0
Trunk twist (arms outstretched)            ,0.9289099526066351 ,0.9245283018867925 ,0.9333333333333333 ,105.0
Trunk twist (elbows bent)                  ,0.8852459016393444 ,0.8350515463917526 ,0.9418604651162791 ,86.0
Waist bends forward                        ,0.8217821782178217 ,0.7410714285714286 ,0.9222222222222223 ,90.0
Waist rotation                             ,0.8535031847133757 ,0.8072289156626506 ,0.9054054054054054 ,74.0
Waist bends (reach foot with opposite hand),0.9268292682926829 ,0.95               ,0.9047619047619048 ,84.0
Reach heels backwards                      ,0.8591549295774648 ,0.8472222222222222 ,0.8714285714285714 ,70.0
Lateral bend                               ,0.7096774193548386 ,0.7333333333333333 ,0.6875             ,64.0
Lateral bend with arm up                   ,0.5486725663716815 ,0.5740740740740741 ,0.5254237288135594 ,59.0
Repetitive forward stretching              ,0.7733333333333334 ,0.7837837837837838 ,0.7631578947368421 ,38.0
Upper trunk and lower body opposite twist  ,0.7654320987654321 ,0.8611111111111112 ,0.6888888888888889 ,45.0
Lateral elevation of arms                  ,0.7719298245614034 ,0.7857142857142857 ,0.7586206896551724 ,58.0
Frontal elevation of arms                  ,0.7933884297520661 ,0.7868852459016393 ,0.8                ,60.0
Frontal hand claps                         ,0.8070175438596492 ,0.8214285714285714 ,0.7931034482758621 ,58.0
Frontal crossing of arms                   ,0.736842105263158  ,0.7313432835820896 ,0.7424242424242424 ,66.0
Shoulders high-amplitude rotation          ,0.6964285714285714 ,0.6964285714285714 ,0.6964285714285714 ,56.0
Shoulders low-amplitude rotation           ,0.27586206896551724,0.36363636363636365,0.2222222222222222 ,36.0
Arms inner rotation                        ,0.34567901234567905,0.3888888888888889 ,0.3111111111111111 ,45.0
Knees (alternating) to the breast          ,0.13333333333333333,0.4                ,0.08               ,25.0
Heels (alternatively) to the backside      ,0.17647058823529413,0.23076923076923078,0.14285714285714285,21.0
Knees bending (crouching)                  ,0.8860759493670887 ,0.875              ,0.8974358974358975 ,78.0
Knees (alternating) bending forward        ,0.9052631578947369 ,0.8958333333333334 ,0.9148936170212766 ,94.0
Rotation on the knees                      ,0.6875             ,0.75               ,0.6346153846153846 ,52.0
Rowing                                     ,0.9371980676328503 ,0.9065420560747663 ,0.97               ,100.0
Elliptical bike                            ,0.9078498293515359 ,0.875              ,0.9432624113475178 ,141.0
Cycling                                    ,0.9666666666666666 ,0.9539473684210527 ,0.9797297297297297 ,148.0
accuracy                                   ,0.8951711832273893 ,0.8951711832273893 ,0.8951711832273893 ,0.8951711832273893
macro avg                                  ,0.7108019731376473 ,0.7243767608721814 ,0.7092532884987889 ,8967.0
weighted avg                               ,0.8926449640522209 ,0.8920527951498385 ,0.8951711832273893 ,8967.0
