                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.7842498160025233 ,0.9921521681298218 ,0.6483831710709318,11504.0
Walking                                    ,0.5414273995077934 ,0.37714285714285717,0.9593023255813954,344.0
Jogging                                    ,0.8227848101265823 ,0.7386363636363636 ,0.9285714285714286,280.0
Running                                    ,0.9192100538599642 ,0.8648648648648649 ,0.9808429118773946,261.0
Jump up                                    ,0.5562913907284768 ,0.42424242424242425,0.8076923076923077,52.0
Jump front and back                        ,0.6564102564102564 ,0.6464646464646465 ,0.6666666666666666,96.0
Jump sideways                              ,0.6896551724137931 ,0.7692307692307693 ,0.625             ,96.0
Jump leg/arms open/closed                  ,0.890909090909091  ,0.8521739130434782 ,0.9333333333333333,105.0
Jump rope                                  ,0.7123287671232876 ,0.6190476190476191 ,0.8387096774193549,62.0
Trunk twist (arms outstretched)            ,0.6206896551724138 ,0.4864864864864865 ,0.8571428571428571,189.0
Trunk twist (elbows bent)                  ,0.7506172839506172 ,0.6055776892430279 ,0.987012987012987 ,154.0
Waist bends forward                        ,0.8184281842818427 ,0.719047619047619  ,0.949685534591195 ,159.0
Waist rotation                             ,0.6770833333333333 ,0.5179282868525896 ,0.9774436090225563,133.0
Waist bends (reach foot with opposite hand),0.923076923076923  ,0.8780487804878049 ,0.972972972972973 ,148.0
Reach heels backwards                      ,0.6424242424242425 ,0.5047619047619047 ,0.8833333333333333,120.0
Lateral bend                               ,0.16735028712059064,0.09180918091809182,0.9444444444444444,108.0
Lateral bend with arm up                   ,0.2883597883597884 ,0.16899224806201552,0.9819819819819819,111.0
Repetitive forward stretching              ,0.6592178770949721 ,0.5566037735849056 ,0.8082191780821918,73.0
Upper trunk and lower body opposite twist  ,0.30081300813008127,0.18092909535452323,0.891566265060241 ,83.0
Lateral elevation of arms                  ,0.7465437788018433 ,0.7043478260869566 ,0.7941176470588235,102.0
Frontal elevation of arms                  ,0.6783216783216782 ,0.5480225988700564 ,0.8899082568807339,109.0
Frontal hand claps                         ,0.7733333333333334 ,0.7073170731707317 ,0.8529411764705882,102.0
Frontal crossing of arms                   ,0.7806691449814127 ,0.6774193548387096 ,0.9210526315789473,114.0
Shoulders high-amplitude rotation          ,0.6580086580086579 ,0.5757575757575758 ,0.7676767676767676,99.0
Shoulders low-amplitude rotation           ,0.25000000000000006,0.20192307692307693,0.328125          ,64.0
Arms inner rotation                        ,0.33248081841432225,0.2070063694267516 ,0.8441558441558441,77.0
Knees (alternating) to the breast          ,0.6823529411764706 ,0.6444444444444445 ,0.725             ,40.0
Heels (alternatively) to the backside      ,0.7311827956989247 ,0.6415094339622641 ,0.85              ,40.0
Knees bending (crouching)                  ,0.7541899441340782 ,0.6136363636363636 ,0.9782608695652174,138.0
Knees (alternating) bending forward        ,0.7358916478555305 ,0.5863309352517986 ,0.9878787878787879,165.0
Rotation on the knees                      ,0.6417910447761195 ,0.4858757062146893 ,0.945054945054945 ,91.0
Rowing                                     ,0.9272237196765499 ,0.8730964467005076 ,0.9885057471264368,174.0
Elliptical bike                            ,0.7571189279731992 ,0.6569767441860465 ,0.8932806324110671,253.0
Cycling                                    ,0.9576923076923077 ,0.9467680608365019 ,0.9688715953307393,257.0
accuracy                                   ,0.719109601961894  ,0.719109601961894  ,0.719109601961894 ,0.719109601961894
macro avg                                  ,0.6714155317903236 ,0.5901344912031848 ,0.8640333790307786,15903.0
weighted avg                               ,0.7626576210276341 ,0.887281563375672  ,0.719109601961894 ,15903.0
