                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.658209704006307  ,0.9939393939393939 ,0.4920175720561449,9333.0
Walking                                    ,0.3367088607594937 ,0.20430107526881722,0.9568345323741008,278.0
Jogging                                    ,0.7704918032786884 ,0.7175572519083969 ,0.831858407079646 ,226.0
Running                                    ,0.8541666666666667 ,0.7706766917293233 ,0.9579439252336449,214.0
Jump up                                    ,0.3220338983050847 ,0.25675675675675674,0.4318181818181818,44.0
Jump front and back                        ,0.4971098265895954 ,0.44329896907216493,0.5657894736842105,76.0
Jump sideways                              ,0.32075471698113206,0.5666666666666667 ,0.2236842105263158,76.0
Jump leg/arms open/closed                  ,0.8363636363636364 ,0.8313253012048193 ,0.8414634146341463,82.0
Jump rope                                  ,0.6037735849056604 ,0.5079365079365079 ,0.7441860465116279,43.0
Trunk twist (arms outstretched)            ,0.7016129032258065 ,0.8877551020408163 ,0.58              ,150.0
Trunk twist (elbows bent)                  ,0.5563909774436091 ,0.4065934065934066 ,0.8809523809523809,126.0
Waist bends forward                        ,0.7643312101910829 ,0.6451612903225806 ,0.9375            ,128.0
Waist rotation                             ,0.3920792079207921 ,0.2462686567164179 ,0.9611650485436893,103.0
Waist bends (reach foot with opposite hand),0.8956521739130435 ,0.911504424778761  ,0.8803418803418803,117.0
Reach heels backwards                      ,0.7962085308056871 ,0.75               ,0.8484848484848485,99.0
Lateral bend                               ,0.09815950920245398,0.05170387779083431,0.967032967032967 ,91.0
Lateral bend with arm up                   ,0.3813953488372093 ,0.2411764705882353 ,0.9111111111111111,90.0
Repetitive forward stretching              ,0.7022900763358778 ,0.6133333333333333 ,0.8214285714285714,56.0
Upper trunk and lower body opposite twist  ,0.593939393939394  ,0.4803921568627451 ,0.7777777777777778,63.0
Lateral elevation of arms                  ,0.6622516556291392 ,0.7352941176470589 ,0.6024096385542169,83.0
Frontal elevation of arms                  ,0.442528735632184  ,0.2950191570881226 ,0.8850574712643678,87.0
Frontal hand claps                         ,0.7692307692307692 ,0.7142857142857143 ,0.8333333333333334,84.0
Frontal crossing of arms                   ,0.6813186813186812 ,0.6739130434782609 ,0.6888888888888889,90.0
Shoulders high-amplitude rotation          ,0.6321243523316062 ,0.5350877192982456 ,0.7721518987341772,79.0
Shoulders low-amplitude rotation           ,0.3625730994152047 ,0.2627118644067797 ,0.5849056603773585,53.0
Arms inner rotation                        ,0.3617021276595745 ,0.23394495412844038,0.796875          ,64.0
Knees (alternating) to the breast          ,0.6206896551724138 ,0.72               ,0.5454545454545454,33.0
Heels (alternatively) to the backside      ,0.72               ,0.675              ,0.7714285714285715,35.0
Knees bending (crouching)                  ,0.7152777777777778 ,0.5885714285714285 ,0.911504424778761 ,113.0
Knees (alternating) bending forward        ,0.4921259842519684 ,0.33602150537634407,0.9191176470588235,136.0
Rotation on the knees                      ,0.5738396624472574 ,0.40718562874251496,0.9714285714285714,70.0
Rowing                                     ,0.5136612021857923 ,0.34558823529411764,1.0               ,141.0
Elliptical bike                            ,0.7134502923976608 ,0.5922330097087378 ,0.8970588235294118,204.0
Cycling                                    ,0.976303317535545  ,0.9716981132075472 ,0.9809523809523809,210.0
accuracy                                   ,0.588102818979576  ,0.588102818979576  ,0.588102818979576 ,0.588102818979576
macro avg                                  ,0.5976102747840235 ,0.547438288963038  ,0.7874105060404311,12877.0
weighted avg                               ,0.6484399688629547 ,0.8730962240929656 ,0.588102818979576 ,12877.0
