                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9450766947055912,0.9390979415235348,0.9511320629440276,30122.0
Walking                                    ,0.6454183266932272,0.5837837837837838,0.7216035634743875,898.0
Jogging                                    ,0.7567567567567568,0.7144592952612394,0.8043775649794802,731.0
Running                                    ,0.8224582701062215,0.8589540412044374,0.7889374090247453,687.0
Jump up                                    ,0.4225352112676057,0.4195804195804196,0.425531914893617 ,141.0
Jump front and back                        ,0.5403050108932462,0.5876777251184834,0.5               ,248.0
Jump sideways                              ,0.680161943319838 ,0.6885245901639344,0.672             ,250.0
Jump leg/arms open/closed                  ,0.9018867924528302,0.93359375        ,0.8722627737226277,274.0
Jump rope                                  ,0.6816720257234726,0.6385542168674698,0.7310344827586207,145.0
Trunk twist (arms outstretched)            ,0.9069264069264069,0.9501133786848073,0.8674948240165632,483.0
Trunk twist (elbows bent)                  ,0.8737623762376238,0.8759305210918115,0.8716049382716049,405.0
Waist bends forward                        ,0.8624708624708624,0.8333333333333334,0.893719806763285 ,414.0
Waist rotation                             ,0.906060606060606 ,0.9522292993630573,0.8641618497109826,346.0
Waist bends (reach foot with opposite hand),0.9607329842931938,0.9657894736842105,0.9557291666666666,384.0
Reach heels backwards                      ,0.862015503875969 ,0.8373493975903614,0.8881789137380192,313.0
Lateral bend                               ,0.88              ,0.8516129032258064,0.9103448275862069,290.0
Lateral bend with arm up                   ,0.7950089126559714,0.828996282527881 ,0.7636986301369864,292.0
Repetitive forward stretching              ,0.9447513812154695,0.9395604395604396,0.95              ,180.0
Upper trunk and lower body opposite twist  ,0.6338797814207651,0.7483870967741936,0.5497630331753555,211.0
Lateral elevation of arms                  ,0.680672268907563 ,0.782608695652174 ,0.6022304832713755,269.0
Frontal elevation of arms                  ,0.7536764705882354,0.7884615384615384,0.721830985915493 ,284.0
Frontal hand claps                         ,0.7404426559356138,0.7796610169491526,0.7049808429118773,261.0
Frontal crossing of arms                   ,0.8183421516754851,0.862453531598513 ,0.7785234899328859,298.0
Shoulders high-amplitude rotation          ,0.6958250497017893,0.7028112449799196,0.6889763779527559,254.0
Shoulders low-amplitude rotation           ,0.5444126074498568,0.5277777777777778,0.5621301775147929,169.0
Arms inner rotation                        ,0.6523809523809524,0.6431924882629108,0.6618357487922706,207.0
Knees (alternating) to the breast          ,0.5987261146496815,0.8703703703703703,0.4563106796116505,103.0
Heels (alternatively) to the backside      ,0.7411167512690355,0.8295454545454546,0.6697247706422018,109.0
Knees bending (crouching)                  ,0.7609022556390977,0.8377483443708609,0.696969696969697 ,363.0
Knees (alternating) bending forward        ,0.865979381443299 ,0.8709677419354839,0.8610478359908884,439.0
Rotation on the knees                      ,0.8082474226804124,0.7935222672064778,0.8235294117647058,238.0
Rowing                                     ,0.9142857142857143,0.9183222958057395,0.9102844638949672,457.0
Elliptical bike                            ,0.7866108786610879,0.8752327746741154,0.7142857142857143,658.0
Cycling                                    ,0.8784893267651888,0.981651376146789 ,0.7949479940564635,673.0
accuracy                                   ,0.9025627464179248,0.9025627464179248,0.9025627464179248,0.9025627464179248
macro avg                                  ,0.772411466150255 ,0.8003486708257789,0.7537995422167917,41596.0
weighted avg                               ,0.9020871511789188,0.9037913277376449,0.9025627464179248,41596.0
