                                           ,f1-score           ,precision         ,recall             ,support
No activity                                ,0.9136531365313653 ,0.8954792043399639,0.9325800376647835 ,5310.0
Walking                                    ,0.668693009118541  ,0.6432748538011696,0.6962025316455697 ,158.0
Jogging                                    ,0.7254237288135592 ,0.6484848484848484,0.823076923076923  ,130.0
Running                                    ,0.7654320987654322 ,0.788135593220339 ,0.744              ,125.0
Jump up                                    ,0.30769230769230765,0.375             ,0.2608695652173913 ,23.0
Jump front and back                        ,0.380952380952381  ,0.6               ,0.27906976744186046,43.0
Jump sideways                              ,0.5238095238095238 ,0.5789473684210527,0.4782608695652174 ,46.0
Jump leg/arms open/closed                  ,0.717391304347826  ,0.717391304347826 ,0.717391304347826  ,46.0
Jump rope                                  ,0.44000000000000006,0.4782608695652174,0.4074074074074074 ,27.0
Trunk twist (arms outstretched)            ,0.8461538461538461 ,0.9565217391304348,0.7586206896551724 ,87.0
Trunk twist (elbows bent)                  ,0.7851851851851852 ,0.8412698412698413,0.7361111111111112 ,72.0
Waist bends forward                        ,0.7080745341614907 ,0.6477272727272727,0.7808219178082192 ,73.0
Waist rotation                             ,0.7321428571428573 ,0.7735849056603774,0.6949152542372882 ,59.0
Waist bends (reach foot with opposite hand),0.875              ,0.9180327868852459,0.835820895522388  ,67.0
Reach heels backwards                      ,0.6842105263157895 ,0.6842105263157895,0.6842105263157895 ,57.0
Lateral bend                               ,0.5977011494252874 ,0.7027027027027027,0.52               ,50.0
Lateral bend with arm up                   ,0.6597938144329897 ,0.7272727272727273,0.6037735849056604 ,53.0
Repetitive forward stretching              ,0.6666666666666667 ,0.7307692307692307,0.6129032258064516 ,31.0
Upper trunk and lower body opposite twist  ,0.5573770491803278 ,0.8095238095238095,0.425              ,40.0
Lateral elevation of arms                  ,0.64               ,0.8275862068965517,0.5217391304347826 ,46.0
Frontal elevation of arms                  ,0.5542168674698795 ,0.696969696969697 ,0.46               ,50.0
Frontal hand claps                         ,0.6265060240963856 ,0.6666666666666666,0.5909090909090909 ,44.0
Frontal crossing of arms                   ,0.6875             ,0.7674418604651163,0.6226415094339622 ,53.0
Shoulders high-amplitude rotation          ,0.6153846153846154 ,0.6222222222222222,0.6086956521739131 ,46.0
Shoulders low-amplitude rotation           ,0.37209302325581395,0.5333333333333333,0.2857142857142857 ,28.0
Arms inner rotation                        ,0.4788732394366197 ,0.5151515151515151,0.4473684210526316 ,38.0
Knees (alternating) to the breast          ,0.25               ,0.6               ,0.15789473684210525,19.0
Heels (alternatively) to the backside      ,0.3448275862068965 ,0.625             ,0.23809523809523808,21.0
Knees bending (crouching)                  ,0.6607142857142857 ,0.7872340425531915,0.5692307692307692 ,65.0
Knees (alternating) bending forward        ,0.7246376811594203 ,0.7936507936507936,0.6666666666666666 ,75.0
Rotation on the knees                      ,0.5679012345679013 ,0.5897435897435898,0.5476190476190477 ,42.0
Rowing                                     ,0.8466257668711656 ,0.8846153846153846,0.8117647058823529 ,85.0
Elliptical bike                            ,0.7964601769911505 ,0.8256880733944955,0.7692307692307693 ,117.0
Cycling                                    ,0.9495798319327732 ,0.9741379310344828,0.9262295081967213 ,122.0
accuracy                                   ,0.8575122482308111 ,0.8575122482308111,0.8575122482308111 ,0.8575122482308111
macro avg                                  ,0.6373727485818318 ,0.7125303206216145,0.5945539748003351 ,7348.0
weighted avg                               ,0.8522397484418125 ,0.853163720378636 ,0.8575122482308111 ,7348.0
