                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.7667726673388661 ,0.9819229241160111 ,0.6289604275353098 ,7859.0
Walking                                    ,0.5687830687830687 ,0.4110898661567878 ,0.9227467811158798 ,233.0
Jogging                                    ,0.8199052132701422 ,0.7521739130434782 ,0.9010416666666666 ,192.0
Running                                    ,0.884318766066838  ,0.8229665071770335 ,0.9555555555555556 ,180.0
Jump up                                    ,0.4220183486238532 ,0.3194444444444444 ,0.6216216216216216 ,37.0
Jump front and back                        ,0.6619718309859155 ,0.6103896103896104 ,0.7230769230769231 ,65.0
Jump sideways                              ,0.5087719298245614 ,0.6304347826086957 ,0.4264705882352941 ,68.0
Jump leg/arms open/closed                  ,0.8311688311688312 ,0.7710843373493976 ,0.9014084507042254 ,71.0
Jump rope                                  ,0.6095238095238095 ,0.47761194029850745,0.8421052631578947 ,38.0
Trunk twist (arms outstretched)            ,0.6117647058823529 ,0.48826291079812206,0.8188976377952756 ,127.0
Trunk twist (elbows bent)                  ,0.6298701298701299 ,0.47783251231527096,0.9238095238095239 ,105.0
Waist bends forward                        ,0.749063670411985  ,0.6211180124223602 ,0.9433962264150944 ,106.0
Waist rotation                             ,0.6910569105691058 ,0.5345911949685535 ,0.9770114942528736 ,87.0
Waist bends (reach foot with opposite hand),0.8755760368663594 ,0.8189655172413793 ,0.9405940594059405 ,101.0
Reach heels backwards                      ,0.552              ,0.40828402366863903,0.8518518518518519 ,81.0
Lateral bend                               ,0.15437003405221342,0.08436724565756824,0.9066666666666666 ,75.0
Lateral bend with arm up                   ,0.28125            ,0.1643835616438356 ,0.972972972972973  ,74.0
Repetitive forward stretching              ,0.536231884057971  ,0.4157303370786517 ,0.7551020408163265 ,49.0
Upper trunk and lower body opposite twist  ,0.31343283582089554,0.19718309859154928,0.7636363636363637 ,55.0
Lateral elevation of arms                  ,0.6709677419354839 ,0.6341463414634146 ,0.7123287671232876 ,73.0
Frontal elevation of arms                  ,0.5687203791469194 ,0.43478260869565216,0.821917808219178  ,73.0
Frontal hand claps                         ,0.7499999999999999 ,0.6741573033707865 ,0.8450704225352113 ,71.0
Frontal crossing of arms                   ,0.7570621468926554 ,0.6767676767676768 ,0.8589743589743589 ,78.0
Shoulders high-amplitude rotation          ,0.6405228758169934 ,0.5632183908045977 ,0.7424242424242424 ,66.0
Shoulders low-amplitude rotation           ,0.2352941176470588 ,0.18421052631578946,0.32558139534883723,43.0
Arms inner rotation                        ,0.2953020134228188 ,0.18181818181818182,0.7857142857142857 ,56.0
Knees (alternating) to the breast          ,0.49180327868852464,0.4411764705882353 ,0.5555555555555556 ,27.0
Heels (alternatively) to the backside      ,0.5116279069767441 ,0.39285714285714285,0.7333333333333333 ,30.0
Knees bending (crouching)                  ,0.6206896551724138 ,0.46632124352331605,0.9278350515463918 ,97.0
Knees (alternating) bending forward        ,0.5776566757493188 ,0.41732283464566927,0.9380530973451328 ,113.0
Rotation on the knees                      ,0.6666666666666666 ,0.5178571428571429 ,0.9354838709677419 ,62.0
Rowing                                     ,0.9236641221374046 ,0.8642857142857143 ,0.9918032786885246 ,122.0
Elliptical bike                            ,0.7189189189189189 ,0.6751269035532995 ,0.7687861271676301 ,173.0
Cycling                                    ,0.891566265060241  ,0.9487179487179487 ,0.8409090909090909 ,176.0
accuracy                                   ,0.6909693454846727 ,0.6909693454846727 ,0.6909693454846727 ,0.6909693454846727
macro avg                                  ,0.611420983451443  ,0.531194210889249  ,0.8106087294454429 ,10863.0
weighted avg                               ,0.736827286011753  ,0.8684453438643922 ,0.6909693454846727 ,10863.0
