                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.7530344315085459 ,0.9821236269653242 ,0.6106052490626673,7468.0
Walking                                    ,0.5846153846153846 ,0.4247967479674797 ,0.9372197309417041,223.0
Jogging                                    ,0.8078817733990147 ,0.7256637168141593 ,0.9111111111111111,180.0
Running                                    ,0.9041095890410958 ,0.8461538461538461 ,0.9705882352941176,170.0
Jump up                                    ,0.4036697247706422 ,0.3013698630136986 ,0.6111111111111112,36.0
Jump front and back                        ,0.6617647058823529 ,0.6081081081081081 ,0.7258064516129032,62.0
Jump sideways                              ,0.6238532110091742 ,0.6938775510204082 ,0.5666666666666667,60.0
Jump leg/arms open/closed                  ,0.8                ,0.7466666666666667 ,0.8615384615384616,65.0
Jump rope                                  ,0.54               ,0.4153846153846154 ,0.7714285714285715,35.0
Trunk twist (arms outstretched)            ,0.6068111455108359 ,0.48514851485148514,0.8099173553719008,121.0
Trunk twist (elbows bent)                  ,0.6690391459074734 ,0.5164835164835165 ,0.9494949494949495,99.0
Waist bends forward                        ,0.7352941176470587 ,0.5988023952095808 ,0.9523809523809523,105.0
Waist rotation                             ,0.640625           ,0.47953216374269003,0.9647058823529412,85.0
Waist bends (reach foot with opposite hand),0.8823529411764706 ,0.8181818181818182 ,0.9574468085106383,94.0
Reach heels backwards                      ,0.5526315789473685 ,0.4144736842105263 ,0.8289473684210527,76.0
Lateral bend                               ,0.14332965821389196,0.07784431137724551,0.9027777777777778,72.0
Lateral bend with arm up                   ,0.3212669683257919 ,0.1918918918918919 ,0.9861111111111112,72.0
Repetitive forward stretching              ,0.5565217391304348 ,0.4383561643835616 ,0.7619047619047619,42.0
Upper trunk and lower body opposite twist  ,0.2899628252788104 ,0.17972350230414746,0.75              ,52.0
Lateral elevation of arms                  ,0.6081081081081081 ,0.5421686746987951 ,0.6923076923076923,65.0
Frontal elevation of arms                  ,0.5999999999999999 ,0.47107438016528924,0.8260869565217391,69.0
Frontal hand claps                         ,0.7310344827586207 ,0.6708860759493671 ,0.803030303030303 ,66.0
Frontal crossing of arms                   ,0.7457627118644068 ,0.6470588235294118 ,0.88              ,75.0
Shoulders high-amplitude rotation          ,0.6451612903225806 ,0.5376344086021505 ,0.8064516129032258,62.0
Shoulders low-amplitude rotation           ,0.1320754716981132 ,0.1044776119402985 ,0.1794871794871795,39.0
Arms inner rotation                        ,0.20051413881748073,0.11572700296735905,0.75              ,52.0
Knees (alternating) to the breast          ,0.4242424242424242 ,0.3333333333333333 ,0.5833333333333334,24.0
Heels (alternatively) to the backside      ,0.5373134328358209 ,0.42857142857142855,0.72              ,25.0
Knees bending (crouching)                  ,0.7053571428571429 ,0.5808823529411765 ,0.8977272727272727,88.0
Knees (alternating) bending forward        ,0.5698005698005699 ,0.4098360655737705 ,0.9345794392523364,107.0
Rotation on the knees                      ,0.5934065934065934 ,0.4426229508196721 ,0.9               ,60.0
Rowing                                     ,0.9105691056910568 ,0.8484848484848485 ,0.9824561403508771,114.0
Elliptical bike                            ,0.7130434782608694 ,0.6795580110497238 ,0.75              ,164.0
Cycling                                    ,0.8817891373801917 ,0.9583333333333334 ,0.8165680473372781,169.0
accuracy                                   ,0.677059052059052  ,0.677059052059052  ,0.677059052059052 ,0.677059052059052
macro avg                                  ,0.6022041773061271 ,0.5210362354909037 ,0.8044644274513127,10296.0
weighted avg                               ,0.7262930527220813 ,0.8683333968426648 ,0.677059052059052 ,10296.0
