                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9358361431231442,0.9390970609029391,0.9325977933801404,9970.0
Walking                                    ,0.7783251231527094,0.7645161290322581,0.7926421404682275,299.0
Jogging                                    ,0.864             ,0.8404669260700389,0.8888888888888888,243.0
Running                                    ,0.894273127753304 ,0.8903508771929824,0.8982300884955752,226.0
Jump up                                    ,0.3789473684210526,0.36              ,0.4               ,45.0
Jump front and back                        ,0.7142857142857142,0.7746478873239436,0.6626506024096386,83.0
Jump sideways                              ,0.7469879518072289,0.7294117647058823,0.7654320987654321,81.0
Jump leg/arms open/closed                  ,0.7322404371584699,0.7127659574468085,0.7528089887640449,89.0
Jump rope                                  ,0.6666666666666666,0.6363636363636364,0.7               ,50.0
Trunk twist (arms outstretched)            ,0.8588957055214724,0.8433734939759037,0.875             ,160.0
Trunk twist (elbows bent)                  ,0.8014440433212996,0.7816901408450704,0.8222222222222222,135.0
Waist bends forward                        ,0.8498168498168498,0.8529411764705882,0.8467153284671532,137.0
Waist rotation                             ,0.8416666666666667,0.8211382113821138,0.8632478632478633,117.0
Waist bends (reach foot with opposite hand),0.9062500000000001,0.8992248062015504,0.9133858267716536,127.0
Reach heels backwards                      ,0.8118811881188118,0.8367346938775511,0.7884615384615384,104.0
Lateral bend                               ,0.6774193548387096,0.7078651685393258,0.6494845360824743,97.0
Lateral bend with arm up                   ,0.6458333333333334,0.6458333333333334,0.6458333333333334,96.0
Repetitive forward stretching              ,0.7863247863247863,0.8070175438596491,0.7666666666666667,60.0
Upper trunk and lower body opposite twist  ,0.5954198473282443,0.609375          ,0.582089552238806 ,67.0
Lateral elevation of arms                  ,0.7928994082840236,0.7976190476190477,0.788235294117647 ,85.0
Frontal elevation of arms                  ,0.7715736040609137,0.7450980392156863,0.8               ,95.0
Frontal hand claps                         ,0.7231638418079096,0.7191011235955056,0.7272727272727273,88.0
Frontal crossing of arms                   ,0.7135678391959799,0.7029702970297029,0.7244897959183674,98.0
Shoulders high-amplitude rotation          ,0.7005649717514124,0.6739130434782609,0.7294117647058823,85.0
Shoulders low-amplitude rotation           ,0.5309734513274337,0.5555555555555556,0.5084745762711864,59.0
Arms inner rotation                        ,0.6027397260273972,0.5714285714285714,0.6376811594202898,69.0
Knees (alternating) to the breast          ,0.5245901639344263,0.5517241379310345,0.5               ,32.0
Heels (alternatively) to the backside      ,0.5121951219512195,0.4666666666666667,0.5675675675675675,37.0
Knees bending (crouching)                  ,0.7654320987654321,0.7622950819672131,0.768595041322314 ,121.0
Knees (alternating) bending forward        ,0.7796610169491527,0.7666666666666667,0.7931034482758621,145.0
Rotation on the knees                      ,0.5695364238410596,0.5972222222222222,0.5443037974683544,79.0
Rowing                                     ,0.8844884488448845,0.881578947368421 ,0.8874172185430463,151.0
Elliptical bike                            ,0.8251121076233183,0.8070175438596491,0.8440366972477065,218.0
Cycling                                    ,0.9644444444444444,0.9644444444444444,0.9644444444444444,225.0
accuracy                                   ,0.8933420460320918,0.8933420460320918,0.8933420460320918,0.8933420460320918
macro avg                                  ,0.7396310875425727,0.7357680940168302,0.7450409118011487,13773.0
weighted avg                               ,0.893690594463487 ,0.8943584730028267,0.8933420460320918,13773.0
