                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6542666261767385 ,0.9849142857142857 ,0.489826077071729  ,8797.0
Walking                                    ,0.32592592592592595,0.19803600654664485,0.9201520912547528 ,263.0
Jogging                                    ,0.6709677419354839 ,0.6215139442231076 ,0.7289719626168224 ,214.0
Running                                    ,0.7991631799163181 ,0.6845878136200717 ,0.9597989949748744 ,199.0
Jump up                                    ,0.5172413793103449 ,0.40540540540540543,0.7142857142857143 ,42.0
Jump front and back                        ,0.6709677419354839 ,0.5909090909090909 ,0.7761194029850746 ,67.0
Jump sideways                              ,0.6666666666666666 ,0.6714285714285714 ,0.6619718309859155 ,71.0
Jump leg/arms open/closed                  ,0.885057471264368  ,0.8279569892473119 ,0.9506172839506173 ,81.0
Jump rope                                  ,0.7692307692307692 ,0.7291666666666666 ,0.813953488372093  ,43.0
Trunk twist (arms outstretched)            ,0.6686567164179104 ,0.5714285714285714 ,0.8057553956834532 ,139.0
Trunk twist (elbows bent)                  ,0.41685144124168516,0.2822822822822823 ,0.7966101694915254 ,118.0
Waist bends forward                        ,0.759322033898305  ,0.6363636363636364 ,0.9411764705882353 ,119.0
Waist rotation                             ,0.4241071428571429 ,0.2745664739884393 ,0.9313725490196079 ,102.0
Waist bends (reach foot with opposite hand),0.8655462184873949 ,0.824              ,0.911504424778761  ,113.0
Reach heels backwards                      ,0.25277161862527714,0.15877437325905291,0.6195652173913043 ,92.0
Lateral bend                               ,0.3824451410658308 ,0.26180257510729615,0.7093023255813954 ,86.0
Lateral bend with arm up                   ,0.42342342342342343,0.34306569343065696,0.5529411764705883 ,85.0
Repetitive forward stretching              ,0.47500000000000003,0.35185185185185186,0.7307692307692307 ,52.0
Upper trunk and lower body opposite twist  ,0.5744680851063829 ,0.432              ,0.8571428571428571 ,63.0
Lateral elevation of arms                  ,0.75               ,0.6486486486486487 ,0.8888888888888888 ,81.0
Frontal elevation of arms                  ,0.2678983833718245 ,0.16666666666666666,0.6823529411764706 ,85.0
Frontal hand claps                         ,0.43686006825938567,0.2962962962962963 ,0.8311688311688312 ,77.0
Frontal crossing of arms                   ,0.5019920318725101 ,0.3888888888888889 ,0.7078651685393258 ,89.0
Shoulders high-amplitude rotation          ,0.6010362694300518 ,0.4915254237288136 ,0.7733333333333333 ,75.0
Shoulders low-amplitude rotation           ,0.09195402298850573,0.05351170568561873,0.32653061224489793,49.0
Arms inner rotation                        ,0.12662942271880817,0.07157894736842105,0.5483870967741935 ,62.0
Knees (alternating) to the breast          ,0.6984126984126984 ,0.6470588235294118 ,0.7586206896551724 ,29.0
Heels (alternatively) to the backside      ,0.6388888888888888 ,0.575              ,0.71875            ,32.0
Knees bending (crouching)                  ,0.37142857142857144,0.26859504132231404,0.6018518518518519 ,108.0
Knees (alternating) bending forward        ,0.5810055865921787 ,0.44635193133047213,0.832              ,125.0
Rotation on the knees                      ,0.46530612244897956,0.3202247191011236 ,0.8507462686567164 ,67.0
Rowing                                     ,0.751412429378531  ,0.6018099547511312 ,1.0                ,133.0
Elliptical bike                            ,0.4444444444444445 ,0.2972027972027972 ,0.8808290155440415 ,193.0
Cycling                                    ,0.8296943231441049 ,0.7279693486590039 ,0.9644670050761421 ,197.0
accuracy                                   ,0.5796015805070793 ,0.5796015805070793 ,0.5796015805070793 ,0.5796015805070793
macro avg                                  ,0.551736546672498  ,0.46621715954860443,0.7716949519507181 ,12148.0
weighted avg                               ,0.6291024575933407 ,0.8398080241320236 ,0.5796015805070793 ,12148.0
