                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.5796113194681215 ,0.9792626728110599  ,0.4116222760290557 ,6195.0
Walking                                    ,0.32625482625482627,0.19905771495877503 ,0.9037433155080213 ,187.0
Jogging                                    ,0.5855072463768116 ,0.520618556701031   ,0.6688741721854304 ,151.0
Running                                    ,0.7507163323782235 ,0.6390243902439025  ,0.9097222222222222 ,144.0
Jump up                                    ,0.2962962962962963 ,0.22641509433962265 ,0.42857142857142855,28.0
Jump front and back                        ,0.546875           ,0.45454545454545453 ,0.6862745098039216 ,51.0
Jump sideways                              ,0.6037735849056604 ,0.5517241379310345  ,0.6666666666666666 ,48.0
Jump leg/arms open/closed                  ,0.8387096774193549 ,0.8253968253968254  ,0.8524590163934426 ,61.0
Jump rope                                  ,0.507936507936508  ,0.48484848484848486 ,0.5333333333333333 ,30.0
Trunk twist (arms outstretched)            ,0.6639344262295082 ,0.5664335664335665  ,0.801980198019802  ,101.0
Trunk twist (elbows bent)                  ,0.40993788819875776,0.275               ,0.8048780487804879 ,82.0
Waist bends forward                        ,0.6609442060085837 ,0.5273972602739726  ,0.8850574712643678 ,87.0
Waist rotation                             ,0.4037854889589905 ,0.2570281124497992  ,0.9411764705882353 ,68.0
Waist bends (reach foot with opposite hand),0.8143712574850299 ,0.7727272727272727  ,0.8607594936708861 ,79.0
Reach heels backwards                      ,0.25874125874125875,0.16972477064220184 ,0.5441176470588235 ,68.0
Lateral bend                               ,0.3058823529411765 ,0.20103092783505155 ,0.639344262295082  ,61.0
Lateral bend with arm up                   ,0.32857142857142857,0.2911392405063291  ,0.3770491803278688 ,61.0
Repetitive forward stretching              ,0.3883495145631068 ,0.3125              ,0.5128205128205128 ,39.0
Upper trunk and lower body opposite twist  ,0.5034013605442177 ,0.3523809523809524  ,0.8809523809523809 ,42.0
Lateral elevation of arms                  ,0.7482014388489209 ,0.6190476190476191  ,0.9454545454545454 ,55.0
Frontal elevation of arms                  ,0.21808510638297873,0.12933753943217666 ,0.6949152542372882 ,59.0
Frontal hand claps                         ,0.34328358208955223,0.215962441314554   ,0.8363636363636363 ,55.0
Frontal crossing of arms                   ,0.3416666666666667 ,0.2303370786516854  ,0.6612903225806451 ,62.0
Shoulders high-amplitude rotation          ,0.42622950819672134,0.3                 ,0.7358490566037735 ,53.0
Shoulders low-amplitude rotation           ,0.05384615384615385,0.030973451327433628,0.20588235294117646,34.0
Arms inner rotation                        ,0.10602409638554217,0.05945945945945946 ,0.4888888888888889 ,45.0
Knees (alternating) to the breast          ,0.5283018867924528 ,0.45161290322580644 ,0.6363636363636364 ,22.0
Heels (alternatively) to the backside      ,0.29333333333333333,0.22448979591836735 ,0.4230769230769231 ,26.0
Knees bending (crouching)                  ,0.31578947368421056,0.21226415094339623 ,0.6164383561643836 ,73.0
Knees (alternating) bending forward        ,0.5322580645161291 ,0.41509433962264153 ,0.7415730337078652 ,89.0
Rotation on the knees                      ,0.37948717948717947,0.2534246575342466  ,0.7551020408163265 ,49.0
Rowing                                     ,0.7049808429118773 ,0.5542168674698795  ,0.968421052631579  ,95.0
Elliptical bike                            ,0.39932318104906944,0.25934065934065936 ,0.8676470588235294 ,136.0
Cycling                                    ,0.8238993710691823 ,0.7359550561797753  ,0.9357142857142857 ,140.0
accuracy                                   ,0.5097947761194029 ,0.5097947761194029  ,0.5097947761194029 ,0.5097947761194029
macro avg                                  ,0.4702444076040539 ,0.39111092513214823 ,0.7006583250253074 ,8576.0
weighted avg                               ,0.558594284128924  ,0.8193861000575673  ,0.5097947761194029 ,8576.0
