                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.924252110698821  ,0.910705008312552  ,0.9382083361209608 ,74735.0
Walking                                    ,0.48860234860695373,0.5026054002842255 ,0.4753584229390681 ,2232.0
Jogging                                    ,0.641275465013286  ,0.6904005085823267 ,0.5986769570011026 ,1814.0
Running                                    ,0.7775455359808897 ,0.7914893617021277 ,0.7640845070422535 ,1704.0
Jump up                                    ,0.3829787234042553 ,0.4131147540983607 ,0.35694050991501414,353.0
Jump front and back                        ,0.49964912280701745,0.43896424167694204,0.5798045602605864 ,614.0
Jump sideways                              ,0.6033519553072626 ,0.5943396226415094 ,0.6126418152350082 ,617.0
Jump leg/arms open/closed                  ,0.7745839636913767 ,0.7913446676970634 ,0.7585185185185185 ,675.0
Jump rope                                  ,0.6904109589041095 ,0.6792452830188679 ,0.7019498607242339 ,359.0
Trunk twist (arms outstretched)            ,0.8014059753954306 ,0.8491620111731844 ,0.7587354409317804 ,1202.0
Trunk twist (elbows bent)                  ,0.6376326074818538 ,0.7246192893401016 ,0.5692921236291126 ,1003.0
Waist bends forward                        ,0.6485455412494039 ,0.6361085126286249 ,0.6614785992217899 ,1028.0
Waist rotation                             ,0.5691803278688524 ,0.6497005988023952 ,0.5064177362893816 ,857.0
Waist bends (reach foot with opposite hand),0.7933081489476524 ,0.8175750834260289 ,0.7704402515723271 ,954.0
Reach heels backwards                      ,0.6220735785953179 ,0.6540084388185654 ,0.5931122448979592 ,784.0
Lateral bend                               ,0.6819188191881919 ,0.7264150943396226 ,0.6425591098748261 ,719.0
Lateral bend with arm up                   ,0.5924276169265034 ,0.6363636363636364 ,0.5541666666666667 ,720.0
Repetitive forward stretching              ,0.7482517482517483 ,0.7886977886977887 ,0.7117516629711752 ,451.0
Upper trunk and lower body opposite twist  ,0.35823754789272033,0.35619047619047617,0.3603082851637765 ,519.0
Lateral elevation of arms                  ,0.4672131147540984 ,0.5116696588868941 ,0.4298642533936652 ,663.0
Frontal elevation of arms                  ,0.6381987577639752 ,0.6989795918367347 ,0.5871428571428572 ,700.0
Frontal hand claps                         ,0.550204081632653  ,0.5901926444833625 ,0.5152905198776758 ,654.0
Frontal crossing of arms                   ,0.6636363636363636 ,0.7525773195876289 ,0.5934959349593496 ,738.0
Shoulders high-amplitude rotation          ,0.5429017160686427 ,0.5353846153846153 ,0.5506329113924051 ,632.0
Shoulders low-amplitude rotation           ,0.5710955710955711 ,0.5530474040632054 ,0.5903614457831325 ,415.0
Arms inner rotation                        ,0.5610561056105612 ,0.6472081218274112 ,0.49514563106796117,515.0
Knees (alternating) to the breast          ,0.5970149253731344 ,0.5797101449275363 ,0.6153846153846154 ,260.0
Heels (alternatively) to the backside      ,0.48556876061120546,0.4554140127388535 ,0.52               ,275.0
Knees bending (crouching)                  ,0.5442477876106194 ,0.543046357615894  ,0.5454545454545454 ,902.0
Knees (alternating) bending forward        ,0.5374296841194288 ,0.5040584415584416 ,0.5755329008341057 ,1079.0
Rotation on the knees                      ,0.6912280701754386 ,0.7137681159420289 ,0.6700680272108843 ,588.0
Rowing                                     ,0.8145814581458145 ,0.834870848708487  ,0.7952548330404218 ,1138.0
Elliptical bike                            ,0.5743872972040043 ,0.6561514195583596 ,0.5107427869858809 ,1629.0
Cycling                                    ,0.8104265402843602 ,0.9315175097276265 ,0.7171959257040144 ,1669.0
accuracy                                   ,0.8471079585646869 ,0.8471079585646869 ,0.8471079585646869 ,0.8471079585646869
macro avg                                  ,0.626024186185221  ,0.6517248819012199 ,0.6066474352119723 ,103197.0
weighted avg                               ,0.8443676849894833 ,0.8439254754220825 ,0.8471079585646869 ,103197.0
