                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.9426552858292675 ,0.9455397189275391 ,0.9397883975273419 ,50472.0
Walking                                    ,0.5665188470066519 ,0.4864350309376487 ,0.6781685467816855 ,1507.0
Jogging                                    ,0.7386788533444122 ,0.7521150592216582 ,0.7257142857142858 ,1225.0
Running                                    ,0.8139158576051779 ,0.761544284632854  ,0.8740225890529973 ,1151.0
Jump up                                    ,0.36223506743737954,0.33451957295373663,0.3949579831932773 ,238.0
Jump front and back                        ,0.5662650602409639 ,0.5676328502415459 ,0.5649038461538461 ,416.0
Jump sideways                              ,0.61133069828722   ,0.6884272997032641 ,0.5497630331753555 ,422.0
Jump leg/arms open/closed                  ,0.8893956670467503 ,0.9263657957244655 ,0.8552631578947368 ,456.0
Jump rope                                  ,0.7193675889328064 ,0.6920152091254753 ,0.7489711934156379 ,243.0
Trunk twist (arms outstretched)            ,0.9135959339263023 ,0.9410994764397905 ,0.8876543209876543 ,810.0
Trunk twist (elbows bent)                  ,0.8292682926829268 ,0.8634920634920635 ,0.7976539589442815 ,682.0
Waist bends forward                        ,0.828146143437077  ,0.7836107554417413 ,0.8780487804878049 ,697.0
Waist rotation                             ,0.8898377455166524 ,0.8830508474576271 ,0.8967297762478486 ,581.0
Waist bends (reach foot with opposite hand),0.9310897435897435 ,0.9667221297836939 ,0.8979907264296755 ,647.0
Reach heels backwards                      ,0.7237422771403353 ,0.6788079470198676 ,0.775047258979206  ,529.0
Lateral bend                               ,0.7690631808278868 ,0.8059360730593608 ,0.7354166666666667 ,480.0
Lateral bend with arm up                   ,0.8279569892473118 ,0.8690744920993227 ,0.7905544147843943 ,487.0
Repetitive forward stretching              ,0.8990228013029317 ,0.8961038961038961 ,0.9019607843137255 ,306.0
Upper trunk and lower body opposite twist  ,0.5864406779661016 ,0.729957805907173  ,0.49008498583569404,353.0
Lateral elevation of arms                  ,0.7395833333333333 ,0.890282131661442  ,0.6325167037861915 ,449.0
Frontal elevation of arms                  ,0.7696969696969697 ,0.7412451361867705 ,0.8004201680672269 ,476.0
Frontal hand claps                         ,0.8148148148148149 ,0.8030973451327433 ,0.826879271070615  ,439.0
Frontal crossing of arms                   ,0.86               ,0.8582834331337326 ,0.8617234468937875 ,499.0
Shoulders high-amplitude rotation          ,0.7146118721461188 ,0.7002237136465325 ,0.7296037296037297 ,429.0
Shoulders low-amplitude rotation           ,0.5719360568383659 ,0.568904593639576  ,0.575              ,280.0
Arms inner rotation                        ,0.6732673267326733 ,0.591304347826087  ,0.7816091954022989 ,348.0
Knees (alternating) to the breast          ,0.7194719471947194 ,0.872              ,0.6123595505617978 ,178.0
Heels (alternatively) to the backside      ,0.7083333333333334 ,0.8095238095238095 ,0.6296296296296297 ,189.0
Knees bending (crouching)                  ,0.694663167104112  ,0.7392923649906891 ,0.6551155115511551 ,606.0
Knees (alternating) bending forward        ,0.8235294117647058 ,0.8644578313253012 ,0.7863013698630137 ,730.0
Rotation on the knees                      ,0.8174123337363967 ,0.7806004618937644 ,0.8578680203045685 ,394.0
Rowing                                     ,0.9082628497072218 ,0.9112271540469974 ,0.9053177691309987 ,771.0
Elliptical bike                            ,0.7874502872293416 ,0.7667814113597247 ,0.8092643051771117 ,1101.0
Cycling                                    ,0.9257884972170687 ,0.9708171206225681 ,0.8847517730496454 ,1128.0
accuracy                                   ,0.8948062938366873 ,0.8948062938366873 ,0.8948062938366873 ,0.8948062938366873
macro avg                                  ,0.7628632033005022 ,0.777661504801837  ,0.7567957397258203 ,69719.0
weighted avg                               ,0.8961229984828142 ,0.8996628726455085 ,0.8948062938366873 ,69719.0
