                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8125902943893137 ,0.9900732960120043 ,0.6890665167095116 ,24896.0
Walking                                    ,0.3491517088763216 ,0.21372667068031306,0.9530201342281879 ,745.0
Jogging                                    ,0.7377431906614785 ,0.6970588235294117 ,0.7834710743801653 ,605.0
Running                                    ,0.8153846153846153 ,0.7270233196159122 ,0.9281961471103327 ,571.0
Jump up                                    ,0.55625            ,0.4405940594059406 ,0.7542372881355932 ,118.0
Jump front and back                        ,0.6600496277915632 ,0.6717171717171717 ,0.6487804878048781 ,205.0
Jump sideways                              ,0.5850746268656717 ,0.765625           ,0.47342995169082125,207.0
Jump leg/arms open/closed                  ,0.9220489977728286 ,0.92               ,0.9241071428571429 ,224.0
Jump rope                                  ,0.6920415224913494 ,0.5952380952380952 ,0.8264462809917356 ,121.0
Trunk twist (arms outstretched)            ,0.802937576499388  ,0.7903614457831325 ,0.8159203980099502 ,402.0
Trunk twist (elbows bent)                  ,0.5772532188841202 ,0.4498327759197324 ,0.8053892215568862 ,334.0
Waist bends forward                        ,0.8571428571428571 ,0.7764705882352941 ,0.9565217391304348 ,345.0
Waist rotation                             ,0.562              ,0.3946629213483146 ,0.9756944444444444 ,288.0
Waist bends (reach foot with opposite hand),0.9176090468497577 ,0.9342105263157895 ,0.9015873015873016 ,315.0
Reach heels backwards                      ,0.26973684210526316,0.1626984126984127 ,0.7884615384615384 ,260.0
Lateral bend                               ,0.3800675675675676 ,0.23961661341853036,0.9183673469387755 ,245.0
Lateral bend with arm up                   ,0.6066763425253991 ,0.46238938053097345,0.8818565400843882 ,237.0
Repetitive forward stretching              ,0.7688022284122562 ,0.6571428571428571 ,0.9261744966442953 ,149.0
Upper trunk and lower body opposite twist  ,0.6277372262773723 ,0.5397489539748954 ,0.75               ,172.0
Lateral elevation of arms                  ,0.7841409691629957 ,0.7542372881355932 ,0.8165137614678899 ,218.0
Frontal elevation of arms                  ,0.5422222222222222 ,0.41496598639455784,0.782051282051282  ,234.0
Frontal hand claps                         ,0.7620889748549323 ,0.6588628762541806 ,0.9036697247706422 ,218.0
Frontal crossing of arms                   ,0.7592954990215264 ,0.7238805970149254 ,0.7983539094650206 ,243.0
Shoulders high-amplitude rotation          ,0.7732181425485961 ,0.7075098814229249 ,0.8523809523809524 ,210.0
Shoulders low-amplitude rotation           ,0.3914209115281501 ,0.3080168776371308 ,0.5367647058823529 ,136.0
Arms inner rotation                        ,0.39499304589707923,0.2586520947176685 ,0.8352941176470589 ,170.0
Knees (alternating) to the breast          ,0.8023952095808382 ,0.8271604938271605 ,0.7790697674418605 ,86.0
Heels (alternatively) to the backside      ,0.841025641025641  ,0.8118811881188119 ,0.8723404255319149 ,94.0
Knees bending (crouching)                  ,0.6740157480314961 ,0.6369047619047619 ,0.7157190635451505 ,299.0
Knees (alternating) bending forward        ,0.5666372462488968 ,0.41419354838709677,0.8966480446927374 ,358.0
Rotation on the knees                      ,0.6053882725832013 ,0.43908045977011495,0.9744897959183674 ,196.0
Rowing                                     ,0.8926014319809069 ,0.8148148148148148 ,0.9868073878627969 ,379.0
Elliptical bike                            ,0.6774668630338733 ,0.5644171779141104 ,0.8471454880294659 ,543.0
Cycling                                    ,0.936663693131133  ,0.9325044404973357 ,0.9408602150537635 ,558.0
accuracy                                   ,0.7351153253250342 ,0.7351153253250342 ,0.7351153253250342 ,0.7351153253250342
macro avg                                  ,0.6736432753337828 ,0.608684511716999  ,0.8305540203678717 ,34381.0
weighted avg                               ,0.7747744880897687 ,0.8824559078143088 ,0.7351153253250342 ,34381.0
