                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9950080247344324,0.9956226098912904,0.9943941978606757,186414.0
Walking                                    ,0.9962399283795882,0.9955269278940777,0.9969539509048557,5581.0
Jogging                                    ,0.9915170210421945,0.9909711517286941,0.9920634920634921,4536.0
Running                                    ,0.9896907216494846,0.987146529562982 ,0.9922480620155039,4257.0
Jump up                                    ,0.9630051223676721,0.962457337883959 ,0.9635535307517085,878.0
Jump front and back                        ,0.9814513504718517,0.9785853341985724,0.9843342036553525,1532.0
Jump sideways                              ,0.9779058597502401,0.9719923615531508,0.9838917525773195,1552.0
Jump leg/arms open/closed                  ,0.9825288717796863,0.9810762862211709,0.9839857651245552,1686.0
Jump rope                                  ,0.9766666666666667,0.9788418708240535,0.9745011086474501,902.0
Trunk twist (arms outstretched)            ,0.9936729936729937,0.9940039973351099,0.9933422103861518,3004.0
Trunk twist (elbows bent)                  ,0.99185376515001  ,0.9904761904761905,0.9932351770791882,2513.0
Waist bends forward                        ,0.9875631558492033,0.9864130434782609,0.988715953307393 ,2570.0
Waist rotation                             ,0.9923094849685388,0.9925407925407925,0.9920782851817335,2146.0
Waist bends (reach foot with opposite hand),0.992465466722478 ,0.992465466722478 ,0.992465466722478 ,2389.0
Reach heels backwards                      ,0.9877363311190598,0.989252814738997 ,0.9862244897959184,1960.0
Lateral bend                               ,0.9723756906077348,0.967032967032967 ,0.9777777777777777,1800.0
Lateral bend with arm up                   ,0.9737351396184684,0.9670510708401977,0.9805122494432071,1796.0
Repetitive forward stretching              ,0.9779346866725508,0.9753521126760564,0.9805309734513274,1130.0
Upper trunk and lower body opposite twist  ,0.9869431643625192,0.9869431643625192,0.9869431643625192,1302.0
Lateral elevation of arms                  ,0.9795427196149218,0.9783653846153846,0.980722891566265 ,1660.0
Frontal elevation of arms                  ,0.9849474581084918,0.9841089670828603,0.9857873791927232,1759.0
Frontal hand claps                         ,0.9817518248175182,0.9722891566265061,0.9914004914004914,1628.0
Frontal crossing of arms                   ,0.9792732166890983,0.976906552094522 ,0.981651376146789 ,1853.0
Shoulders high-amplitude rotation          ,0.9801949072618673,0.9725514660012476,0.9879594423320659,1578.0
Shoulders low-amplitude rotation           ,0.9720885466794996,0.9711538461538461,0.9730250481695568,1038.0
Arms inner rotation                        ,0.9755339805825243,0.9728892331525949,0.9781931464174455,1284.0
Knees (alternating) to the breast          ,0.9583975346687211,0.9613601236476044,0.9554531490015361,651.0
Heels (alternatively) to the backside      ,0.9628008752735229,0.9635036496350365,0.9620991253644315,686.0
Knees bending (crouching)                  ,0.9844444444444445,0.9826974267968057,0.9861976847729297,2246.0
Knees (alternating) bending forward        ,0.9934956327820108,0.9947897283215482,0.9922048997772829,2694.0
Rotation on the knees                      ,0.9819543752128022,0.9789545145960624,0.9849726775956285,1464.0
Rowing                                     ,0.9910479199578726,0.9901788846018941,0.9919184820801125,2846.0
Elliptical bike                            ,0.9954584509635449,0.9946038753985774,0.9963144963144963,4070.0
Cycling                                    ,0.9955757503288293,0.9942679722951995,0.9968869731800766,4176.0
accuracy                                   ,0.9927634414028985,0.9927634414028985,0.9927634414028985,0.9927634414028985
macro avg                                  ,0.9831503259697366,0.9815403767935649,0.9847805610123658,257581.0
weighted avg                               ,0.9927691303356735,0.9927798914909456,0.9927634414028985,257581.0
