                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6289299513581303 ,0.9744260748461296 ,0.4643044450866433 ,186858.0
Walking                                    ,0.25501510054754833,0.1477550788140898 ,0.9304784088872962 ,5581.0
Jogging                                    ,0.5663926534844108 ,0.4264525482324077 ,0.8430335097001763 ,4536.0
Running                                    ,0.8138518177634606 ,0.7975197294250281 ,0.8308668076109936 ,4257.0
Jump up                                    ,0.4586433260393873 ,0.3724235963041933 ,0.5968109339407744 ,878.0
Jump front and back                        ,0.2850701402805611 ,0.23130081300813007,0.3714099216710183 ,1532.0
Jump sideways                              ,0.3922558922558923 ,0.3474155069582505 ,0.45038659793814434,1552.0
Jump leg/arms open/closed                  ,0.8894486425972571 ,0.8420773714891362 ,0.9424673784104389 ,1686.0
Jump rope                                  ,0.39119035133717883,0.25618131868131866,0.8270509977827051 ,902.0
Trunk twist (arms outstretched)            ,0.5926021394509602 ,0.48349106203995795,0.7653129161118508 ,3004.0
Trunk twist (elbows bent)                  ,0.29554360098293153,0.17737563775510204,0.8853959411062475 ,2513.0
Waist bends forward                        ,0.28649056603773587,0.23403205918618988,0.3692607003891051 ,2570.0
Waist rotation                             ,0.3740479548660085 ,0.2343032159264931 ,0.9268406337371855 ,2146.0
Waist bends (reach foot with opposite hand),0.7566702241195303 ,0.657902876585215  ,0.8903306822938468 ,2389.0
Reach heels backwards                      ,0.6596810933940774 ,0.5958847736625514 ,0.7387755102040816 ,1960.0
Lateral bend                               ,0.185565858563289  ,0.10315488759160353,0.9227777777777778 ,1800.0
Lateral bend with arm up                   ,0.4421858500527983 ,0.2897923875432526 ,0.9326280623608018 ,1796.0
Repetitive forward stretching              ,0.5970945745627038 ,0.44895229603209985,0.8911504424778761 ,1130.0
Upper trunk and lower body opposite twist  ,0.6689075630252102 ,0.5947399880454274 ,0.7642089093701997 ,1302.0
Lateral elevation of arms                  ,0.4664237376366476 ,0.4106324472960587 ,0.5397590361445783 ,1660.0
Frontal elevation of arms                  ,0.4129380053908356 ,0.3018917498686285 ,0.6532120523024446 ,1759.0
Frontal hand claps                         ,0.5659891947517366 ,0.4869411243913236 ,0.6756756756756757 ,1628.0
Frontal crossing of arms                   ,0.5748735900427848 ,0.44937671024627546,0.7976254722072316 ,1853.0
Shoulders high-amplitude rotation          ,0.24758166269451845,0.15895589558955894,0.5595690747782003 ,1578.0
Shoulders low-amplitude rotation           ,0.32232871849485273,0.25519955030916247,0.4373795761078998 ,1038.0
Arms inner rotation                        ,0.5406758448060075 ,0.3983769826632239 ,0.8411214953271028 ,1284.0
Knees (alternating) to the breast          ,0.5937859608745686 ,0.47470101195952163,0.7926267281105991 ,651.0
Heels (alternatively) to the backside      ,0.713775874375446  ,0.6993006993006993 ,0.7288629737609329 ,686.0
Knees bending (crouching)                  ,0.4825436408977556 ,0.4524551831644583 ,0.5169189670525378 ,2246.0
Knees (alternating) bending forward        ,0.612566560170394  ,0.7186406796601699 ,0.5337787676317743 ,2694.0
Rotation on the knees                      ,0.8034236804564908 ,0.6898579127878491 ,0.9617486338797814 ,1464.0
Rowing                                     ,0.5655946911689638 ,0.39861850625989353,0.9732958538299368 ,2846.0
Elliptical bike                            ,0.6837751457040797 ,0.5537454323995128 ,0.8936117936117937 ,4070.0
Cycling                                    ,0.847156787553413  ,0.7808523530599879 ,0.9257662835249042 ,4176.0
accuracy                                   ,0.5509194845460711 ,0.5509194845460711 ,0.5509194845460711 ,0.5509194845460711
macro avg                                  ,0.5286182469334577 ,0.45425669003185004,0.740424792964781  ,258025.0
weighted avg                               ,0.6035778797880015 ,0.8297643952539177 ,0.5509194845460711 ,258025.0
