                                           ,f1-score            ,precision          ,recall             ,support
No activity                                ,0.3137062243656195  ,0.9897332347420511 ,0.1863926559119052 ,186708.0
Walking                                    ,0.21352156170729017 ,0.12174875484228002,0.8672280953234187 ,5581.0
Jogging                                    ,0.5141644096332626  ,0.38487671232876713,0.7742504409171076 ,4536.0
Running                                    ,0.8317779373055755  ,0.847598146793465  ,0.8165374677002584 ,4257.0
Jump up                                    ,0.2799899824693213  ,0.17945425361155698,0.6366742596810934 ,878.0
Jump front and back                        ,0.3161337209302325  ,0.35655737704918034,0.2839425587467363 ,1532.0
Jump sideways                              ,0.08617499339148824 ,0.07306140744060959,0.10502577319587629,1552.0
Jump leg/arms open/closed                  ,0.8660287081339714  ,0.873341375150784  ,0.8588374851720048 ,1686.0
Jump rope                                  ,0.18551495016611297 ,0.10539030650762495,0.7738359201773836 ,902.0
Trunk twist (arms outstretched)            ,0.657074340527578   ,0.822              ,0.5472703062583223 ,3004.0
Trunk twist (elbows bent)                  ,0.43398666799323454 ,0.2893340408596445 ,0.8678869876641464 ,2513.0
Waist bends forward                        ,0.6054431669334887  ,0.48360846314810507,0.8093385214007782 ,2570.0
Waist rotation                             ,0.40345094998061265 ,0.2547123623011016 ,0.9697110904007455 ,2146.0
Waist bends (reach foot with opposite hand),0.8772736776081956  ,0.8763575605680869 ,0.8781917120133947 ,2389.0
Reach heels backwards                      ,0.6768459434822243  ,0.6116144975288303 ,0.7576530612244898 ,1960.0
Lateral bend                               ,0.21212121212121213 ,0.11922493449179423,0.9605555555555556 ,1800.0
Lateral bend with arm up                   ,0.5383619892771306  ,0.4029892056462773 ,0.8106904231625836 ,1796.0
Repetitive forward stretching              ,0.7139874739039666  ,0.588302752293578  ,0.9079646017699115 ,1130.0
Upper trunk and lower body opposite twist  ,0.2211339235260878  ,0.14649363613676067,0.4508448540706605 ,1302.0
Lateral elevation of arms                  ,0.6111303145523678  ,0.7169505271695052 ,0.5325301204819277 ,1660.0
Frontal elevation of arms                  ,0.309469442578912   ,0.202602884277172  ,0.6549175667993178 ,1759.0
Frontal hand claps                         ,0.6686792452830189  ,0.5662547933532168 ,0.8163390663390664 ,1628.0
Frontal crossing of arms                   ,0.5327868852459016  ,0.44376572044556234,0.6664867781975176 ,1853.0
Shoulders high-amplitude rotation          ,0.5353829843625763  ,0.4601366742596811 ,0.6400506970849176 ,1578.0
Shoulders low-amplitude rotation           ,0.1937765205091938  ,0.12827715355805244,0.3959537572254335 ,1038.0
Arms inner rotation                        ,0.4376776289078359  ,0.2959912136188907 ,0.839563862928349  ,1284.0
Knees (alternating) to the breast          ,0.053691275167785234,0.03067484662576687,0.21505376344086022,651.0
Heels (alternatively) to the backside      ,0.69                ,0.6764705882352942 ,0.7040816326530612 ,686.0
Knees bending (crouching)                  ,0.49565756823821344 ,0.3802950975725845 ,0.711487088156723  ,2246.0
Knees (alternating) bending forward        ,0.6147731944634781  ,0.48729089724092983,0.8325909428359317 ,2694.0
Rotation on the knees                      ,0.5992492824022964  ,0.4427406199021207 ,0.9269125683060109 ,1464.0
Rowing                                     ,0.323556161891769   ,0.19300149193001492,1.0                ,2846.0
Elliptical bike                            ,0.46973458086690856 ,0.3169830770552358 ,0.9066339066339066 ,4070.0
Cycling                                    ,0.17786922725194332 ,0.09832170660196138,0.9315134099616859 ,4176.0
accuracy                                   ,0.34762966553562774 ,0.34762966553562774,0.34762966553562774,0.34762966553562774
macro avg                                  ,0.4605919454464354  ,0.4107693033319555 ,0.7069690273938553 ,257875.0
weighted avg                               ,0.3585180967779517  ,0.8273797498980622 ,0.34762966553562774,257875.0
