                                           ,f1-score           ,precision          ,recall              ,support
No activity                                ,0.8779356245692359 ,0.8437218866469606 ,0.9150414392777879  ,186538.0
Walking                                    ,0.29059278350515466,0.3626373626373626 ,0.24242967210177388 ,5581.0
Jogging                                    ,0.599476439790576  ,0.551704966641957  ,0.656305114638448   ,4536.0
Running                                    ,0.6613135186960691 ,0.6750672865182286 ,0.6481089969462063  ,4257.0
Jump up                                    ,0.20467466835123185,0.2297872340425532 ,0.1845102505694761  ,878.0
Jump front and back                        ,0.23990208078335373,0.31991294885745375,0.1919060052219321  ,1532.0
Jump sideways                              ,0.0885368126747437 ,0.15993265993265993,0.061211340206185565,1552.0
Jump leg/arms open/closed                  ,0.7313054499366287 ,0.7850340136054422 ,0.6844602609727165  ,1686.0
Jump rope                                  ,0.3021316033364226 ,0.25955414012738853,0.3614190687361419  ,902.0
Trunk twist (arms outstretched)            ,0.6089150546677881 ,0.8264840182648402 ,0.48202396804260983 ,3004.0
Trunk twist (elbows bent)                  ,0.6218407248450167 ,0.7757287328970851 ,0.5189017111022682  ,2513.0
Waist bends forward                        ,0.3203485392106612 ,0.4692192192192192 ,0.24319066147859922 ,2570.0
Waist rotation                             ,0.4485087225661227 ,0.5660511363636364 ,0.37138863000931965 ,2146.0
Waist bends (reach foot with opposite hand),0.7074552458644912 ,0.7712450592885376 ,0.6534114692339891  ,2389.0
Reach heels backwards                      ,0.7451392538097741 ,0.7681473456121344 ,0.7234693877551021  ,1960.0
Lateral bend                               ,0.3349228611500701 ,0.33824362606232294,0.33166666666666667 ,1800.0
Lateral bend with arm up                   ,0.4886031560490941 ,0.5141451414514145 ,0.46547884187082406 ,1796.0
Repetitive forward stretching              ,0.36640592836558256,0.34257120862201695,0.3938053097345133  ,1130.0
Upper trunk and lower body opposite twist  ,0.27282976324689967,0.5127118644067796 ,0.1858678955453149  ,1302.0
Lateral elevation of arms                  ,0.6078957454963587 ,0.8356164383561644 ,0.47771084337349395 ,1660.0
Frontal elevation of arms                  ,0.20601851851851852,0.3205282112845138 ,0.15179079022171688 ,1759.0
Frontal hand claps                         ,0.3117178612059158 ,0.40733399405351833,0.2524570024570025  ,1628.0
Frontal crossing of arms                   ,0.358877325764743  ,0.4317147192716237 ,0.30706961683756073 ,1853.0
Shoulders high-amplitude rotation          ,0.4041518001946156 ,0.413953488372093  ,0.39480354879594426 ,1578.0
Shoulders low-amplitude rotation           ,0.22628458498023718,0.23225152129817445,0.220616570327553   ,1038.0
Arms inner rotation                        ,0.20621341737955876,0.24439701173959444,0.17834890965732086 ,1284.0
Knees (alternating) to the breast          ,0.03904923599320882,0.04364326375711575,0.03533026113671275 ,651.0
Heels (alternatively) to the backside      ,0.3114893617021277 ,0.37423312883435583,0.26676384839650147 ,686.0
Knees bending (crouching)                  ,0.5345377258235919 ,0.6627140974967062 ,0.4479073909171861  ,2246.0
Knees (alternating) bending forward        ,0.4545994065281899 ,0.4866581956797967 ,0.4265033407572383  ,2694.0
Rotation on the knees                      ,0.580457916801032  ,0.5497861942577886 ,0.6147540983606558  ,1464.0
Rowing                                     ,0.737645487502385  ,0.807098121085595  ,0.6791988756148981  ,2846.0
Elliptical bike                            ,0.6060881417537483 ,0.7899723647848401 ,0.49164619164619167 ,4070.0
Cycling                                    ,0.5438669438669438 ,0.6456071076011846 ,0.4698275862068966  ,4176.0
accuracy                                   ,0.7813624105081391 ,0.7813624105081391 ,0.7813624105081391  ,0.7813624105081391
macro avg                                  ,0.4423450501450027 ,0.5093355208550311 ,0.4038036930828456  ,257705.0
weighted avg                               ,0.767255130893106  ,0.7636321570039728 ,0.7813624105081391  ,257705.0
