                                           ,f1-score            ,precision           ,recall             ,support
No activity                                ,0.8741348701983688  ,0.8402540423700728  ,0.9108627928299884 ,186499.0
Walking                                    ,0.2966210436270316  ,0.3678069477592151  ,0.24852177029206235,5581.0
Jogging                                    ,0.5994941831057157  ,0.5539353150121518  ,0.6532186948853616 ,4536.0
Running                                    ,0.6535602972908175  ,0.6673194614443084  ,0.6403570589617101 ,4257.0
Jump up                                    ,0.1945137157107232  ,0.21487603305785125 ,0.1776765375854214 ,878.0
Jump front and back                        ,0.2024793388429752  ,0.2759009009009009  ,0.15992167101827676,1532.0
Jump sideways                              ,0.0732738374823861  ,0.13518197573656845 ,0.05025773195876289,1552.0
Jump leg/arms open/closed                  ,0.7289836888331243  ,0.7736351531291611  ,0.6892052194543298 ,1686.0
Jump rope                                  ,0.26702997275204354 ,0.22615384615384615 ,0.3259423503325942 ,902.0
Trunk twist (arms outstretched)            ,0.592017259978425   ,0.8412017167381974  ,0.4567243675099867 ,3004.0
Trunk twist (elbows bent)                  ,0.5743489900219031  ,0.7393483709273183  ,0.469558296856347  ,2513.0
Waist bends forward                        ,0.24993295789755968 ,0.40207075064710956 ,0.18132295719844357,2570.0
Waist rotation                             ,0.45746799431009955 ,0.587289992695398   ,0.3746505125815471 ,2146.0
Waist bends (reach foot with opposite hand),0.6799158288519991  ,0.7701271186440678  ,0.6086228547509418 ,2389.0
Reach heels backwards                      ,0.7169714138552665  ,0.7238689547581904  ,0.710204081632653  ,1960.0
Lateral bend                               ,0.31548811909533353 ,0.325457767277023   ,0.3061111111111111 ,1800.0
Lateral bend with arm up                   ,0.4931350114416476  ,0.5070588235294118  ,0.4799554565701559 ,1796.0
Repetitive forward stretching              ,0.33816425120772947 ,0.310192023633678   ,0.37168141592920356,1130.0
Upper trunk and lower body opposite twist  ,0.27875354107648725 ,0.531317494600432   ,0.1889400921658986 ,1302.0
Lateral elevation of arms                  ,0.60790273556231    ,0.823045267489712   ,0.4819277108433735 ,1660.0
Frontal elevation of arms                  ,0.18952234206471497 ,0.2939068100358423  ,0.13985218874360433,1759.0
Frontal hand claps                         ,0.2560740455071346  ,0.34404145077720205 ,0.20393120393120392,1628.0
Frontal crossing of arms                   ,0.36918238993710695 ,0.4423511680482291  ,0.3167835941716136 ,1853.0
Shoulders high-amplitude rotation          ,0.3179692718770875  ,0.3361581920903955  ,0.30164765525982257,1578.0
Shoulders low-amplitude rotation           ,0.1789577187807276  ,0.1827309236947791  ,0.17533718689788053,1038.0
Arms inner rotation                        ,0.19307988039299445 ,0.21381267738883633 ,0.17601246105919002,1284.0
Knees (alternating) to the breast          ,0.035058430717863104,0.038391224862888484,0.03225806451612903,651.0
Heels (alternatively) to the backside      ,0.31561181434599156 ,0.374749498997996   ,0.2725947521865889 ,686.0
Knees bending (crouching)                  ,0.5030383091149273  ,0.6185834957764782  ,0.4238646482635797 ,2246.0
Knees (alternating) bending forward        ,0.4713526284701713  ,0.5018867924528302  ,0.4443207126948775 ,2694.0
Rotation on the knees                      ,0.544363751184086   ,0.5061655901350558  ,0.5887978142076503 ,1464.0
Rowing                                     ,0.7073546399691952  ,0.7823679727427598  ,0.6454673225579761 ,2846.0
Elliptical bike                            ,0.5934500282326369  ,0.6974120769741208  ,0.5164619164619164 ,4070.0
Cycling                                    ,0.5473773265651438  ,0.6656378600823045  ,0.46479885057471265,4176.0
accuracy                                   ,0.7745725085964     ,0.7745725085964     ,0.7745725085964    ,0.7745725085964
macro avg                                  ,0.4240171067147567  ,0.4886540497224804  ,0.3878762075292621 ,257666.0
weighted avg                               ,0.7600926023413742  ,0.7559599702957543  ,0.7745725085964    ,257666.0
