                                           ,f1-score            ,precision          ,recall              ,support
No activity                                ,0.8656475103504029  ,0.8346008077970846 ,0.8990932989967273  ,186390.0
Walking                                    ,0.2750161394448031  ,0.3441960678696472 ,0.22899122021143165 ,5581.0
Jogging                                    ,0.5917460317460317  ,0.568986568986569  ,0.6164021164021164  ,4536.0
Running                                    ,0.6521082587989314  ,0.6449908088235294 ,0.6593845431054733  ,4257.0
Jump up                                    ,0.15767634854771787 ,0.16440049443757726,0.15148063781321183 ,878.0
Jump front and back                        ,0.20564686051411712 ,0.2901307966706302 ,0.15926892950391644 ,1532.0
Jump sideways                              ,0.05760151085930122 ,0.10777385159010601,0.039304123711340205,1552.0
Jump leg/arms open/closed                  ,0.6749363867684479  ,0.7277091906721537 ,0.6293001186239621  ,1686.0
Jump rope                                  ,0.2628236443575965  ,0.2349344978165939 ,0.2982261640798226  ,902.0
Trunk twist (arms outstretched)            ,0.5914413455397062  ,0.8204370939161252 ,0.46238348868175766 ,3004.0
Trunk twist (elbows bent)                  ,0.5475899192561782  ,0.7109275730622617 ,0.44528452049343414 ,2513.0
Waist bends forward                        ,0.3023074928701063  ,0.452991452991453  ,0.22684824902723735 ,2570.0
Waist rotation                             ,0.4100739118532713  ,0.49701393497013935,0.3490214352283318  ,2146.0
Waist bends (reach foot with opposite hand),0.6486873508353221  ,0.7545807884508606 ,0.5688572624529091  ,2389.0
Reach heels backwards                      ,0.6778054862842894  ,0.6629268292682927 ,0.6933673469387756  ,1960.0
Lateral bend                               ,0.30041493775933614 ,0.2991735537190083 ,0.3016666666666667  ,1800.0
Lateral bend with arm up                   ,0.44801352493660185 ,0.4535082715345123 ,0.44265033407572385 ,1796.0
Repetitive forward stretching              ,0.30107526881720437 ,0.26594301221166894,0.34690265486725663 ,1130.0
Upper trunk and lower body opposite twist  ,0.2231030577576444  ,0.4245689655172414 ,0.15130568356374807 ,1302.0
Lateral elevation of arms                  ,0.5894324853228963  ,0.841340782122905  ,0.4536144578313253  ,1660.0
Frontal elevation of arms                  ,0.216988416988417   ,0.3381468110709988 ,0.15974985787379192 ,1759.0
Frontal hand claps                         ,0.24687500000000004 ,0.33905579399141633,0.1941031941031941  ,1628.0
Frontal crossing of arms                   ,0.3351920693928129  ,0.39345454545454545,0.291958985429034   ,1853.0
Shoulders high-amplitude rotation          ,0.3109517601043025  ,0.3201342281879195 ,0.30228136882129275 ,1578.0
Shoulders low-amplitude rotation           ,0.17233560090702948 ,0.16281062553556128,0.18304431599229287 ,1038.0
Arms inner rotation                        ,0.17812118747458316 ,0.18638297872340426,0.1705607476635514  ,1284.0
Knees (alternating) to the breast          ,0.026825633383010434,0.02604920405209841,0.027649769585253458,651.0
Heels (alternatively) to the backside      ,0.25556471558120364 ,0.29411764705882354,0.2259475218658892  ,686.0
Knees bending (crouching)                  ,0.44157894736842107 ,0.5398970398970399 ,0.37355298308103296 ,2246.0
Knees (alternating) bending forward        ,0.41171684296175753 ,0.45544554455445546,0.37564959168522644 ,2694.0
Rotation on the knees                      ,0.46120286693674034 ,0.42406876790830944,0.505464480874317   ,1464.0
Rowing                                     ,0.6999059266227657  ,0.7533414337788579 ,0.6535488404778637  ,2846.0
Elliptical bike                            ,0.5889784946236559  ,0.6501483679525223 ,0.5383292383292383  ,4070.0
Cycling                                    ,0.5664057135008927  ,0.6640901771336554 ,0.49377394636015326 ,4176.0
accuracy                                   ,0.7624331701332132  ,0.7624331701332132 ,0.7624331701332132  ,0.7624331701332132
macro avg                                  ,0.40281737201369117 ,0.46024348552141076,0.3711461204240382  ,257557.0
weighted avg                               ,0.749075983106076   ,0.744776918367045  ,0.7624331701332132  ,257557.0
