                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6721512607962741 ,0.9575085408724068 ,0.5178278798264875 ,186730.0
Walking                                    ,0.40470608665451074,0.2670601042800665 ,0.8351549901451353 ,5581.0
Jogging                                    ,0.6592286743389264 ,0.5479772162991091 ,0.8271604938271605 ,4536.0
Running                                    ,0.9089473090375719 ,0.8745115067303517 ,0.9462062485318299 ,4257.0
Jump up                                    ,0.19244118781334363,0.11583101207056638,0.5683371298405467 ,878.0
Jump front and back                        ,0.3468426013195099 ,0.2713864306784661 ,0.4804177545691906 ,1532.0
Jump sideways                              ,0.21705900336288594,0.2065154159394997 ,0.22873711340206185,1552.0
Jump leg/arms open/closed                  ,0.894420600858369  ,0.8640132669983416 ,0.9270462633451957 ,1686.0
Jump rope                                  ,0.2967768092438678 ,0.1815926569089556 ,0.811529933481153  ,902.0
Trunk twist (arms outstretched)            ,0.6689984101748807 ,0.6402921485088253 ,0.7003994673768309 ,3004.0
Trunk twist (elbows bent)                  ,0.43772455089820356,0.29212734780871186,0.8726621567847195 ,2513.0
Waist bends forward                        ,0.6433074329277232 ,0.5161138555633968 ,0.8536964980544747 ,2570.0
Waist rotation                             ,0.47845804988662133,0.3161522325442014 ,0.983224603914259  ,2146.0
Waist bends (reach foot with opposite hand),0.8217136774880256 ,0.7130541871921182 ,0.9694432817078276 ,2389.0
Reach heels backwards                      ,0.6717462932454695 ,0.5631906077348067 ,0.8321428571428572 ,1960.0
Lateral bend                               ,0.12229757578028401,0.06557113584314356,0.9066666666666666 ,1800.0
Lateral bend with arm up                   ,0.26907405927938005,0.15707489972950284,0.9376391982182628 ,1796.0
Repetitive forward stretching              ,0.6129032258064516 ,0.5150602409638554 ,0.7566371681415929 ,1130.0
Upper trunk and lower body opposite twist  ,0.38220244716351504,0.26902599436266833,0.6597542242703534 ,1302.0
Lateral elevation of arms                  ,0.5317414094350611 ,0.5146561443066516 ,0.55               ,1660.0
Frontal elevation of arms                  ,0.4609069585613761 ,0.3512064343163539 ,0.6702671972711768 ,1759.0
Frontal hand claps                         ,0.691330132730867  ,0.639832723470988  ,0.7518427518427518 ,1628.0
Frontal crossing of arms                   ,0.5027203482045701 ,0.4212253829321663 ,0.6233135456017269 ,1853.0
Shoulders high-amplitude rotation          ,0.3905831995719636 ,0.2717795979151154 ,0.6939163498098859 ,1578.0
Shoulders low-amplitude rotation           ,0.2331575864089045 ,0.1675084175084175 ,0.3834296724470135 ,1038.0
Arms inner rotation                        ,0.5034013605442176 ,0.36018798254447804,0.8356697819314641 ,1284.0
Knees (alternating) to the breast          ,0.2173089071383449 ,0.136779324055666  ,0.5284178187403994 ,651.0
Heels (alternatively) to the backside      ,0.5397489539748954 ,0.42088091353996737,0.7521865889212828 ,686.0
Knees bending (crouching)                  ,0.5946564885496184 ,0.520374081496326  ,0.6936776491540516 ,2246.0
Knees (alternating) bending forward        ,0.5175925925925926 ,0.3760511268079381 ,0.829992576095026  ,2694.0
Rotation on the knees                      ,0.8030480656506447 ,0.7032854209445585 ,0.9357923497267759 ,1464.0
Rowing                                     ,0.8037649743297204 ,0.6764282285165627 ,0.9901616303583978 ,2846.0
Elliptical bike                            ,0.7389138622281619 ,0.7308339341504446 ,0.7471744471744471 ,4070.0
Cycling                                    ,0.7541946308724832 ,0.90625            ,0.6458333333333334 ,4176.0
accuracy                                   ,0.5902162491227118 ,0.5902162491227118 ,0.5902162491227118 ,0.5902162491227118
macro avg                                  ,0.5289431978490952 ,0.456804073927489  ,0.7425399888721865 ,257897.0
weighted avg                               ,0.6456919967884986 ,0.8312930185540611 ,0.5902162491227118 ,257897.0
