                                           ,f1-score            ,precision           ,recall              ,support
No activity                                ,0.273460302213027   ,0.9856843226687086  ,0.15875152145587912 ,186499.0
Walking                                    ,0.22288713644546998 ,0.12981450850661624 ,0.7874932807740548  ,5581.0
Jogging                                    ,0.42912595368759204 ,0.3080914856813377  ,0.7067901234567902  ,4536.0
Running                                    ,0.7760028399006035  ,0.7818311874105865  ,0.7702607470049331  ,4257.0
Jump up                                    ,0.1816883812243441  ,0.10772486772486772 ,0.5797266514806378  ,878.0
Jump front and back                        ,0.22670025188916876 ,0.3176470588235294  ,0.1762402088772846  ,1532.0
Jump sideways                              ,0.022716049382716052,0.018414731785428344,0.029639175257731958,1552.0
Jump leg/arms open/closed                  ,0.7219719056453751  ,0.6526114039290848  ,0.8078291814946619  ,1686.0
Jump rope                                  ,0.15705169944003125 ,0.08897742363877822 ,0.6685144124168514  ,902.0
Trunk twist (arms outstretched)            ,0.5486542443064182  ,0.7256297918948521  ,0.44107856191744343 ,3004.0
Trunk twist (elbows bent)                  ,0.37590641013245674 ,0.2482758620689655  ,0.7735773975328293  ,2513.0
Waist bends forward                        ,0.5471592499300307  ,0.427229020979021   ,0.7607003891050583  ,2570.0
Waist rotation                             ,0.4056057682542906  ,0.2593169718218413  ,0.9305684995340168  ,2146.0
Waist bends (reach foot with opposite hand),0.8558461205964989  ,0.8847184986595175  ,0.8287986605274174  ,2389.0
Reach heels backwards                      ,0.6144446868863189  ,0.5367899351887152  ,0.7183673469387755  ,1960.0
Lateral bend                               ,0.19871489766777728 ,0.11127398720682302 ,0.9277777777777778  ,1800.0
Lateral bend with arm up                   ,0.418943533697632   ,0.27991012918929037 ,0.8324053452115813  ,1796.0
Repetitive forward stretching              ,0.5811554332874829  ,0.4752530933633296  ,0.7477876106194691  ,1130.0
Upper trunk and lower body opposite twist  ,0.17341945586220395 ,0.1163645915418965  ,0.3402457757296467  ,1302.0
Lateral elevation of arms                  ,0.5195861049519586  ,0.6720841300191205  ,0.4234939759036145  ,1660.0
Frontal elevation of arms                  ,0.2886153846153846  ,0.19784855515713984 ,0.5332575326890279  ,1759.0
Frontal hand claps                         ,0.5740181268882176  ,0.4863481228668942  ,0.7002457002457002  ,1628.0
Frontal crossing of arms                   ,0.48947585637639285 ,0.39625793518209157 ,0.6400431732325957  ,1853.0
Shoulders high-amplitude rotation          ,0.48729184925503943 ,0.45203252032520325 ,0.5285171102661597  ,1578.0
Shoulders low-amplitude rotation           ,0.15052356020942406 ,0.09729272419627749 ,0.33236994219653176 ,1038.0
Arms inner rotation                        ,0.35915872730541076 ,0.23346576302874503 ,0.7780373831775701  ,1284.0
Knees (alternating) to the breast          ,0.02466429158673609 ,0.01353994283135249 ,0.1382488479262673  ,651.0
Heels (alternatively) to the backside      ,0.5283783783783783  ,0.4924433249370277  ,0.5699708454810496  ,686.0
Knees bending (crouching)                  ,0.48363636363636364 ,0.3845951629863302  ,0.6513802315227071  ,2246.0
Knees (alternating) bending forward        ,0.5646797276643046  ,0.45125471907617143 ,0.7542687453600594  ,2694.0
Rotation on the knees                      ,0.5612889179185717  ,0.4119527005433046  ,0.880464480874317   ,1464.0
Rowing                                     ,0.2972944740415753  ,0.17460122699386504 ,1.0                 ,2846.0
Elliptical bike                            ,0.5102238084615957  ,0.36581725130610937 ,0.842997542997543   ,4070.0
Cycling                                    ,0.15732196797285553 ,0.08609991394537796 ,0.9104406130268199  ,4176.0
accuracy                                   ,0.30981192706837535 ,0.30981192706837535 ,0.30981192706837535 ,0.30981192706837535
macro avg                                  ,0.40375328999151905 ,0.3638586136905353  ,0.6373614350592002  ,257666.0
weighted avg                               ,0.3162675641046057  ,0.8133146269726     ,0.30981192706837535 ,257666.0
