                                           ,f1-score           ,precision           ,recall            ,support
No activity                                ,0.6717328139468055 ,0.9959497559333446  ,0.5067633755319434,186815.0
Walking                                    ,0.35140003274930415,0.2149955918890759  ,0.9612972585558144,5581.0
Jogging                                    ,0.7877793725651014 ,0.7362974319662706  ,0.8470017636684304,4536.0
Running                                    ,0.8658227848101266 ,0.7857553130384837  ,0.9640591966173362,4257.0
Jump up                                    ,0.4890481879729191 ,0.3759951010410288  ,0.6993166287015945,878.0
Jump front and back                        ,0.5370809346427361 ,0.558057705840957   ,0.5176240208877284,1532.0
Jump sideways                              ,0.4374152733845459 ,0.7322239031770046  ,0.3118556701030928,1552.0
Jump leg/arms open/closed                  ,0.8909313725490196 ,0.9214195183776933  ,0.8623962040332147,1686.0
Jump rope                                  ,0.7103416003743566 ,0.6145748987854251  ,0.8414634146341463,902.0
Trunk twist (arms outstretched)            ,0.7214189319452476 ,0.8570774163994503  ,0.6228362183754993,3004.0
Trunk twist (elbows bent)                  ,0.5446428571428571 ,0.39082251082251085 ,0.8981297254277756,2513.0
Waist bends forward                        ,0.6741154562383612 ,0.719840919133893   ,0.633852140077821 ,2570.0
Waist rotation                             ,0.4166421928536466 ,0.26372536869500557 ,0.9916123019571296,2146.0
Waist bends (reach foot with opposite hand),0.8944320712694878 ,0.9557353641123275  ,0.8405190456257848,2389.0
Reach heels backwards                      ,0.7540394973070019 ,0.6730769230769231  ,0.8571428571428571,1960.0
Lateral bend                               ,0.08717936201889048,0.045592627575115514,0.9922222222222222,1800.0
Lateral bend with arm up                   ,0.565636087176888  ,0.40601503759398494 ,0.9320712694877505,1796.0
Repetitive forward stretching              ,0.6456599286563616 ,0.486123545210385   ,0.9610619469026549,1130.0
Upper trunk and lower body opposite twist  ,0.6254826254826255 ,0.5382059800664452  ,0.7465437788018433,1302.0
Lateral elevation of arms                  ,0.7507447864945382 ,0.8332108743570904  ,0.6831325301204819,1660.0
Frontal elevation of arms                  ,0.50293542074364   ,0.3526183398124857  ,0.8766344513928368,1759.0
Frontal hand claps                         ,0.807007786429366  ,0.7372967479674797  ,0.8912776412776413,1628.0
Frontal crossing of arms                   ,0.6956521739130433 ,0.6962162162162162  ,0.6950890447922288,1853.0
Shoulders high-amplitude rotation          ,0.6720332381199687 ,0.5692916849978003  ,0.8200253485424588,1578.0
Shoulders low-amplitude rotation           ,0.4436642195978295 ,0.3317422434367542  ,0.6695568400770713,1038.0
Arms inner rotation                        ,0.43182238667900086,0.2831836932783305  ,0.9088785046728972,1284.0
Knees (alternating) to the breast          ,0.7008695652173913 ,0.8076152304609219  ,0.6190476190476191,651.0
Heels (alternatively) to the backside      ,0.8033240997229917 ,0.7651715039577837  ,0.8454810495626822,686.0
Knees bending (crouching)                  ,0.7520729684908789 ,0.7036462373933282  ,0.8076580587711487,2246.0
Knees (alternating) bending forward        ,0.47335326255025256,0.3276723276723277  ,0.852264291017075 ,2694.0
Rotation on the knees                      ,0.6014975041597338 ,0.43241626794258375 ,0.9877049180327869,1464.0
Rowing                                     ,0.49448353748588303,0.3284477784189267  ,1.0               ,2846.0
Elliptical bike                            ,0.7408852829413577 ,0.6364919710605258  ,0.8862407862407863,4070.0
Cycling                                    ,0.9727283553650113 ,0.9675432361999526  ,0.9779693486590039,4176.0
accuracy                                   ,0.600134893132079  ,0.600134893132079   ,0.600134893132079 ,0.600134893132079
macro avg                                  ,0.6327610579705049 ,0.589530860761995   ,0.8090802785576872,257982.0
weighted avg                               ,0.6644814292066653 ,0.8830912507386017  ,0.600134893132079 ,257982.0
