                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6440312799233961 ,0.9942994736252659 ,0.4762571480682781 ,186414.0
Walking                                    ,0.3439844223832477 ,0.2092752272197623 ,0.965418383802186  ,5581.0
Jogging                                    ,0.7830378726833199 ,0.7208827893175074 ,0.8569223985890653 ,4536.0
Running                                    ,0.8378775167785235 ,0.7567721159310475 ,0.9384543105473337 ,4257.0
Jump up                                    ,0.3413603717786227 ,0.2713230355943586 ,0.4601366742596811 ,878.0
Jump front and back                        ,0.48211586901763226,0.3925348646431501 ,0.6246736292428199 ,1532.0
Jump sideways                              ,0.3131504257332072 ,0.5889679715302492 ,0.21327319587628865,1552.0
Jump leg/arms open/closed                  ,0.7934718100890208 ,0.7939429928741093 ,0.7930011862396203 ,1686.0
Jump rope                                  ,0.5601023017902813 ,0.4549861495844875 ,0.7283813747228381 ,902.0
Trunk twist (arms outstretched)            ,0.7100638977635783 ,0.8872255489021956 ,0.5918774966711052 ,3004.0
Trunk twist (elbows bent)                  ,0.5038697008201456 ,0.35498046875      ,0.8678869876641464 ,2513.0
Waist bends forward                        ,0.7047820184039824 ,0.5755112096575511 ,0.9089494163424124 ,2570.0
Waist rotation                             ,0.40011659541391376,0.2527620918242082 ,0.9594594594594594 ,2146.0
Waist bends (reach foot with opposite hand),0.8948948948948948 ,0.9177298724153101 ,0.87316868982838   ,2389.0
Reach heels backwards                      ,0.7205553067622034 ,0.6420590582601756 ,0.8209183673469388 ,1960.0
Lateral bend                               ,0.09968138370505236,0.05253058287359079,0.9733333333333334 ,1800.0
Lateral bend with arm up                   ,0.4004878048780488 ,0.25640224859462835,0.9142538975501113 ,1796.0
Repetitive forward stretching              ,0.6573643410852713 ,0.5848275862068966 ,0.7504424778761062 ,1130.0
Upper trunk and lower body opposite twist  ,0.550780180673419  ,0.427903019991493  ,0.7726574500768049 ,1302.0
Lateral elevation of arms                  ,0.7075767063243583 ,0.7366362451108214 ,0.6807228915662651 ,1660.0
Frontal elevation of arms                  ,0.35484668644906037,0.22673408121346184,0.8158044343376919 ,1759.0
Frontal hand claps                         ,0.7141333333333334 ,0.6310084825636192 ,0.8224815724815725 ,1628.0
Frontal crossing of arms                   ,0.6626384692849949 ,0.6210476639924493 ,0.7101996762007555 ,1853.0
Shoulders high-amplitude rotation          ,0.5748560460652592 ,0.46254826254826253,0.7591888466413181 ,1578.0
Shoulders low-amplitude rotation           ,0.3101123595505618 ,0.2325469427058257 ,0.4653179190751445 ,1038.0
Arms inner rotation                        ,0.34676390154968095,0.22637467269697692,0.7406542056074766 ,1284.0
Knees (alternating) to the breast          ,0.34851138353765326,0.40529531568228105,0.30568356374807987,651.0
Heels (alternatively) to the backside      ,0.5221027479091995 ,0.4423076923076923 ,0.6370262390670554 ,686.0
Knees bending (crouching)                  ,0.6910887715113306 ,0.5597571073695832 ,0.9029385574354408 ,2246.0
Knees (alternating) bending forward        ,0.45154061624649866,0.30164670658682635,0.8975501113585747 ,2694.0
Rotation on the knees                      ,0.5259155493295978 ,0.37192187942258703,0.8975409836065574 ,1464.0
Rowing                                     ,0.5323606434717546 ,0.36273260260005097,1.0                ,2846.0
Elliptical bike                            ,0.740200546946217  ,0.6296743063932448 ,0.8977886977886977 ,4070.0
Cycling                                    ,0.9641170915958451 ,0.9506517690875232 ,0.9779693486590039 ,4176.0
accuracy                                   ,0.5740563162655631 ,0.5740563162655631 ,0.5740563162655631 ,0.5740563162655631
macro avg                                  ,0.5643674366965619 ,0.5087000011199174 ,0.7647156742667809 ,257581.0
weighted avg                               ,0.6327379378199577 ,0.8662304089619607 ,0.5740563162655631 ,257581.0
