                                           ,f1-score          ,precision          ,recall             ,support
No activity                                ,0.9446579350482076,0.9356124039960733 ,0.9538800785703199 ,186839.0
Walking                                    ,0.6137815126050421,0.57793954739674   ,0.6543630173803978 ,5581.0
Jogging                                    ,0.7561626951520131,0.7078846153846153 ,0.8115079365079365 ,4536.0
Running                                    ,0.8028361736534395,0.8532522474881016 ,0.7580455719990604 ,4257.0
Jump up                                    ,0.4956298200514139,0.45173383317713217,0.5489749430523918 ,878.0
Jump front and back                        ,0.582314881380302 ,0.648              ,0.5287206266318538 ,1532.0
Jump sideways                              ,0.7021487603305786,0.7209775967413442 ,0.6842783505154639 ,1552.0
Jump leg/arms open/closed                  ,0.902874432677761 ,0.9215565163681285 ,0.8849347568208779 ,1686.0
Jump rope                                  ,0.7217125382262998,0.6679245283018868 ,0.7849223946784922 ,902.0
Trunk twist (arms outstretched)            ,0.9311237700673226,0.967013266403729  ,0.8978029294274301 ,3004.0
Trunk twist (elbows bent)                  ,0.8862635162194633,0.8919790407093914 ,0.8806207719856745 ,2513.0
Waist bends forward                        ,0.8608964451313756,0.8549501151189562 ,0.8669260700389105 ,2570.0
Waist rotation                             ,0.8802572983671451,0.9382911392405063 ,0.8289841565703635 ,2146.0
Waist bends (reach foot with opposite hand),0.9625238196061824,0.9738646101113967 ,0.9514441188781917 ,2389.0
Reach heels backwards                      ,0.8361696723393447,0.832574607991907  ,0.8397959183673469 ,1960.0
Lateral bend                               ,0.8272547356516822,0.8422567645365573 ,0.8127777777777778 ,1800.0
Lateral bend with arm up                   ,0.8119732635861668,0.8492401215805471 ,0.7778396436525612 ,1796.0
Repetitive forward stretching              ,0.9405405405405406,0.9577981651376147 ,0.9238938053097345 ,1130.0
Upper trunk and lower body opposite twist  ,0.5630630630630631,0.6808278867102396 ,0.48003072196620583,1302.0
Lateral elevation of arms                  ,0.7126358695652174,0.8169781931464174 ,0.6319277108433735 ,1660.0
Frontal elevation of arms                  ,0.7417295414973882,0.7575577949021932 ,0.7265491756679932 ,1759.0
Frontal hand claps                         ,0.7254707631318136,0.7848463187991422 ,0.6744471744471745 ,1628.0
Frontal crossing of arms                   ,0.8038585209003214,0.8769132653061225 ,0.7420399352401511 ,1853.0
Shoulders high-amplitude rotation          ,0.6799230275817832,0.6883116883116883 ,0.6717363751584284 ,1578.0
Shoulders low-amplitude rotation           ,0.6132723112128147,0.5841325196163906 ,0.6454720616570327 ,1038.0
Arms inner rotation                        ,0.612861458782909 ,0.6873184898354308 ,0.5529595015576324 ,1284.0
Knees (alternating) to the breast          ,0.5877788554801163,0.7973684210526316 ,0.46543778801843316,651.0
Heels (alternatively) to the backside      ,0.7306451612903225,0.8176895306859205 ,0.6603498542274052 ,686.0
Knees bending (crouching)                  ,0.7787610619469026,0.841343669250646  ,0.7248441674087266 ,2246.0
Knees (alternating) bending forward        ,0.8053833894103064,0.7700643413477819 ,0.844097995545657  ,2694.0
Rotation on the knees                      ,0.793307772743116 ,0.8099644128113879 ,0.7773224043715847 ,1464.0
Rowing                                     ,0.859251259899208 ,0.8808118081180811 ,0.8387210119465917 ,2846.0
Elliptical bike                            ,0.7600108225108225,0.845574954846478  ,0.6901719901719902 ,4070.0
Cycling                                    ,0.8554744525547446,0.9595117594522179 ,0.7717911877394636 ,4176.0
accuracy                                   ,0.8998085315845368,0.8998085315845368 ,0.8998085315845368 ,0.8998085315845368
macro avg                                  ,0.7671337983001509,0.7997665933493352 ,0.7437532918862538 ,258006.0
weighted avg                               ,0.8988150818804437,0.9000544890733365 ,0.8998085315845368 ,258006.0
