                                           ,f1-score          ,precision         ,recall             ,support
No activity                                ,0.9413657801910349,0.9294912601095747,0.9535476273318524 ,186815.0
Walking                                    ,0.6286225985021165,0.5760107414590482,0.6918115033148181 ,5581.0
Jogging                                    ,0.7472834857450242,0.7297751628493381,0.765652557319224  ,4536.0
Running                                    ,0.823266774153541 ,0.872044140830268 ,0.779657035470989  ,4257.0
Jump up                                    ,0.4611171960569551,0.4440928270042194,0.479498861047836  ,878.0
Jump front and back                        ,0.5881924198250729,0.6658415841584159,0.5267624020887729 ,1532.0
Jump sideways                              ,0.7153013910355487,0.6874628639334521,0.7454896907216495 ,1552.0
Jump leg/arms open/closed                  ,0.890582139591588 ,0.915987460815047 ,0.8665480427046264 ,1686.0
Jump rope                                  ,0.6416243654822334,0.5917602996254682,0.7006651884700665 ,902.0
Trunk twist (arms outstretched)            ,0.9335869941196817,0.9715622750179985,0.8984687083888149 ,3004.0
Trunk twist (elbows bent)                  ,0.8799192734611503,0.8927108927108927,0.8674890569040987 ,2513.0
Waist bends forward                        ,0.8455853753403345,0.8452566096423018,0.8459143968871595 ,2570.0
Waist rotation                             ,0.8944403624785696,0.9426948890036139,0.8508853681267474 ,2146.0
Waist bends (reach foot with opposite hand),0.9649345162653148,0.9739872068230278,0.9560485558811218 ,2389.0
Reach heels backwards                      ,0.851578947368421 ,0.8793478260869565,0.8255102040816327 ,1960.0
Lateral bend                               ,0.794151376146789 ,0.8204976303317536,0.7694444444444445 ,1800.0
Lateral bend with arm up                   ,0.8107638888888891,0.8439759036144578,0.7800668151447662 ,1796.0
Repetitive forward stretching              ,0.9056099732858416,0.9112903225806451,0.9                ,1130.0
Upper trunk and lower body opposite twist  ,0.5502026114362899,0.6648531011969532,0.46927803379416283,1302.0
Lateral elevation of arms                  ,0.7062050051422695,0.8194112967382657,0.6204819277108434 ,1660.0
Frontal elevation of arms                  ,0.7060278207109737,0.7737127371273713,0.6492325184764071 ,1759.0
Frontal hand claps                         ,0.7041958041958042,0.8173701298701299,0.6185503685503686 ,1628.0
Frontal crossing of arms                   ,0.7914746543778801,0.8486720197652872,0.7415002698327037 ,1853.0
Shoulders high-amplitude rotation          ,0.6941778630838131,0.7009043927648578,0.6875792141951838 ,1578.0
Shoulders low-amplitude rotation           ,0.5799907791609036,0.5561450044208665,0.6059730250481695 ,1038.0
Arms inner rotation                        ,0.5424466695690031,0.6150049358341559,0.48520249221183803,1284.0
Knees (alternating) to the breast          ,0.5753158406219632,0.783068783068783 ,0.45468509984639016,651.0
Heels (alternatively) to the backside      ,0.7116165718927702,0.8036697247706422,0.6384839650145773 ,686.0
Knees bending (crouching)                  ,0.7642752562225475,0.8455723542116631,0.697239536954586  ,2246.0
Knees (alternating) bending forward        ,0.7987672226250905,0.7806520198440822,0.817743132887899  ,2694.0
Rotation on the knees                      ,0.7933425797503468,0.8056338028169014,0.7814207650273224 ,1464.0
Rowing                                     ,0.88130081300813  ,0.9070286351803645,0.8569922698524245 ,2846.0
Elliptical bike                            ,0.7445070422535212,0.8722772277227723,0.6493857493857493 ,4070.0
Cycling                                    ,0.8377104377104377,0.9572176054170514,0.7447318007662835 ,4176.0
accuracy                                   ,0.896155545735749 ,0.896155545735749 ,0.896155545735749  ,0.896155545735749
macro avg                                  ,0.7558671714617602,0.7954406960984302,0.7271159008201038 ,257982.0
weighted avg                               ,0.8947084225451036,0.8961868472224653,0.896155545735749  ,257982.0
