                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.749423594316557  ,0.9825159617960717 ,0.6057219466416409,186475.0
Walking                                    ,0.5779480346435709 ,0.41871128630037807,0.9326285611897509,5581.0
Jogging                                    ,0.8168174137759666 ,0.743710407239819  ,0.9058641975308642,4536.0
Running                                    ,0.8904079861111112 ,0.8273845533373664 ,0.9638242894056848,4257.0
Jump up                                    ,0.4238128986534373 ,0.30761316872427985,0.6810933940774487,878.0
Jump front and back                        ,0.6430050280981957 ,0.5878853434288804 ,0.7095300261096605,1532.0
Jump sideways                              ,0.6151549085479656 ,0.7311446317657497 ,0.5309278350515464,1552.0
Jump leg/arms open/closed                  ,0.8381788261108064 ,0.7795918367346939 ,0.9062870699881376,1686.0
Jump rope                                  ,0.595482546201232  ,0.4729288975864318 ,0.8037694013303769,902.0
Trunk twist (arms outstretched)            ,0.6201550387596899 ,0.5067567567567568 ,0.7989347536617842,3004.0
Trunk twist (elbows bent)                  ,0.662726888982693  ,0.5126251632564214 ,0.9371269399124552,2513.0
Waist bends forward                        ,0.7559030492572323 ,0.6318954248366013 ,0.9404669260700389,2570.0
Waist rotation                             ,0.6053685303277473 ,0.443985207744181  ,0.951071761416589 ,2146.0
Waist bends (reach foot with opposite hand),0.892481495909622  ,0.834608378870674  ,0.9589786521557137,2389.0
Reach heels backwards                      ,0.4655541292255029 ,0.32310433577509406,0.8326530612244898,1960.0
Lateral bend                               ,0.1513069936840164 ,0.08249962294505052,0.9116666666666666,1800.0
Lateral bend with arm up                   ,0.2801607479701468 ,0.16427815716071945,0.9510022271714922,1796.0
Repetitive forward stretching              ,0.5284751990202081 ,0.40402621722846443,0.763716814159292 ,1130.0
Upper trunk and lower body opposite twist  ,0.3041517648888198 ,0.19068044453109767,0.7511520737327189,1302.0
Lateral elevation of arms                  ,0.6797752808988763 ,0.6368421052631579 ,0.7289156626506024,1660.0
Frontal elevation of arms                  ,0.5341920818336806 ,0.4005681818181818 ,0.801591813530415 ,1759.0
Frontal hand claps                         ,0.7098501070663812 ,0.6290322580645161 ,0.8144963144963145,1628.0
Frontal crossing of arms                   ,0.7238006520726595 ,0.6366243342892257 ,0.8386400431732326,1853.0
Shoulders high-amplitude rotation          ,0.6111411573823688 ,0.5330188679245284 ,0.7160963244613435,1578.0
Shoulders low-amplitude rotation           ,0.21962313190383365,0.16568627450980392,0.325626204238921 ,1038.0
Arms inner rotation                        ,0.23165752945293364,0.1362326793798875 ,0.7733644859813084,1284.0
Knees (alternating) to the breast          ,0.49443468072642066,0.3996212121212121 ,0.6482334869431644,651.0
Heels (alternatively) to the backside      ,0.5262599469496022 ,0.41367806505421184,0.7230320699708455,686.0
Knees bending (crouching)                  ,0.6613545816733069 ,0.5272631021704606 ,0.8869100623330365,2246.0
Knees (alternating) bending forward        ,0.5573262505533422 ,0.3970356354462315 ,0.9346696362286563,2694.0
Rotation on the knees                      ,0.6089334548769372 ,0.45690834473324216,0.912568306010929 ,1464.0
Rowing                                     ,0.9102126968663745 ,0.8460609719287655 ,0.9848910751932537,2846.0
Elliptical bike                            ,0.711327085502719  ,0.6722064290400175 ,0.7552825552825553,4070.0
Cycling                                    ,0.8880368098159509 ,0.9523026315789473 ,0.8318965517241379,4176.0
accuracy                                   ,0.6735431334953152 ,0.6735431334953152 ,0.6735431334953152,0.6735431334953152
macro avg                                  ,0.6024835447664679 ,0.52203020262768   ,0.8091950349916197,257642.0
weighted avg                               ,0.7224189883983395 ,0.8670836339047033 ,0.6735431334953152,257642.0
