                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.6723188061774364 ,0.9941742282948092  ,0.5078928351577764 ,186815.0
Walking                                    ,0.35710199549079646,0.21983758700696054 ,0.9507256764020785 ,5581.0
Jogging                                    ,0.7676599291519066 ,0.7277755827736073  ,0.8121693121693122 ,4536.0
Running                                    ,0.8402676144679071 ,0.7570163872669052  ,0.9440920836269674 ,4257.0
Jump up                                    ,0.47648659152739986,0.3616519174041298  ,0.6981776765375854 ,878.0
Jump front and back                        ,0.4921430959545303 ,0.5044551062371487  ,0.4804177545691906 ,1532.0
Jump sideways                              ,0.37283500455788515,0.6370716510903427  ,0.26353092783505155,1552.0
Jump leg/arms open/closed                  ,0.8795811518324607 ,0.9147982062780269  ,0.8469750889679716 ,1686.0
Jump rope                                  ,0.7201180521396949 ,0.6472148541114059  ,0.811529933481153  ,902.0
Trunk twist (arms outstretched)            ,0.6529195590036749 ,0.8442449841605069  ,0.5322902796271638 ,3004.0
Trunk twist (elbows bent)                  ,0.5278731210794176 ,0.37567385444743934 ,0.8873855949064863 ,2513.0
Waist bends forward                        ,0.6603462489694971 ,0.7020157756354075  ,0.6233463035019455 ,2570.0
Waist rotation                             ,0.42101090188305246,0.2673716012084592  ,0.9897483690587139 ,2146.0
Waist bends (reach foot with opposite hand),0.8538760576263436 ,0.9410282258064516  ,0.7814985349518627 ,2389.0
Reach heels backwards                      ,0.7231985940246045 ,0.6350308641975309  ,0.8397959183673469 ,1960.0
Lateral bend                               ,0.09019785988289926,0.047245135363790186,0.9927777777777778 ,1800.0
Lateral bend with arm up                   ,0.4796975637076449 ,0.32042648709315374 ,0.9537861915367484 ,1796.0
Repetitive forward stretching              ,0.6255430060816681 ,0.46491605682307363 ,0.9557522123893806 ,1130.0
Upper trunk and lower body opposite twist  ,0.5911784068466095 ,0.5172811059907834  ,0.6897081413210445 ,1302.0
Lateral elevation of arms                  ,0.6910597169485674 ,0.809215844785772   ,0.6030120481927711 ,1660.0
Frontal elevation of arms                  ,0.5005915159709312 ,0.35618085618085615 ,0.8419556566230812 ,1759.0
Frontal hand claps                         ,0.796189376443418  ,0.7510893246187363  ,0.847051597051597  ,1628.0
Frontal crossing of arms                   ,0.6814254859611231 ,0.681793625067531   ,0.6810577441985969 ,1853.0
Shoulders high-amplitude rotation          ,0.622802611752888  ,0.5158069883527454  ,0.7858048162230672 ,1578.0
Shoulders low-amplitude rotation           ,0.4202945990180033 ,0.3182944967773922  ,0.6184971098265896 ,1038.0
Arms inner rotation                        ,0.3894754482989778 ,0.24813153961136025 ,0.9049844236760125 ,1284.0
Knees (alternating) to the breast          ,0.6654929577464789 ,0.7793814432989691  ,0.5806451612903226 ,651.0
Heels (alternatively) to the backside      ,0.7756813417190777 ,0.7449664429530202  ,0.8090379008746356 ,686.0
Knees bending (crouching)                  ,0.7198826733710454 ,0.6798575385833003  ,0.7649154051647373 ,2246.0
Knees (alternating) bending forward        ,0.4743453268043431 ,0.3325373134328358  ,0.8270230141054195 ,2694.0
Rotation on the knees                      ,0.5967375593640306 ,0.4276413139982243  ,0.9870218579234973 ,1464.0
Rowing                                     ,0.46339278442869947,0.30160076327785434 ,0.999648629655657  ,2846.0
Elliptical bike                            ,0.7061390459188733 ,0.5920505571262266  ,0.8746928746928747 ,4070.0
Cycling                                    ,0.9687946641257742 ,0.9637440758293839  ,0.9738984674329502 ,4176.0
accuracy                                   ,0.5942972765541782 ,0.5942972765541782  ,0.5942972765541782 ,0.5942972765541782
macro avg                                  ,0.6081370196552253 ,0.5700447569142396  ,0.7841425682093343 ,257982.0
weighted avg                               ,0.6584145113128385 ,0.8766956757332833  ,0.5942972765541782 ,257982.0
