                                           ,f1-score          ,precision         ,recall            ,support
No activity                                ,0.9533945248735584,0.9535629402822089,0.953226168944445 ,186878.0
Walking                                    ,0.637732194735452 ,0.6268605053651782,0.6489876366242608,5581.0
Jogging                                    ,0.8146368104860732,0.8073176012123836,0.8220899470899471,4536.0
Running                                    ,0.884277172001407 ,0.8827247191011236,0.8858350951374208,4257.0
Jump up                                    ,0.5842572062084258,0.5691144708423326,0.6002277904328018,878.0
Jump front and back                        ,0.653446033810143 ,0.6509067357512953,0.6560052219321149,1532.0
Jump sideways                              ,0.6873570728520092,0.6971504307488403,0.6778350515463918,1552.0
Jump leg/arms open/closed                  ,0.8396169958108917,0.8472222222222222,0.83214709371293  ,1686.0
Jump rope                                  ,0.7395143487858721,0.7362637362637363,0.7427937915742794,902.0
Trunk twist (arms outstretched)            ,0.8755047106325707,0.8850340136054422,0.8661784287616512,3004.0
Trunk twist (elbows bent)                  ,0.8289368505195842,0.832597350461662 ,0.825308396339037 ,2513.0
Waist bends forward                        ,0.8045184759716637,0.7919336600075386,0.8175097276264591,2570.0
Waist rotation                             ,0.8299953423381462,0.8296089385474861,0.8303821062441752,2146.0
Waist bends (reach foot with opposite hand),0.8930896870405377,0.8962900505902193,0.8899120971117622,2389.0
Reach heels backwards                      ,0.8069997463860005,0.8023197175995965,0.811734693877551 ,1960.0
Lateral bend                               ,0.7926421404682275,0.7953020134228188,0.79              ,1800.0
Lateral bend with arm up                   ,0.8043478260869565,0.8052455357142857,0.8034521158129176,1796.0
Repetitive forward stretching              ,0.8666371289322109,0.867790594498669 ,0.8654867256637168,1130.0
Upper trunk and lower body opposite twist  ,0.60062893081761  ,0.6151368760064412,0.5867895545314901,1302.0
Lateral elevation of arms                  ,0.7913493755711241,0.800369685767098 ,0.7825301204819277,1660.0
Frontal elevation of arms                  ,0.8133371330863494,0.8154285714285714,0.8112563956793633,1759.0
Frontal hand claps                         ,0.7792915531335151,0.7683582089552239,0.7905405405405406,1628.0
Frontal crossing of arms                   ,0.8494711147274207,0.8538713195201745,0.8451160280626012,1853.0
Shoulders high-amplitude rotation          ,0.689367169932541 ,0.6990228013029316,0.6799746514575412,1578.0
Shoulders low-amplitude rotation           ,0.7214217098943324,0.7193486590038314,0.7235067437379576,1038.0
Arms inner rotation                        ,0.8436781609195403,0.830316742081448 ,0.8574766355140186,1284.0
Knees (alternating) to the breast          ,0.6605080831408776,0.6620370370370371,0.6589861751152074,651.0
Heels (alternatively) to the backside      ,0.6892911010558069,0.7140625         ,0.6661807580174927,686.0
Knees bending (crouching)                  ,0.7537330064631157,0.7545738509593931,0.7528940338379341,2246.0
Knees (alternating) bending forward        ,0.6922360826661702,0.6944340679865522,0.6900519673348181,2694.0
Rotation on the knees                      ,0.7988942639944713,0.8083916083916084,0.7896174863387978,1464.0
Rowing                                     ,0.884139879901095 ,0.8888494318181818,0.8794799718903724,2846.0
Elliptical bike                            ,0.8459645669291338,0.8472153770330212,0.8447174447174447,4070.0
Cycling                                    ,0.9557522123893806,0.9546106067845198,0.9568965517241379,4176.0
accuracy                                   ,0.9100428219884129,0.9100428219884129,0.9100428219884129,0.9100428219884129
macro avg                                  ,0.784293194487124 ,0.785390370009208 ,0.7833860925709856,258045.0
weighted avg                               ,0.9101061369703634,0.9102106794486583,0.9100428219884129,258045.0
