                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.7967910497970376 ,0.9914765705355648 ,0.666013239925445 ,186708.0
Walking                                    ,0.5211426331520408 ,0.35864580523334233,0.9528758287045332,5581.0
Jogging                                    ,0.8062157221206582 ,0.747457627118644  ,0.875             ,4536.0
Running                                    ,0.904910282583002  ,0.8338613861386138 ,0.9891942682640357,4257.0
Jump up                                    ,0.6015657189946435 ,0.47127178825048416,0.8314350797266514,878.0
Jump front and back                        ,0.8339458737053124 ,0.8542094455852156 ,0.814621409921671 ,1532.0
Jump sideways                              ,0.8288474810213942 ,0.8922734026745914 ,0.773840206185567 ,1552.0
Jump leg/arms open/closed                  ,0.913981507425049  ,0.8661710037174721 ,0.9673784104389087,1686.0
Jump rope                                  ,0.7675312199807878 ,0.6771186440677966 ,0.885809312638581 ,902.0
Trunk twist (arms outstretched)            ,0.8805878750765463 ,0.8151927437641724 ,0.9573901464713716,3004.0
Trunk twist (elbows bent)                  ,0.8434782608695652 ,0.7491504479456287 ,0.9649820931157979,2513.0
Waist bends forward                        ,0.8652482269503544 ,0.7788850825288072 ,0.9731517509727626,2570.0
Waist rotation                             ,0.7842036309189594 ,0.6553018454801376 ,0.9762348555452004,2146.0
Waist bends (reach foot with opposite hand),0.9451528030763003 ,0.9149686520376176 ,0.9773964001674341,2389.0
Reach heels backwards                      ,0.7545787545787546 ,0.6531145095113764 ,0.8933673469387755,1960.0
Lateral bend                               ,0.16628219915417147,0.09101430976430977,0.9611111111111111,1800.0
Lateral bend with arm up                   ,0.24513537843639638,0.13997627520759193,0.9855233853006682,1796.0
Repetitive forward stretching              ,0.7755875663381351 ,0.6783819628647215 ,0.9053097345132743,1130.0
Upper trunk and lower body opposite twist  ,0.3948409286328461 ,0.25437624639929096,0.8817204301075269,1302.0
Lateral elevation of arms                  ,0.8355191256830601 ,0.7645             ,0.9210843373493975,1660.0
Frontal elevation of arms                  ,0.7472076589924778 ,0.6236681887366818 ,0.9317794201250711,1759.0
Frontal hand claps                         ,0.7914466737064415 ,0.6939814814814815 ,0.9207616707616708,1628.0
Frontal crossing of arms                   ,0.859186189889026  ,0.7910990009082652 ,0.9400971397733405,1853.0
Shoulders high-amplitude rotation          ,0.8063530849114234 ,0.7783018867924528 ,0.8365019011406845,1578.0
Shoulders low-amplitude rotation           ,0.4951084644831986 ,0.44325971058644326,0.5606936416184971,1038.0
Arms inner rotation                        ,0.37461451063139095,0.23662087348779987,0.8987538940809969,1284.0
Knees (alternating) to the breast          ,0.7841823056300269 ,0.6956004756242569 ,0.8986175115207373,651.0
Heels (alternatively) to the backside      ,0.8080808080808081 ,0.7126948775055679 ,0.9329446064139941,686.0
Knees bending (crouching)                  ,0.7984144960362402 ,0.6929882044560943 ,0.9416740872662511,2246.0
Knees (alternating) bending forward        ,0.49229054430614894,0.3282953419226957 ,0.9836674090571641,2694.0
Rotation on the knees                      ,0.7894150417827298 ,0.6665098777046096 ,0.967896174863388 ,1464.0
Rowing                                     ,0.9492325855962219 ,0.9127473240350308 ,0.988756148981026 ,2846.0
Elliptical bike                            ,0.818669405454753  ,0.7643298529725122 ,0.8813267813267813,4070.0
Cycling                                    ,0.9645953757225433 ,0.970203488372093  ,0.959051724137931 ,4176.0
accuracy                                   ,0.7382995637421231 ,0.7382995637421231 ,0.7382995637421231,0.7382995637421231
macro avg                                  ,0.73365715834466   ,0.6616955392179813 ,0.9057635723078309,257875.0
weighted avg                               ,0.7844878846577732 ,0.9036454464277033 ,0.7382995637421231,257875.0
