                                           ,f1-score          ,precision          ,recall            ,support
No activity                                ,0.7944831125509189,0.9899840928529748 ,0.6634631352822375,186669.0
Walking                                    ,0.5407790626902009,0.3771489211177927 ,0.9552051603655259,5581.0
Jogging                                    ,0.8062157221206582,0.747457627118644  ,0.875             ,4536.0
Running                                    ,0.9003966977591938,0.8282051282051283 ,0.9863753817242189,4257.0
Jump up                                    ,0.5834333733493396,0.4497223935842073 ,0.8302961275626424,878.0
Jump front and back                        ,0.833167495854063 ,0.8469318948078219 ,0.8198433420365535,1532.0
Jump sideways                              ,0.8382252559726963,0.8911465892597968 ,0.7912371134020618,1552.0
Jump leg/arms open/closed                  ,0.9039422543031648,0.8496868475991649 ,0.9655990510083037,1686.0
Jump rope                                  ,0.7489401789919926,0.6511056511056511 ,0.8813747228381374,902.0
Trunk twist (arms outstretched)            ,0.8660822249093107,0.7931893687707641 ,0.953728362183755 ,3004.0
Trunk twist (elbows bent)                  ,0.8312983662940671,0.7319806178073894 ,0.9617986470354158,2513.0
Waist bends forward                        ,0.8546481766820749,0.7630693977376949 ,0.9712062256809338,2570.0
Waist rotation                             ,0.772744151503899 ,0.6422839506172839 ,0.9697110904007455,2146.0
Waist bends (reach foot with opposite hand),0.9342685370741483,0.8961937716262975 ,0.9757220594390958,2389.0
Reach heels backwards                      ,0.7287145242070117,0.6165254237288136 ,0.8908163265306123,1960.0
Lateral bend                               ,0.1673798871814822,0.09171818375612875,0.9561111111111111,1800.0
Lateral bend with arm up                   ,0.2428335170893054,0.13856558666247248,0.9810690423162584,1796.0
Repetitive forward stretching              ,0.7586206896551725,0.6633532140490391 ,0.8858407079646018,1130.0
Upper trunk and lower body opposite twist  ,0.3586616635397123,0.22516686297605026,0.8809523809523809,1302.0
Lateral elevation of arms                  ,0.8220825362120798,0.752376188094047  ,0.9060240963855422,1660.0
Frontal elevation of arms                  ,0.7324640287769785,0.6058014131647452 ,0.9260943718021604,1759.0
Frontal hand claps                         ,0.7696793002915452,0.676923076923077  ,0.8918918918918919,1628.0
Frontal crossing of arms                   ,0.8362131905573131,0.7615248226950354 ,0.9271451699946034,1853.0
Shoulders high-amplitude rotation          ,0.7892976588628762,0.7586206896551724 ,0.8225602027883396,1578.0
Shoulders low-amplitude rotation           ,0.4452736318407961,0.39082969432314413,0.5173410404624278,1038.0
Arms inner rotation                        ,0.3583031067654944,0.22463911409926834,0.8847352024922118,1284.0
Knees (alternating) to the breast          ,0.7506493506493506,0.6501687289088864 ,0.8878648233486943,651.0
Heels (alternatively) to the backside      ,0.7800121876904328,0.6701570680628273 ,0.9329446064139941,686.0
Knees bending (crouching)                  ,0.7971503562054744,0.6884715025906736 ,0.9465716829919858,2246.0
Knees (alternating) bending forward        ,0.530132583366814 ,0.3633985128063894 ,0.979584261321455 ,2694.0
Rotation on the knees                      ,0.7476038338658146,0.612565445026178  ,0.9590163934426229,1464.0
Rowing                                     ,0.9401737967914437,0.8964308476736775 ,0.9884047786366831,2846.0
Elliptical bike                            ,0.8209297000228989,0.7686535162950258 ,0.8808353808353808,4070.0
Cycling                                    ,0.9630876517975231,0.967157691378894  ,0.959051724137931 ,4176.0
accuracy                                   ,0.7354054515273275,0.7354054515273275 ,0.7354054515273275,0.7354054515273275
macro avg                                  ,0.721996700159566 ,0.6465045245611811 ,0.9001592827876623,257836.0
weighted avg                               ,0.7809964185552066,0.8998971567149755 ,0.7354054515273275,257836.0
