                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.6864661312373034 ,0.9874065803635194 ,0.5261169232088496,186584.0
Walking                                    ,0.3214153390144498 ,0.19416570298802552,0.9326285611897509,5581.0
Jogging                                    ,0.6773273579140355 ,0.6294964028776978 ,0.7330246913580247,4536.0
Running                                    ,0.8186982956244394 ,0.7110457063711911 ,0.9647639182522904,4257.0
Jump up                                    ,0.5802254986990459 ,0.4684873949579832 ,0.7619589977220956,878.0
Jump front and back                        ,0.7308507417499245 ,0.6815358554488989 ,0.7878590078328982,1532.0
Jump sideways                              ,0.7318771763216209 ,0.7193528313627878 ,0.7448453608247423,1552.0
Jump leg/arms open/closed                  ,0.8865108420163335 ,0.8439678284182306 ,0.933570581257414 ,1686.0
Jump rope                                  ,0.7399898631525597 ,0.6816059757236228 ,0.8093126385809313,902.0
Trunk twist (arms outstretched)            ,0.6902384914032169 ,0.5914923954372624 ,0.8285619174434088,3004.0
Trunk twist (elbows bent)                  ,0.4476670870113493 ,0.30415536198771953,0.8475925189017111,2513.0
Waist bends forward                        ,0.7575568712994702 ,0.6317567567567568 ,0.9459143968871595,2570.0
Waist rotation                             ,0.45517851221399364,0.29836255615128243,0.9594594594594594,2146.0
Waist bends (reach foot with opposite hand),0.872793670115642  ,0.8468503937007874 ,0.9003767266638761,2389.0
Reach heels backwards                      ,0.2714821953941361 ,0.1694314296568317 ,0.6826530612244898,1960.0
Lateral bend                               ,0.4219253800092123 ,0.2915340547422024 ,0.7633333333333333,1800.0
Lateral bend with arm up                   ,0.4541718043567612 ,0.35993485342019543,0.6152561247216035,1796.0
Repetitive forward stretching              ,0.5430295331851381 ,0.4234769687964339 ,0.7566371681415929,1130.0
Upper trunk and lower body opposite twist  ,0.5867944621938231 ,0.4490627546862266 ,0.8463901689708141,1302.0
Lateral elevation of arms                  ,0.787152689268417  ,0.6822801590808661 ,0.9301204819277108,1660.0
Frontal elevation of arms                  ,0.29714035279938644,0.18403908794788273,0.770892552586697 ,1759.0
Frontal hand claps                         ,0.5116112897463378 ,0.36070528967254406,0.8796068796068796,1628.0
Frontal crossing of arms                   ,0.5349246722754842 ,0.41958256599140575,0.7377226119805721,1853.0
Shoulders high-amplitude rotation          ,0.678740157480315  ,0.5793010752688172 ,0.8193916349809885,1578.0
Shoulders low-amplitude rotation           ,0.15118790496760257,0.09296148738379814,0.4046242774566474,1038.0
Arms inner rotation                        ,0.15998442973919813,0.09141459074733096,0.6401869158878505,1284.0
Knees (alternating) to the breast          ,0.7628111273792094 ,0.7286713286713287 ,0.8003072196620584,651.0
Heels (alternatively) to the backside      ,0.7112582781456953 ,0.6516990291262136 ,0.782798833819242 ,686.0
Knees bending (crouching)                  ,0.44737588652482263,0.32826810990840966,0.7021371326803205,2246.0
Knees (alternating) bending forward        ,0.6287232554887427 ,0.5043751402288534 ,0.8344469190794358,2694.0
Rotation on the knees                      ,0.49414474947206755,0.3436582109479306 ,0.8790983606557377,1464.0
Rowing                                     ,0.7833588423542507 ,0.6484680949090071 ,0.9891075193253689,2846.0
Elliptical bike                            ,0.46251604621309367,0.31303214596003476,0.8852579852579853,4070.0
Cycling                                    ,0.872365719226197  ,0.7949576521567855 ,0.9664750957854407,4176.0
accuracy                                   ,0.6131111033516844 ,0.6131111033516844 ,0.6131111033516844,0.6131111033516844
macro avg                                  ,0.5869851368821551 ,0.5001922285837901 ,0.804777352254923 ,257751.0
weighted avg                               ,0.6607250519923542 ,0.8500977069433834 ,0.6131111033516844,257751.0
